Time elapsed (s),Time elapsed (s),Tdb_in (C),Twb_in (C),RH_in,Tdb_out (C),Twb_out(C),RH_out(C),Q_dot_air_TriCoil (CFM),dP_nozzle_TriCoil (in W.G.),Pin_nozzle_TriCoil (in W.G),Outdoor Temp (C),Atm Pressure (PSI),Heater Output (kW),FMWP,FMEP,LBWP,LBEP,Steam Humidifier (%),Q_dot_air_wt (CFM),dP_nozzle (in W.G.),Pin_nozzle (PSIG),m_dot_r (kg/h),T_evap_in (C),P_evap_in_coolprop (PSI),T_evap_out (C),P_evap_out (PSIG),T_evap_sat (C),SH (K),T_exv_in (C),P_exv_in (PSIG),T_cond_sat (C),SC (K),m_dot_w (kg/h),T_w_in (C),P_w_in (PSIG),T_w_out (C),dp_w (in W.G.),Water Heater (% of total capacity),T_evap_out_TC (C),SH_TC (K),Water Reverse Flow,TriCoil Refr. Reverse Flow,Q_ref (tons),Q_air (tons),Q_w (tons),Inlet Air Dew Point (C),Outlet Air Dew Point (C),Inlet Air Humdity Ratio (kg/kg),Outlet Air Humidity Ratio (kg/kg),TriCoil Outlet (11),TriCoil Outlet (12),TriCoil Outlet (13),TriCoil Outlet (21),TriCoil Outlet (22),TriCoil Outlet (23),TriCoil Outlet (31),TriCoil Outlet (32),TriCoil Outlet (33),TriCoil Outlet (41),TriCoil Outlet (42),TriCoil Outlet (43),TriCoil Outlet (51),TriCoil Outlet (52),TriCoil Outlet (53) ,TriCoil Outlet (Avg),DB2_TC,,
3758402331,0,25.823,12.659,21.821,13.213,7.878,21.622,1630.222,0.832,395.594,24.233,14.277,8.924,0,0,0,0,0,5923.072,1.585,0,248.209,8.818,137.508,12.844,126.629,6.469,6.342,25.406,254.259,29.371,3.959,2.457,24.739,16.975,23.565,-3.704,0,11.012,4.544,1,0,3.747,2.932,0.001,0.446,2.399,0.004,0.005,13.223,10.827,11.114,11.887,11.33,11.178,12.597,11.534,13.148,11.669,10.896,11.071,11.02,9.715,9.728,11.393,13.989,0,0
3758402333,0.029966664,25.836,12.64,21.821,13.22,7.86,21.622,1646.944,0.836,395.597,24.249,14.278,8.996,0,0,0,0,0,5929.872,1.587,0,252.948,8.827,137.444,12.86,126.671,6.478,6.348,25.408,254.025,29.337,3.923,2.457,24.753,16.975,23.568,-3.704,0,11,4.522,1,0,3.819,2.936,0.001,0.361,2.342,0.004,0.005,13.23,10.845,11.125,11.878,11.316,11.169,12.578,11.507,13.131,11.651,10.879,11.079,11.047,9.736,9.737,11.383,14,0,0
3758402335,0.057516662,25.834,12.664,21.821,13.231,7.86,21.623,1668.904,0.856,395.644,24.259,14.276,9.09,0,0,0,0,0,5933.067,1.573,0,252.492,8.824,137.487,12.922,126.6,6.462,6.426,25.395,254.485,29.403,4.002,2.457,24.762,16.975,23.575,-3.704,0,11.007,4.545,1,0,3.814,2.982,0.001,0.449,2.33,0.004,0.005,13.23,10.851,11.128,11.888,11.321,11.174,12.593,11.513,13.138,11.659,10.877,11.074,11.039,9.73,9.74,11.382,13.992,0,0
3758402336,0.08743333,25.819,12.659,21.82,13.215,7.881,21.622,1675.554,0.881,395.579,24.267,14.278,9.05,0,0,0,0,0,5910.985,1.587,0,251.985,8.834,137.471,12.965,126.826,6.514,6.417,25.388,254.132,29.352,3.958,2.457,24.75,16.975,23.596,-3.704,0,10.982,4.468,1,0,3.807,3.006,0.001,0.45,2.403,0.004,0.005,13.204,10.828,11.116,11.895,11.331,11.186,12.611,11.515,13.117,11.663,10.878,11.064,11.026,9.73,9.723,11.377,13.995,0,0
3758402339,0.122933332,25.829,12.648,21.82,13.211,7.864,21.621,1640.33,0.889,395.624,24.263,14.277,8.941,0,0,0,0,0,5933.413,1.592,0,252.635,8.845,137.518,12.995,126.975,6.55,6.412,25.393,254.265,29.372,3.973,2.457,24.768,16.975,23.568,-3.704,0,10.973,4.423,1,0,3.817,3.021,0.001,0.401,2.364,0.004,0.005,13.208,10.832,11.115,11.901,11.329,11.173,12.608,11.523,13.097,11.663,10.889,11.069,11.025,9.711,9.734,11.374,13.989,0,0
3758402340,0.150699997,25.832,12.639,21.821,13.211,7.882,21.623,1616.333,0.848,395.601,24.254,14.277,8.859,0,0,0,0,0,5941.339,1.589,0,253.346,8.862,137.568,13.039,127.152,6.591,6.414,25.403,254.389,29.389,3.98,2.457,24.768,16.975,23.589,-3.704,0,10.989,4.399,1,0,3.827,2.94,0.001,0.363,2.411,0.004,0.005,13.217,10.832,11.125,11.892,11.34,11.172,12.605,11.527,13.07,11.659,10.89,11.072,11.032,9.736,9.744,11.388,13.995,0,0
3758402342,0.186816669,25.834,12.668,21.821,13.217,7.866,21.621,1623.814,0.82,395.61,24.287,14.277,8.894,0,0,0,0,0,5937.008,1.585,0,250.923,8.868,137.645,13.042,126.897,6.531,6.477,25.385,254.365,29.386,3.995,2.457,24.761,16.975,23.59,-3.704,0,10.99,4.459,1,0,3.792,2.926,0.001,0.463,2.363,0.004,0.005,13.217,10.83,11.119,11.9,11.344,11.172,12.612,11.55,13.08,11.671,10.909,11.078,11.042,9.732,9.743,11.387,14.012,0,0
3758402344,0.214949997,25.823,12.63,21.821,13.198,7.87,21.622,1620.534,0.829,395.599,24.273,14.277,8.917,0,0,0,0,0,5930.532,1.575,0,251.355,8.853,137.671,13.04,127.086,6.575,6.431,25.395,254.543,29.412,4.01,2.457,24.74,16.975,23.592,-3.704,0,10.998,4.422,1,0,3.798,2.912,0.001,0.346,2.396,0.004,0.005,13.223,10.855,11.104,11.899,11.347,11.173,12.601,11.529,13.084,11.677,10.897,11.073,11.044,9.732,9.75,11.394,14.014,0,0
3758402346,0.244400001,25.816,12.7,21.821,13.229,7.881,21.622,1628.321,0.825,395.603,24.236,14.277,9.053,0,0,0,0,0,5913.466,1.579,0,248.902,8.863,137.606,13.029,127.017,6.559,6.436,25.409,254.35,29.384,3.969,2.457,24.774,16.975,23.584,-3.704,0,11.008,4.448,1,0,3.76,2.946,0.001,0.598,2.388,0.004,0.005,13.23,10.842,11.115,11.888,11.343,11.175,12.599,11.528,13.096,11.652,10.889,11.072,11.045,9.735,9.742,11.398,14.005,0,0
3758402347,0.271516665,25.813,12.664,21.821,13.209,7.878,21.622,1620.345,0.834,395.595,24.265,14.277,9.09,0,0,0,0,0,5919.734,1.594,0,251.498,8.863,137.649,13.018,126.959,6.546,6.439,25.393,254.346,29.383,3.984,2.457,24.745,16.975,23.568,-3.704,0,11.006,4.461,1,0,3.8,2.938,0.001,0.477,2.405,0.004,0.005,13.224,10.837,11.106,11.873,11.334,11.187,12.599,11.518,13.086,11.659,10.881,11.074,11.043,9.729,9.726,11.398,14.008,0,0
3758402349,0.295899995,25.818,12.707,21.821,13.216,7.879,21.623,1620.375,0.825,395.596,24.275,14.277,9.175,0,0,0,0,0,5944.38,1.589,0,249.441,8.842,137.649,12.997,126.882,6.528,6.436,25.421,254.029,29.338,3.911,2.457,24.743,16.975,23.577,-3.704,0,11.018,4.49,1,0,3.768,2.952,0.001,0.619,2.399,0.004,0.005,13.241,10.837,11.109,11.884,11.336,11.183,12.599,11.525,13.093,11.653,10.881,11.061,11.041,9.721,9.728,11.398,14.008,0,0
3758402351,0.326433333,25.827,12.687,21.82,13.204,7.886,21.622,1633.999,0.845,395.611,24.244,14.278,9.215,0,0,0,0,0,5944.494,1.587,0,251.922,8.846,137.552,12.986,126.93,6.539,6.414,25.404,254.286,29.375,3.964,2.457,24.742,16.975,23.589,-3.704,0,11.021,4.482,1,0,3.805,2.934,0.001,0.536,2.432,0.004,0.005,13.224,10.818,11.084,11.858,11.319,11.18,12.58,11.533,13.11,11.654,10.869,11.057,11.028,9.706,9.718,11.399,13.995,0,0
3758402352,0.350899998,25.799,12.671,21.821,13.198,7.903,21.621,1633.974,0.841,395.627,24.245,14.277,9.278,0,0,0,0,0,5932.294,1.599,0,250.992,8.85,137.57,12.986,126.995,6.554,6.398,25.411,254.516,29.408,3.991,2.457,24.731,16.975,23.574,-3.704,0,11.009,4.455,1,0,3.791,2.938,0.001,0.522,2.484,0.004,0.005,13.238,10.816,11.087,11.849,11.322,11.164,12.581,11.526,13.135,11.647,10.876,11.054,11.018,9.702,9.711,11.392,13.985,0,0
3758402354,0.382199995,25.812,12.647,21.821,13.191,7.876,21.622,1631.633,0.856,395.594,24.272,14.277,9.223,0,0,0,0,0,5932.2,1.582,0,251.8,8.855,137.588,13,126.961,6.546,6.421,25.405,254.259,29.371,3.96,2.457,24.754,16.975,23.577,-3.704,0,11.012,4.466,1,0,3.804,2.938,0.001,0.421,2.42,0.004,0.005,13.227,10.811,11.084,11.852,11.315,11.156,12.584,11.543,13.151,11.64,10.851,11.032,11.023,9.688,9.698,11.394,13.996,0,0
3758402356,0.409433333,25.818,12.699,21.822,13.209,7.89,21.622,1663.328,0.838,395.601,24.273,14.277,9.191,0,0,0,0,0,5925.025,1.58,0,252.667,8.869,137.613,12.983,127.064,6.57,6.379,25.419,254.461,29.4,3.975,2.457,24.751,16.975,23.578,-3.704,0,11.016,4.446,1,0,3.816,2.961,0.001,0.592,2.436,0.004,0.005,13.232,10.806,11.088,11.843,11.314,11.143,12.582,11.521,13.169,11.624,10.841,11.036,11.031,9.693,9.692,11.393,13.995,0,0
3758402358,0.439599999,25.815,12.644,21.82,13.209,7.867,21.622,1622.132,0.875,395.608,24.267,14.275,9.14,0,0,0,0,0,5921.065,1.588,0,251.984,8.863,137.678,12.994,127.019,6.56,6.401,25.401,254.34,29.382,3.975,2.457,24.737,16.975,23.575,-3.704,0,11.01,4.45,1,0,3.806,2.994,0.001,0.409,2.375,0.004,0.005,13.249,10.826,11.098,11.859,11.317,11.164,12.597,11.534,13.171,11.641,10.858,11.053,11.047,9.698,9.71,11.394,13.988,0,0
3758402360,0.474883334,25.819,12.656,21.819,13.212,7.879,21.622,1619.987,0.827,395.554,24.283,14.277,9.136,0,0,0,0,0,5935.828,1.593,0,251.155,8.858,137.651,12.992,127.01,6.557,6.401,25.384,254.504,29.406,4.015,2.457,24.735,16.975,23.593,-3.704,0,11.004,4.447,1,0,3.794,2.921,0.001,0.44,2.403,0.004,0.005,13.258,10.827,11.082,11.871,11.318,11.165,12.586,11.514,13.191,11.643,10.859,11.037,11.037,9.704,9.706,11.388,13.991,0,0
3758402362,0.511099998,25.837,12.646,21.821,13.208,7.883,21.622,1632.977,0.825,395.602,24.3,14.278,9.052,0,0,0,0,0,5942.976,1.588,0,250.466,8.859,137.63,12.959,126.975,6.549,6.376,25.39,254.571,29.416,4.019,2.457,24.772,16.975,23.598,-3.704,0,11.012,4.463,1,0,3.783,2.908,0.001,0.383,2.419,0.004,0.005,13.275,10.826,11.091,11.873,11.314,11.181,12.598,11.532,13.194,11.646,10.866,11.057,11.038,9.71,9.711,11.394,13.984,0,0
3758402364,0.539283331,25.83,12.638,21.82,13.208,7.861,21.622,1677.808,0.839,395.62,24.256,14.276,8.974,0,0,0,0,0,5935.366,1.594,0,250.931,8.875,137.632,12.964,127.035,6.564,6.367,25.39,254.196,29.362,3.966,2.457,24.771,16.975,23.603,-3.704,0,11.009,4.445,1,0,3.79,2.938,0.001,0.367,2.362,0.004,0.005,13.272,10.832,11.104,11.874,11.326,11.167,12.609,11.54,13.2,11.639,10.876,11.052,11.031,9.725,9.717,11.394,13.992,0,0
3758402365,0.567683331,25.836,12.661,21.82,13.206,7.865,21.622,1604.172,0.892,395.58,24.249,14.277,8.949,0,0,0,0,0,5945.137,1.578,0,252.878,8.874,137.704,12.931,126.851,6.52,6.377,25.411,254.412,29.393,3.976,2.457,24.757,16.975,23.585,-3.704,0,11.009,4.488,1,0,3.819,3.032,0.001,0.435,2.375,0.004,0.005,13.274,10.833,11.103,11.871,11.335,11.157,12.592,11.548,13.188,11.649,10.875,11.054,11.041,9.728,9.723,11.396,13.985,0,0
3758402367,0.602966666,25.803,12.661,21.821,13.206,7.857,21.621,1661.803,0.807,395.611,24.257,14.278,8.971,0,0,0,0,0,5918.954,1.581,0,252.303,8.879,137.701,12.902,127.042,6.565,6.303,25.394,254.356,29.385,3.984,2.457,24.754,16.975,23.589,-3.704,0,11.008,4.443,1,0,3.809,2.904,0.001,0.479,2.353,0.004,0.005,13.272,10.835,11.103,11.872,11.337,11.165,12.581,11.543,13.183,11.655,10.886,11.074,11.033,9.713,9.719,11.395,13.994,0,0
3758402369,0.631683334,25.8,12.658,21.82,13.219,7.855,21.622,1643.792,0.873,395.618,24.286,14.277,8.975,0,0,0,0,0,5922.764,1.605,0,251.435,8.887,137.721,12.894,127.192,6.6,6.26,25.405,254.375,29.388,3.977,2.457,24.751,16.975,23.595,-3.704,0,11.011,4.411,1,0,3.795,3.008,0.001,0.474,2.333,0.004,0.005,13.287,10.843,11.109,11.865,11.328,11.169,12.587,11.54,13.175,11.648,10.89,11.063,11.04,9.723,9.723,11.39,14.005,0,0
3758402371,0.665149999,25.832,12.657,21.821,13.201,7.885,21.622,1632.556,0.852,395.602,24.259,14.276,8.893,0,0,0,0,0,5962.68,1.594,0,252.779,8.899,137.759,12.888,127.295,6.624,6.23,25.423,254.359,29.385,3.956,2.457,24.748,16.975,23.585,-3.704,0,11.017,4.393,1,0,3.814,2.957,0.001,0.429,2.434,0.004,0.005,13.276,10.835,11.081,11.863,11.348,11.164,12.584,11.511,13.164,11.646,10.878,11.062,11.031,9.716,9.717,11.403,14.009,0,0
3758402373,0.690149999,25.845,12.661,21.821,13.203,7.88,21.623,1632.567,0.839,395.578,24.259,14.277,8.826,0,0,0,0,0,5944.297,1.603,0,251.985,8.902,137.812,12.852,127.106,6.58,6.239,25.433,254.475,29.402,3.963,2.457,24.748,16.975,23.605,-3.704,0,11.014,4.434,1,0,3.802,2.942,0.001,0.424,2.417,0.004,0.005,13.273,10.845,11.1,11.852,11.339,11.163,12.587,11.52,13.149,11.629,10.881,11.072,11.045,9.736,9.725,11.404,13.994,0,0
3758402374,0.721499999,25.864,12.646,21.82,13.201,7.868,21.623,1644.297,0.846,395.612,24.256,14.278,8.744,0,0,0,0,0,5944.339,1.606,0,252.474,8.908,137.826,12.821,127.329,6.632,6.156,25.411,254.491,29.404,3.987,2.457,24.779,16.975,23.588,-3.704,0,11.03,4.398,1,0,3.808,2.939,0.001,0.343,2.388,0.004,0.005,13.248,10.827,11.095,11.848,11.335,11.175,12.606,11.527,13.167,11.647,10.885,11.058,11.037,9.72,9.716,11.407,13.987,0,0
3758402376,0.75213333,25.841,12.651,21.821,13.173,7.851,21.622,1643.961,0.853,395.618,24.262,14.277,8.668,0,0,0,0,0,5964.657,1.584,0,253.213,8.924,137.854,12.835,127.405,6.65,6.153,25.417,254.703,29.435,4.011,2.457,24.756,16.975,23.602,-3.704,0,11.013,4.364,1,0,3.819,2.973,0.001,0.393,2.378,0.004,0.005,13.261,10.831,11.082,11.863,11.35,11.169,12.596,11.528,13.161,11.648,10.878,11.066,11.037,9.72,9.726,11.405,13.997,0,0
