Tdb_in,Twb_in,Tdb_out,Twb_out,Tw1,Tw2,Texv1,Tr2,Refr. RTD,uTdb_in,uTwb_in,uTdb_out,uTwb_out,uTw1,uTw2,uTexv1,uTr2,uRefr. RTD
9.919479578,9.948091568,9.922706192,9.914498682,10.07235705,10.0929473,9.934953228,9.898957181,9.92358498,0.004105402,-0.024506588,0.000878788,0.009086298,-0.14877207,-0.16936232,-0.011368248,0.024627799,0
19.90279762,19.9172619,19.9072381,19.89621032,20.02706548,20.05100595,19.8932381,19.84635714,19.89016071,-0.01263691,-0.02710119,-0.01707739,-0.00604961,-0.13690477,-0.16084524,-0.00307739,0.04380357,0
29.89270164,29.8991377,29.89385574,29.88980656,29.99599344,30.01756066,29.86040656,29.80653115,29.8562,-0.03650164,-0.0429377,-0.03765574,-0.03360656,-0.13979344,-0.16136066,-0.00420656,0.04966885,0
39.86441262,39.87282767,39.8641335,39.85861408,39.94465777,39.97340291,39.80516019,39.7510801,39.80769175,-0.05672087,-0.06513592,-0.05644175,-0.05092233,-0.13696602,-0.16571116,0.00253156,0.05661165,0
49.82820158,49.82689328,49.82419368,49.81312451,49.87729051,49.91056522,49.74490514,49.67362451,49.72937747,-0.09882411,-0.09751581,-0.09481621,-0.08374704,-0.14791304,-0.18118775,-0.01552767,0.05575296,0
