Test File,Tdb_in (°C),Twb_in(°C),RH_in (%),Tdb_out(°C),Q_dot_air (CFM),delta_P_nozzle (in W.G.),P_in_nozzle (in W.G.),P_atm (psi),T_w_in (°C),P_w_in (PSIG),T_w_out (°C),dp_w (in W.G.),m_w (kg/h),T_exv_in (°C),P_exv_in (PSIG),T_evap_in(°C),T_evap_out(°C),P_evap_out (PSIG),m_r (kg/hr_),Q_a (kW),un_Q_a (kW),Q_a_sens (kW),un_Q_a_sens (kW),Q_w (kW),un_Q_w (kW),Q_r (kW),un_Q_r (kW),air-water  (%),air-refr (%),water-refr (%),air+water - refr (%)
ricoil_CC1.csv,26.0272,12.3196806,12.68184478,18.71712537,1762.09215,0.893047761,0.026016064,14.40620299,26.86797313,19.85991642,22.94584478,-21.98936716,1773.160875,26.37658209,269.926009,12.96378507,16.19825373,146.7642507,291.6291522,7.912842679,0.319695239,7.009939889,0.362867583,-8.079453502,0.243214924,15.28226988,0.061221828,-14.17570058,-74.21722724,-61.66339922,-1.270108166
ricoil_CC2.csv,25.99883594,12.38092188,12.80380859,20.36735937,1758.487849,0.8895,0.024809396,14.40789453,29.85305859,20.19949219,24.89775,-21.97787891,1772.17707,27.02767188,275.2963555,13.95703516,17.66922266,151.8607266,300.4908672,6.436535998,0.307190635,5.382012708,0.349749457,-10.19932105,0.240435533,15.71887818,0.042319751,-61.8343515,-97.97563076,-42.59213443,-0.878872135
ricoil_CC3.csv,25.86680296,11.82719704,13.12646798,17.04637931,1761.91232,0.894719212,0.024197289,14.41881773,26.85723645,16.14858128,20.72193103,-22.76824631,841.0159163,27.70668966,278.9590788,12.17905911,15.31774877,141.8355764,281.0564926,7.958344578,0.299648424,8.482205921,0.369136017,-5.99475462,0.118077005,14.54466303,0.033937357,34.36427549,-52.65550538,-83.25365944,-0.466565837
ricoil_CC4.csv,25.89121106,11.97640704,14.00979899,18.31051256,1762.086868,0.894025126,0.023564844,14.4090804,29.85150251,16.31142714,22.02276884,-22.76813568,839.5627286,27.47450251,277.7902663,12.84452261,16.33432663,145.4100352,287.6367035,6.866674773,0.30924679,7.278804355,0.362290796,-7.634261487,0.122390167,14.95739274,0.035051721,-4.767056441,-69.06386332,-64.83041195,-0.296794214
ricoil_CC5.csv,28.02122394,13.6499305,17.13553282,19.08885328,1692.480211,0.816490347,0.020232144,14.37698842,26.84892278,20.18746332,23.34480309,-21.98432432,1773.090216,26.31519305,270.8870116,13.45371429,16.76186486,149.237417,295.7061815,7.934866132,0.330097921,8.155635971,0.359381766,-7.21819116,0.249760772,15.52118091,0.042213692,12.19533435,-62.21735781,-73.0274321,-0.953900243
ricoil_CC6.csv,28.02213265,13.66936395,17.13010884,20.76602721,1688.929135,0.813248299,0.01905258,14.38036054,29.83617347,20.51933673,25.33027211,-21.97769048,1772.780442,26.69941837,274.4282823,14.42667687,18.47170068,154.4312313,304.3843027,6.620064372,0.298462904,6.606568188,0.339081238,-9.277538734,0.243859576,16.00963587,0.046772336,-33.63072988,-83.15336789,-53.24515088,-0.787169751
ricoil_CC7.csv,27.92264639,13.71281369,17.21932319,17.54263118,1683.892037,0.809653992,0.019133552,14.39941825,26.8616616,16.67973004,21.37620913,-22.77185551,836.9757681,27.24890875,276.9411749,12.66934981,16.09558555,144.2947338,285.083384,9.254809787,0.34141697,9.450937022,0.380863098,-5.333940494,0.113964196,14.84988714,0.043066136,55.69199371,-44.43429638,-94.29278546,-0.438738904
ricoil_CC8.csv,27.95256347,13.6595418,17.13628173,18.8390031,1686.167047,0.811408669,0.018919953,14.3917678,29.87452941,16.88433127,22.69540248,-22.77177709,835.4448421,27.03760062,276.0808824,13.39663777,16.96671207,148.2680526,292.8118545,8.224152357,0.329226387,8.300735629,0.368301261,-6.966295384,0.130491034,15.30386783,0.038753459,17.48133273,-59.33700362,-74.87661737,-0.240992727
