Time elapsed (s),Time Elapsed (min),Tdb_in (C),Twb_in (C),RH_in,Tdb_out (C),Twb_out(C),RH_out(C),Q_dot_air_TriCoil (CFM),dP_nozzle_TriCoil (in W.G.),Pin_nozzle_TriCoil (in W.G),Outdoor Temp (C),Atm Pressure (PSI),Heater Output (kW),FMWP,FMEP,LBWP,LBEP,Steam Humidifier (%),Q_dot_air_wt (CFM),dP_nozzle (in W.G.),Pin_nozzle (PSIG),m_dot_r (kg/h),T_evap_in (C),P_evap_in_coolprop (PSI),T_evap_out (C),P_evap_out (PSIG),T_evap_sat (C),SH (K),T_exv_in (C),P_exv_in (PSIG),T_cond_sat (C),SC (K),m_dot_w (kg/h),T_w_in (C),P_w_in (PSIG),T_w_out (C),dp_w (in W.G.),Water Heater (% of total capacity),T_evap_out_TC (C),SH_TC (K),Water Reverse Flow,TriCoil Refr. Reverse Flow,Q_ref (tons),Q_air (tons),Q_w (tons),Inlet Air Dew Point (C),Outlet Air Dew Point (C),Inlet Air Humdity Ratio (kg/kg),Outlet Air Humidity Ratio (kg/kg),TriCoil Outlet (11),TriCoil Outlet (12),TriCoil Outlet (13),TriCoil Outlet (21),TriCoil Outlet (22),TriCoil Outlet (23),TriCoil Outlet (31),TriCoil Outlet (32),TriCoil Outlet (33),TriCoil Outlet (41),TriCoil Outlet (42),TriCoil Outlet (43),TriCoil Outlet (51),TriCoil Outlet (52),TriCoil Outlet (53) ,TriCoil Outlet (Avg),DB2_TC,Compressor Speed (RPM),,Heat Balance (%)
3757873653,2.36946667,21.869,18.648,17.372,20.99,12.664,16.75,154.183,0.009,398.116,23.76,14.368,0,0,0,0,0,0,98.619,0.001,0,263.398,11.756,151.106,14.137,141.289,9.787,4.316,25.709,252.575,29.141,3.426,1769.327,29.862,21.882,23.373,-21.997,33.887,19.323,9.536,0,0,3.938,0.398,3.81,17.053,5.988,0.013,0.006,18.798,18.832,18.898,19.485,19.383,19.346,18.211,18.158,18.284,19.381,19.179,19.227,17.429,17.662,17.444,18.656,21.414,3437,1769,-3.304078472
3757873655,2.400283337,21.871,18.628,17.372,20.984,12.658,16.749,137.254,0.01,398.093,23.773,14.368,0,0,0,0,0,0,98.618,0.001,0,263.2,11.77,151.103,14.137,141.337,9.797,4.306,25.7,252.563,29.139,3.434,1768.565,29.849,21.878,23.391,-21.997,33.859,19.329,9.532,0,0,3.935,0.423,3.79,17.02,5.979,0.012,0.006,18.84,18.858,18.953,19.482,19.374,19.324,18.197,18.154,18.274,19.369,19.171,19.237,17.44,17.67,17.487,18.658,21.406,3437,1769,-3.754045307
3757873656,2.43076667,21.853,18.637,17.371,20.982,12.658,16.749,124.52,0.008,398.1,23.78,14.368,0,0,0,0,0,0,98.616,0.001,0,263.253,11.763,151.173,14.141,141.367,9.804,4.303,25.718,252.629,29.149,3.425,1770.132,29.865,21.898,23.382,-21.997,33.862,19.329,9.526,0,0,3.935,0.377,3.808,17.044,5.98,0.012,0.006,18.819,18.864,18.932,19.475,19.364,19.315,18.194,18.152,18.275,19.376,19.17,19.227,17.427,17.667,17.456,18.65,21.408,3437,1769,-3.280382281
3757873658,2.461266669,21.847,18.67,17.371,21.016,12.687,16.749,150.415,0.007,398.116,23.769,14.37,0,0,0,0,0,0,98.613,0.001,0,263.592,11.761,151.139,14.153,141.289,9.787,4.332,25.72,252.59,29.144,3.417,1769.562,29.855,21.971,23.348,-21.998,33.841,19.333,9.546,0,0,3.941,0.343,3.821,17.1,6.019,0.013,0.006,18.804,18.842,18.912,19.495,19.384,19.346,18.209,18.161,18.28,19.378,19.16,19.242,17.41,17.642,17.435,18.644,21.407,3437,1769,-3.091986601
3757873660,2.492783332,21.873,18.658,17.373,20.994,12.676,16.749,156.411,0.01,398.148,23.767,14.368,0,0,0,0,0,0,98.616,0.001,0,263.284,11.764,151.126,14.132,141.532,9.84,4.257,25.738,252.669,29.155,3.411,1770.181,29.854,21.924,23.369,-21.998,33.87,19.328,9.489,0,0,3.934,0.414,3.809,17.068,6.012,0.013,0.006,18.82,18.838,18.908,19.517,19.396,19.34,18.201,18.158,18.278,19.375,19.179,19.273,17.414,17.653,17.439,18.649,21.4,3437,1769,-3.228722717
3757873662,2.529933333,21.856,18.646,17.372,20.999,12.665,16.75,148.916,0.011,398.1,23.775,14.368,0,0,0,0,0,0,98.618,0.001,0,263.485,11.757,151.139,14.112,141.418,9.815,4.263,25.726,252.562,29.139,3.408,1768.018,29.888,21.877,23.374,-21.998,33.803,19.338,9.523,0,0,3.938,0.43,3.821,17.057,5.981,0.013,0.006,18.823,18.832,18.91,19.517,19.367,19.312,18.187,18.141,18.255,19.375,19.15,19.316,17.401,17.656,17.437,18.644,21.397,3437,1769,-3.015852558
3757873664,2.560316666,21.867,18.672,17.373,21.001,12.668,16.75,139.185,0.01,398.1,23.744,14.368,0,0,0,0,0,0,98.618,0.001,0,263.559,11.76,151.106,14.086,141.426,9.816,4.235,25.747,252.574,29.141,3.388,1767.704,29.862,21.913,23.371,-21.998,33.804,19.332,9.516,0,0,3.937,0.411,3.808,17.093,5.986,0.013,0.006,18.814,18.841,18.901,19.522,19.375,19.347,18.189,18.155,18.264,19.382,19.154,19.298,17.405,17.637,17.421,18.645,21.416,3437,1769,-3.331181407
3757873666,2.596650004,21.828,18.641,17.372,20.994,12.672,16.749,131.88,0.009,398.1,23.778,14.37,0,0,0,0,0,0,98.619,0.001,0,263.628,11.772,151.124,14.096,141.317,9.793,4.269,25.748,252.495,29.13,3.376,1769.737,29.874,21.937,23.379,-21.997,33.783,19.343,9.55,0,0,3.939,0.382,3.814,17.063,6.002,0.013,0.006,18.84,18.843,18.879,19.528,19.37,19.332,18.179,18.135,18.263,19.386,19.159,19.339,17.41,17.651,17.422,18.653,21.414,3437,1769,-3.224558236
3757873668,2.627900004,21.83,18.661,17.372,20.972,12.678,16.75,156.701,0.008,398.148,23.79,14.368,0,0,0,0,0,0,98.612,0.001,0,263.228,11.768,151.179,14.057,141.33,9.796,4.227,25.712,252.622,29.148,3.43,1768.243,29.882,21.838,23.377,-21.997,33.804,19.322,9.526,0,0,3.933,0.363,3.817,17.094,6.041,0.013,0.006,18.846,18.835,18.891,19.526,19.374,19.334,18.191,18.145,18.265,19.383,19.159,19.305,17.416,17.653,17.443,18.65,21.402,3437,1769,-2.993548387
3757873670,2.659116666,21.868,18.664,17.372,21.004,12.647,16.75,166.462,0.011,398.1,23.764,14.37,0,0,0,0,0,0,98.614,0.001,0,263.303,11.776,151.157,14.096,141.401,9.811,4.25,25.744,252.546,29.137,3.387,1767.94,29.88,21.927,23.37,-21.997,33.797,19.326,9.515,0,0,3.934,0.434,3.819,17.079,5.93,0.013,0.006,18.837,18.845,18.907,19.516,19.353,19.318,18.192,18.132,18.258,19.368,19.152,19.303,17.397,17.64,17.442,18.644,21.405,3437,1769,-2.966593577
3757873672,2.695516666,21.873,18.634,17.372,20.987,12.677,16.749,131.718,0.012,398.172,23.78,14.369,0,0,0,0,0,0,98.61,0.001,0,263.51,11.772,151.198,14.082,141.45,9.822,4.226,25.714,252.633,29.15,3.43,1767.733,29.861,21.883,23.373,-21.997,33.822,19.333,9.511,0,0,3.938,0.456,3.806,17.029,6.022,0.012,0.006,18.843,18.846,18.918,19.523,19.365,19.338,18.212,18.152,18.267,19.38,19.172,19.309,17.415,17.655,17.453,18.639,21.407,3437,1769,-3.409090909
3757873675,2.733950003,21.863,18.631,17.372,20.998,12.648,16.75,128.164,0.008,398.124,23.763,14.368,0,0,0,0,0,0,98.613,0.001,0,263.434,11.767,151.179,14.092,141.443,9.82,4.238,25.744,252.548,29.137,3.387,1768.108,29.862,21.93,23.381,-21.998,33.775,19.344,9.523,0,0,3.936,0.362,3.803,17.029,5.939,0.012,0.006,18.839,18.85,18.919,19.527,19.372,19.355,18.21,18.147,18.266,19.387,19.177,19.316,17.405,17.64,17.462,18.647,21.409,3437,1769,-3.437136581
3757873676,2.764983336,21.872,18.651,17.372,21.021,12.664,16.748,122.324,0.007,398.116,23.786,14.369,0,0,0,0,0,0,98.616,0.001,0,263.284,11.764,151.157,14.069,141.395,9.81,4.225,25.712,252.528,29.135,3.416,1768.172,29.871,21.909,23.377,-21.998,33.774,19.353,9.543,0,0,3.934,0.353,3.81,17.057,5.957,0.013,0.006,18.826,18.835,18.916,19.496,19.358,19.337,18.207,18.149,18.276,19.38,19.178,19.294,17.411,17.635,17.453,18.65,21.403,3437,1769,-3.202479339
3757873678,2.795100005,21.881,18.647,17.373,21.014,12.648,16.75,143.128,0.007,398.132,23.75,14.37,0,0,0,0,0,0,98.618,0.001,0,263.72,11.753,151.141,14.085,141.17,9.761,4.29,25.711,252.303,29.102,3.385,1768.277,29.85,21.864,23.371,-21.998,33.781,19.379,9.618,0,0,3.942,0.337,3.802,17.045,5.922,0.012,0.006,18.817,18.818,18.897,19.506,19.349,19.313,18.204,18.143,18.271,19.366,19.182,19.295,17.407,17.639,17.457,18.645,21.423,3437,1769,-3.615702479
3757873680,2.832233334,21.867,18.664,17.372,21.01,12.656,16.75,154.829,0.009,398.164,23.779,14.369,0,0,0,0,0,0,98.613,0.001,0,263.526,11.753,151.089,14.058,141.31,9.792,4.232,25.729,252.462,29.125,3.39,1769.496,29.828,21.907,23.378,-21.997,33.795,19.369,9.578,0,0,3.937,0.396,3.787,17.081,5.948,0.013,0.006,18.83,18.822,18.897,19.501,19.36,19.317,18.205,18.145,18.265,19.369,19.177,19.312,17.413,17.663,17.465,18.654,21.392,3437,1769,-3.883997929
3757873683,2.869550006,21.883,18.638,17.373,21.003,12.635,16.75,141.839,0.011,398.124,23.78,14.368,0,0,0,0,0,0,98.617,0.001,0,263.486,11.746,151.088,14.061,141.217,9.771,4.255,25.708,252.602,29.145,3.431,1769.723,29.825,21.987,23.383,-21.998,33.794,19.349,9.578,0,0,3.938,0.427,3.783,17.031,5.902,0.012,0.006,18.834,18.809,18.896,19.512,19.356,19.299,18.205,18.142,18.255,19.382,19.186,19.313,17.403,17.627,17.441,18.646,21.415,3437,1769,-4.015023961
3757873685,2.900233332,21.864,18.66,17.373,21.009,12.654,16.75,142.219,0.009,398.1,23.778,14.369,0,0,0,0,0,0,98.619,0.001,0,263.547,11.77,151.052,14.089,141.188,9.765,4.29,25.712,252.621,29.148,3.43,1768.634,29.814,21.955,23.369,-21.998,33.779,19.358,9.593,0,0,3.939,0.392,3.783,17.075,5.944,0.013,0.006,18.834,18.8,18.886,19.508,19.369,19.32,18.2,18.132,18.241,19.371,19.181,19.335,17.403,17.656,17.447,18.658,21.406,3437,1769,-4.04040404
3757873686,2.931400005,21.861,18.642,17.373,21.008,12.648,16.749,137.081,0.009,398.14,23.767,14.37,0,0,0,0,0,0,98.615,0.001,0,263.457,11.742,151.169,14.056,141.321,9.794,4.227,25.739,252.545,29.137,3.392,1768.446,29.832,21.842,23.364,-21.998,33.807,19.34,9.546,0,0,3.936,0.392,3.796,17.047,5.928,0.012,0.006,18.827,18.793,18.902,19.524,19.397,19.33,18.193,18.141,18.252,19.385,19.191,19.353,17.419,17.646,17.445,18.645,21.416,3437,1769,-3.62131402
3757873688,2.962550004,21.861,18.61,17.372,20.996,12.677,16.75,131.888,0.008,398.148,23.759,14.37,0,0,0,0,0,0,98.614,0.001,0,263.582,11.767,151.033,14.086,141.241,9.777,4.275,25.729,252.553,29.138,3.403,1768.184,29.826,21.908,23.363,-21.998,33.809,19.346,9.569,0,0,3.939,0.374,3.792,16.995,6.012,0.012,0.006,18.826,18.789,18.898,19.528,19.399,19.319,18.198,18.142,18.249,19.382,19.17,19.332,17.438,17.644,17.439,18.647,21.411,3437,1769,-3.802871556
3757873690,2.998916666,21.855,18.655,17.373,21.014,12.653,16.749,150.956,0.008,398.156,23.789,14.369,0,0,0,0,0,0,98.611,0.001,0,263.337,11.755,151.155,14.051,141.296,9.789,4.228,25.719,252.717,29.162,3.436,1766.915,29.813,21.963,23.372,-21.997,33.77,19.317,9.529,0,0,3.935,0.364,3.777,17.073,5.937,0.013,0.006,18.803,18.781,18.902,19.522,19.403,19.316,18.19,18.141,18.246,19.384,19.174,19.316,17.428,17.635,17.413,18.64,21.415,3437,1769,-4.097510373
3757873693,3.035933336,21.847,18.653,17.372,20.997,12.644,16.75,143.285,0.01,398.124,23.779,14.369,0,0,0,0,0,0,98.618,0.001,0,263.656,11.762,151.099,14.067,141.244,9.777,4.256,25.72,252.576,29.142,3.415,1767.719,29.825,21.888,23.354,-21.998,33.818,19.313,9.535,0,0,3.94,0.417,3.796,17.073,5.931,0.013,0.006,18.813,18.773,18.875,19.516,19.395,19.336,18.181,18.13,18.231,19.379,19.182,19.326,17.429,17.639,17.387,18.639,21.41,3437,1769,-3.722854188
3757873695,3.066733336,21.857,18.655,17.372,21.012,12.64,16.749,152.617,0.009,398.132,23.8,14.368,0,0,0,0,0,0,98.614,0.001,0,263.369,11.769,151.133,14.05,141.197,9.767,4.249,25.723,252.5,29.131,3.401,1768.098,29.859,21.951,23.375,-21.998,33.836,19.311,9.544,0,0,3.935,0.396,3.804,17.072,5.907,0.013,0.006,18.824,18.788,18.874,19.529,19.405,19.344,18.193,18.128,18.232,19.379,19.192,19.366,17.428,17.636,17.388,18.634,21.398,3437,1769,-3.385450317
3757873697,3.104200006,21.871,18.647,17.372,21.009,12.681,16.749,126.797,0.01,398.108,23.804,14.369,0,0,0,0,0,0,98.62,0.001,0,263.621,11.761,151.166,14.045,141.354,9.801,4.21,25.737,252.613,29.147,3.403,1768.295,29.874,21.887,23.348,-21.998,33.839,19.308,9.507,0,0,3.938,0.419,3.83,17.05,6.009,0.013,0.006,18.815,18.779,18.89,19.529,19.418,19.352,18.174,18.118,18.227,19.399,19.202,19.374,17.433,17.656,17.384,18.633,21.404,3437,1769,-2.780638517
3757873699,3.135549998,21.886,18.644,17.372,20.997,12.654,16.633,139.898,0.007,398.14,23.779,14.371,0,0,0,0,0,0,98.615,0.001,0,263.101,11.767,151.129,14.032,141.432,9.818,4.179,25.727,252.684,29.157,3.424,1768.201,29.875,21.954,23.331,-21.997,33.82,19.3,9.482,0,0,3.93,0.349,3.84,17.038,5.954,0.012,0.006,18.817,18.773,18.876,19.517,19.413,19.324,18.167,18.105,18.216,19.391,19.228,19.381,17.434,17.656,17.385,18.637,21.397,3437,1769,-2.316602317
3757873701,3.173133334,21.848,18.648,17.372,21.009,12.665,16.633,116.441,0.009,398.188,23.786,14.369,0,0,0,0,0,0,98.606,0.001,0,263.036,11.765,151.153,14.035,141.43,9.818,4.183,25.722,252.497,29.13,3.402,1768.098,29.901,21.845,23.34,-21.997,33.817,19.303,9.485,0,0,3.929,0.385,3.85,17.065,5.972,0.013,0.006,18.826,18.773,18.899,19.544,19.413,19.34,18.183,18.136,18.235,19.392,19.218,19.38,17.416,17.66,17.389,18.635,21.414,3437,1769,-2.031109397
3757873703,3.204933333,21.867,18.637,17.372,21.019,12.688,16.75,127.712,0.006,398.132,23.793,14.369,0,0,0,0,0,0,98.615,0.001,0,263.079,11.778,151.146,14.034,141.472,9.827,4.174,25.735,252.592,29.144,3.403,1765.621,29.897,21.899,23.357,-21.997,33.817,19.303,9.476,0,0,3.929,0.319,3.832,17.036,6.018,0.012,0.006,18.833,18.774,18.885,19.54,19.402,19.329,18.178,18.126,18.223,19.378,19.198,19.373,17.412,17.654,17.387,18.647,21.422,3437,1769,-2.499677877
3757873705,3.241316668,21.883,18.651,17.372,21.021,12.653,16.748,160.007,0.007,398.14,23.762,14.369,0,0,0,0,0,0,98.617,0.001,0,263.223,11.757,151.207,14.046,141.364,9.803,4.208,25.713,252.521,29.134,3.414,1768.277,29.885,21.831,23.352,-21.998,33.836,19.309,9.506,0,0,3.933,0.352,3.834,17.05,5.929,0.013,0.006,18.855,18.8,18.898,19.528,19.4,19.348,18.206,18.14,18.231,19.384,19.207,19.367,17.429,17.672,17.405,18.645,21.408,3437,1769,-2.549246813
3757873707,3.273883335,21.875,18.647,17.372,21.01,12.648,16.75,132.332,0.011,398.124,23.777,14.369,0,0,0,0,0,0,98.619,0.001,0,263.453,11.777,151.108,14.05,141.44,9.82,4.196,25.726,252.591,29.144,3.411,1768.377,29.912,21.916,23.363,-21.997,33.827,19.283,9.464,0,0,3.936,0.441,3.843,17.049,5.927,0.013,0.006,18.838,18.786,18.874,19.528,19.384,19.326,18.186,18.114,18.227,19.372,19.188,19.385,17.41,17.669,17.386,18.637,21.407,3437,1769,-2.391052835
3757873709,3.304866672,21.86,18.629,17.372,21.001,12.653,16.748,136.875,0.008,398.124,23.767,14.369,0,0,0,0,0,0,98.617,0.001,0,263.197,11.749,151.203,14.061,141.404,9.812,4.214,25.712,252.495,29.13,3.411,1768.417,29.904,21.923,23.364,-21.998,33.827,19.28,9.469,0,0,3.933,0.364,3.838,17.028,5.95,0.012,0.006,18.825,18.779,18.864,19.531,19.413,19.326,18.211,18.131,18.221,19.388,19.194,19.357,17.421,17.656,17.382,18.639,21.421,3437,1769,-2.444987775
3757873711,3.341200002,21.863,18.637,17.372,21.014,12.662,16.75,140.906,0.008,398.124,23.786,14.368,0,0,0,0,0,0,98.616,0.001,0,263.424,11.767,151.067,14.058,141.274,9.784,4.24,25.723,252.443,29.122,3.393,1770.214,29.9,21.878,23.366,-21.998,33.83,19.286,9.503,0,0,3.936,0.376,3.838,17.039,5.958,0.012,0.006,18.819,18.774,18.866,19.508,19.4,19.325,18.212,18.127,18.242,19.372,19.166,19.313,17.433,17.652,17.393,18.642,21.419,3437,1769,-2.521224595
3757873713,3.372266666,21.883,18.632,17.372,21.021,12.665,16.749,126.796,0.009,398.1,23.775,14.369,0,0,0,0,0,0,98.621,0.001,0,263.211,11.777,151.155,14.079,141.282,9.785,4.259,25.718,252.626,29.149,3.424,1767.854,29.891,21.93,23.385,-21.998,33.815,19.287,9.502,0,0,3.934,0.387,3.817,17.021,5.96,0.012,0.006,18.809,18.775,18.873,19.516,19.413,19.334,18.217,18.118,18.236,19.368,19.161,19.308,17.42,17.649,17.394,18.647,21.407,3437,1769,-3.018965295
3757873715,3.404233336,21.869,18.669,17.373,21.04,12.657,16.75,133.264,0.007,398.132,23.78,14.369,0,0,0,0,0,0,98.618,0.001,0,263.502,11.756,151.207,14.091,141.353,9.801,4.256,25.722,252.651,29.152,3.424,1768.95,29.886,21.957,23.374,-21.997,33.815,19.286,9.485,0,0,3.938,0.351,3.823,17.087,5.919,0.013,0.006,18.822,18.767,18.866,19.498,19.415,19.329,18.207,18.126,18.225,19.366,19.16,19.293,17.421,17.635,17.388,18.64,21.411,3437,1769,-2.963535627
3757873717,3.433950003,21.878,18.641,17.372,21.007,12.634,16.749,155.215,0.008,398.124,23.766,14.369,0,0,0,0,0,0,98.623,0.001,0,263.655,11.764,151.101,14.114,141.3,9.789,4.29,25.703,252.637,29.15,3.441,1769.252,29.908,21.92,23.405,-21.997,33.798,19.264,9.475,0,0,3.941,0.368,3.818,17.038,5.895,0.012,0.006,18.82,18.787,18.888,19.475,19.401,19.306,18.207,18.113,18.222,19.361,19.157,19.291,17.439,17.649,17.384,18.648,21.421,3437,1769,-3.170511664
3757873718,3.464850005,21.882,18.625,17.372,20.994,12.66,16.75,132.154,0.011,398.132,23.788,14.369,0,0,0,0,0,0,98.616,0.001,0,263.464,11.763,151.142,14.137,141.273,9.784,4.32,25.717,252.387,29.114,3.391,1769.509,29.898,21.895,23.399,-21.998,33.785,19.292,9.509,0,0,3.939,0.426,3.816,17.01,5.973,0.012,0.006,18.816,18.81,18.899,19.483,19.398,19.311,18.216,18.13,18.245,19.37,19.149,19.262,17.423,17.65,17.397,18.651,21.411,3437,1769,-3.172147002
3757873720,3.496333337,21.877,18.633,17.373,21.014,12.642,16.749,131.23,0.008,398.132,23.79,14.369,0,0,0,0,0,0,98.614,0.001,0,263.304,11.766,151.138,14.131,141.394,9.81,4.287,25.731,252.351,29.109,3.372,1766.902,29.879,21.952,23.404,-21.998,33.787,19.303,9.494,0,0,3.935,0.364,3.796,17.025,5.909,0.012,0.006,18.819,18.797,18.908,19.48,19.377,19.309,18.224,18.125,18.23,19.367,19.151,19.276,17.425,17.647,17.395,18.647,21.413,3437,1769,-3.59591256
3757873722,3.528366669,21.873,18.667,17.373,20.989,12.643,16.75,137.416,0.008,398.132,23.764,14.369,0,0,0,0,0,0,98.617,0.001,0,263.278,11.762,151.149,14.149,141.391,9.809,4.306,25.712,252.651,29.152,3.434,1767.043,29.92,21.896,23.402,-21.997,33.815,19.304,9.495,0,0,3.936,0.364,3.822,17.081,5.937,0.013,0.006,18.817,18.812,18.931,19.505,19.395,19.333,18.228,18.155,18.264,19.383,19.152,19.252,17.427,17.634,17.419,18.647,21.42,3437,1769,-2.938901779
3757873724,3.559133339,21.882,18.656,17.371,21.024,12.655,16.75,165.777,0.008,398.132,23.769,14.369,0,0,0,0,0,0,98.613,0.001,0,263.531,11.761,151.133,14.162,141.283,9.786,4.343,25.734,252.593,29.144,3.404,1768.166,29.884,21.897,23.391,-21.997,33.813,19.332,9.546,0,0,3.94,0.379,3.81,17.06,5.931,0.013,0.006,18.819,18.828,18.939,19.484,19.377,19.309,18.221,18.151,18.271,19.378,19.158,19.235,17.442,17.635,17.435,18.646,21.423,3437,1769,-3.35483871
3757873726,3.590783334,21.891,18.63,17.372,21,12.647,16.751,135.409,0.012,398.132,23.764,14.369,0,0,0,0,0,0,98.619,0.001,0,263.319,11.76,151.124,14.167,141.317,9.793,4.339,25.719,252.512,29.132,3.407,1769.547,29.901,21.888,23.418,-21.998,33.8,19.327,9.535,0,0,3.937,0.456,3.807,17.013,5.935,0.012,0.006,18.829,18.812,18.93,19.47,19.374,19.322,18.206,18.145,18.273,19.355,19.132,19.225,17.41,17.633,17.446,18.648,21.42,3437,1769,-3.357438017
3757873728,3.622266666,21.878,18.638,17.372,21.015,12.637,16.749,155.056,0.008,398.14,23.778,14.369,0,0,0,0,0,0,98.614,0.001,0,263.383,11.743,151.121,14.152,141.396,9.81,4.307,25.721,252.511,29.132,3.405,1770.089,29.894,21.897,23.392,-21.998,33.832,19.338,9.527,0,0,3.937,0.373,3.819,17.032,5.895,0.012,0.006,18.813,18.813,18.925,19.471,19.385,19.332,18.219,18.15,18.273,19.361,19.129,19.206,17.428,17.648,17.426,18.64,21.426,3437,1769,-3.04280557
3757873730,3.653000005,21.873,18.634,17.372,21.023,12.625,16.75,128.712,0.011,398.132,23.803,14.369,0,0,0,0,0,0,98.617,0.001,0,263.094,11.765,151.041,14.168,141.308,9.791,4.343,25.722,252.388,29.114,3.386,1770.374,29.901,21.939,23.405,-21.998,33.865,19.325,9.534,0,0,3.934,0.428,3.816,17.028,5.859,0.012,0.006,18.82,18.806,18.919,19.487,19.393,19.342,18.219,18.156,18.289,19.363,19.135,19.227,17.419,17.641,17.421,18.641,21.408,3437,1769,-3.04516129
3757873732,3.683233333,21.878,18.628,17.372,20.993,12.653,16.749,142.475,0.007,398.124,23.761,14.368,0,0,0,0,0,0,98.62,0.001,0,263.145,11.755,151.143,14.152,141.393,9.81,4.308,25.739,252.511,29.132,3.387,1769.554,29.919,21.972,23.391,-21.998,33.871,19.335,9.525,0,0,3.933,0.353,3.833,17.017,5.958,0.012,0.006,18.832,18.81,18.912,19.495,19.404,19.332,18.225,18.139,18.29,19.367,19.136,19.25,17.409,17.659,17.44,18.638,21.419,3437,1769,-2.575328354
3757873733,3.709416668,21.849,18.624,17.372,21.023,12.653,16.749,142.483,0.009,398.108,23.775,14.369,0,0,0,0,0,0,98.616,0.001,0,263.127,11.764,151.098,14.14,141.3,9.789,4.316,25.752,252.389,29.114,3.356,1766.543,29.911,22.01,23.374,-21.998,33.888,19.327,9.538,0,0,3.932,0.391,3.832,17.024,5.928,0.012,0.006,18.831,18.801,18.917,19.491,19.384,19.321,18.207,18.137,18.271,19.366,19.135,19.238,17.425,17.651,17.432,18.642,21.431,3437,1769,-2.575991757
3757873735,3.744883339,21.855,18.619,17.373,20.994,12.637,16.749,135.572,0.01,398.124,23.786,14.368,0,0,0,0,0,0,98.622,0.001,0,263.163,11.763,151.14,14.146,141.35,9.8,4.312,25.731,252.439,29.122,3.385,1768.903,29.908,21.914,23.411,-21.997,33.861,19.343,9.543,0,0,3.934,0.392,3.814,17.013,5.916,0.012,0.006,18.854,18.814,18.96,19.497,19.39,19.337,18.186,18.145,18.254,19.36,19.113,19.27,17.42,17.66,17.456,18.652,21.413,3437,1769,-3.097573567
3757873737,3.780466668,21.879,18.619,17.373,21.02,12.649,16.75,121.629,0.008,398.116,23.796,14.37,0,0,0,0,0,0,98.615,0.001,0,263.174,11.765,151.135,14.19,141.259,9.78,4.375,25.744,252.831,29.178,3.428,1769.068,29.895,21.899,23.376,-21.998,33.871,19.334,9.553,0,0,3.935,0.372,3.827,17.002,5.919,0.012,0.006,18.845,18.821,18.95,19.51,19.396,19.332,18.202,18.157,18.277,19.376,19.141,19.245,17.421,17.655,17.435,18.637,21.417,3437,1769,-2.782787941
3757873739,3.81146667,21.888,18.63,17.373,21.005,12.642,16.75,141.665,0.007,398.156,23.761,14.369,0,0,0,0,0,0,98.615,0.001,0,263.382,11.76,151.148,14.185,141.225,9.773,4.377,25.733,252.941,29.194,3.455,1769.8,29.879,21.938,23.398,-21.998,33.892,19.335,9.562,0,0,3.938,0.335,3.806,17.015,5.918,0.012,0.006,18.846,18.82,18.912,19.515,19.386,19.31,18.197,18.157,18.259,19.379,19.152,19.26,17.423,17.657,17.428,18.638,21.417,3437,1769,-3.409090909
3757873741,3.842583338,21.887,18.62,17.371,21.008,12.638,16.75,141.767,0.009,398.132,23.784,14.369,0,0,0,0,0,0,98.616,0.001,0,263.274,11.751,151.12,14.205,141.207,9.769,4.402,25.74,252.684,29.157,3.411,1768.178,29.899,21.941,23.399,-21.997,33.876,19.352,9.582,0,0,3.937,0.389,3.814,16.998,5.906,0.012,0.006,18.829,18.829,18.909,19.52,19.394,19.324,18.193,18.153,18.258,19.379,19.153,19.277,17.424,17.652,17.405,18.649,21.409,3437,1769,-3.173784028
3757873743,3.867900006,21.894,18.617,17.372,21.01,12.675,16.635,141.765,0.009,398.14,23.769,14.369,0,0,0,0,0,0,98.615,0.001,0,263.348,11.741,151.076,14.221,141.193,9.766,4.42,25.721,252.703,29.16,3.433,1769.485,29.89,21.891,23.408,-21.998,33.826,19.354,9.588,0,0,3.939,0.387,3.806,16.99,5.995,0.012,0.006,18.825,18.83,18.919,19.519,19.381,19.332,18.189,18.161,18.253,19.38,19.181,19.248,17.427,17.643,17.399,18.646,21.426,3437,1769,-3.434473854
3757873744,3.899283338,21.868,18.621,17.372,21.02,12.647,16.634,130.52,0.008,398.124,23.786,14.369,0,0,0,0,0,0,98.614,0.001,0,263.54,11.764,151.031,14.221,141.303,9.79,4.397,25.739,252.575,29.141,3.397,1766.855,29.902,21.907,23.37,-21.998,33.826,19.332,9.542,0,0,3.941,0.389,3.83,17.01,5.915,0.012,0.006,18.816,18.827,18.913,19.507,19.427,19.346,18.202,18.152,18.26,19.381,19.176,19.258,17.423,17.635,17.398,18.649,21.421,3437,1769,-2.85677519
3757873746,3.9307,21.867,18.62,17.372,21.012,12.667,16.749,118.639,0.008,398.14,23.764,14.37,0,0,0,0,0,0,98.616,0.001,0,263.639,11.765,151.143,14.251,141.303,9.79,4.426,25.706,252.76,29.168,3.456,1768.03,29.887,21.902,23.389,-21.998,33.802,19.323,9.533,0,0,3.944,0.357,3.812,17.009,5.973,0.012,0.006,18.805,18.829,18.912,19.508,19.402,19.329,18.183,18.144,18.238,19.377,19.186,19.239,17.406,17.636,17.402,18.646,21.419,3437,1769,-3.4038164
