Time elapsed (s),Time elapsed (min),Tdb_in (C),Twb_in (C),RH_in,Tdb_out (C),Twb_out(C),RH_out(C),Q_dot_air_TriCoil (CFM),dP_nozzle_TriCoil (in W.G.),Pin_nozzle_TriCoil (in W.G),Outdoor Temp (C),Atm Pressure (PSI),Heater Output (kW),FMWP,FMEP,LBWP,LBEP,Steam Humidifier (%),Q_dot_air_wt (CFM),dP_nozzle (in W.G.),Pin_nozzle (PSIG),m_dot_r (kg/h),T_evap_in (C),P_evap_in_coolprop (PSI),T_evap_out (C),P_evap_out (PSIG),T_evap_sat (C),SH (K),T_exv_in (C),P_exv_in (PSIG),T_cond_sat (C),SC (K),m_dot_w (kg/h),T_w_in (C),P_w_in (PSIG),T_w_out (C),dp_w (in W.G.),Water Heater (% of total capacity),T_evap_out_TC (C),SH_TC (K),Water Reverse Flow,TriCoil Refr. Reverse Flow,Q_ref (tons),Q_air (tons),Q_w (tons),Inlet Air Dew Point (C),Outlet Air Dew Point (C),Inlet Air Humdity Ratio (kg/kg),Outlet Air Humidity Ratio (kg/kg),TriCoil Outlet (11),TriCoil Outlet (12),TriCoil Outlet (13),TriCoil Outlet (21),TriCoil Outlet (22),TriCoil Outlet (23),TriCoil Outlet (31),TriCoil Outlet (32),TriCoil Outlet (33),TriCoil Outlet (41),TriCoil Outlet (42),TriCoil Outlet (43),TriCoil Outlet (51),TriCoil Outlet (52),TriCoil Outlet (53) ,TriCoil Outlet (Avg),DB2_TC,,,Heat Balance (%)
3758482519,0.317333333,23.554,18.364,22.408,20.411,12.301,20.462,159.578,0.008,395.963,24.687,14.29,0,0,0,0,0,0,99.037,0.001,0,240.17,7.588,131.841,10.596,120.881,5.108,5.457,25.475,260.93,30.323,4.842,1777.362,23.831,20.868,18.024,-21.985,30.41,14.338,9.23,0,0,3.597,0.188,3.427,15.692,11.695,0.012,0.009,13.841,13.841,13.8,14.579,14.602,14.399,13.731,13.745,13.669,14.482,14.226,14.11,12.887,13.294,13.198,13.883,23.011,3723,2178,4.840546697
3758482521,0.348283331,23.556,18.351,22.409,20.445,12.284,20.463,180.14,0.011,395.931,24.685,14.29,0,0,0,0,0,0,99.041,0.001,0,240.711,7.58,131.94,10.589,120.864,5.104,5.454,25.445,261.134,30.352,4.901,1779.529,23.843,20.893,18.024,-21.985,30.41,14.35,9.246,0,0,3.606,0.216,3.438,15.667,11.731,0.011,0.009,13.836,13.825,13.808,14.592,14.622,14.375,13.701,13.745,13.663,14.482,14.218,14.112,12.885,13.305,13.191,13.89,23.018,3723,2178,4.770017036
3758482523,0.37311666,23.581,18.363,22.409,20.447,12.293,20.463,166.952,0.014,395.939,24.711,14.29,0,0,0,0,0,0,99.039,0.001,0,240.241,7.58,131.903,10.575,120.994,5.135,5.408,25.438,260.775,30.301,4.857,1777.271,23.843,20.917,18.024,-21.985,30.417,14.357,9.222,0,0,3.598,0.249,3.434,15.675,11.626,0.011,0.009,13.836,13.829,13.812,14.592,14.636,14.391,13.721,13.752,13.666,14.48,14.221,14.15,12.876,13.306,13.191,13.889,23.033,3723,2178,4.664391354
3758482524,0.404033327,23.574,18.346,22.409,20.413,12.308,20.462,149.38,0.012,395.931,24.704,14.289,0,0,0,0,0,0,99.045,0.001,0,240.643,7.589,131.904,10.559,120.968,5.129,5.399,25.446,261.01,30.334,4.882,1777.1,23.851,20.912,18.012,-21.985,30.396,14.339,9.21,0,0,3.604,0.227,3.445,15.65,11.691,0.011,0.009,13.835,13.826,13.8,14.582,14.609,14.38,13.713,13.749,13.651,14.482,14.217,14.152,12.859,13.3,13.166,13.886,23.015,3723,2178,4.511278195
3758482527,0.440266665,23.571,18.344,22.409,20.434,12.307,20.463,154.651,0.01,395.923,24.703,14.29,0,0,0,0,0,0,99.043,0.001,0,240.647,7.587,131.943,10.564,120.885,5.109,5.424,25.47,260.855,30.312,4.836,1775.818,23.856,20.879,18.007,-21.986,30.399,14.345,9.236,0,0,3.604,0.205,3.449,15.647,11.643,0.011,0.009,13.819,13.818,13.789,14.603,14.632,14.415,13.725,13.765,13.677,14.507,14.227,14.134,12.858,13.282,13.164,13.884,23.001,3723,2178,4.395292783
3758482528,0.470466661,23.551,18.361,22.408,20.434,12.313,20.461,177.822,0.01,395.955,24.716,14.289,0,0,0,0,0,0,99.039,0.001,0,240.346,7.591,131.935,10.553,120.84,5.098,5.424,25.478,260.795,30.304,4.819,1776.279,23.874,20.969,18.011,-21.986,30.375,14.34,9.242,0,0,3.599,0.21,3.458,15.689,11.706,0.012,0.009,13.833,13.821,13.789,14.613,14.634,14.4,13.721,13.745,13.679,14.494,14.236,14.136,12.862,13.291,13.178,13.887,23.015,3723,2178,3.996032308
3758482531,0.50673333,23.556,18.341,22.409,20.43,12.291,20.463,126.95,0.014,395.923,24.708,14.29,0,0,0,0,0,0,99.047,0.001,0,240.2,7.589,131.953,10.568,120.911,5.115,5.422,25.468,260.953,30.326,4.852,1776.32,23.837,20.96,18.006,-21.985,30.411,14.38,9.265,0,0,3.597,0.24,3.439,15.651,11.718,0.011,0.009,13.838,13.823,13.789,14.595,14.609,14.394,13.722,13.755,13.666,14.491,14.24,14.141,12.843,13.292,13.177,13.892,23.009,3723,2178,4.491188175
3758482532,0.537749998,23.589,18.35,22.408,20.421,12.323,20.461,165.352,0.007,395.931,24.691,14.29,0,0,0,0,0,0,99.041,0.001,0,240.204,7.587,131.943,10.561,120.879,5.107,5.422,25.473,261.178,30.358,4.878,1777.309,23.83,20.818,18.009,-21.986,30.411,14.37,9.263,0,0,3.597,0.172,3.436,15.648,11.718,0.011,0.009,13.848,13.82,13.772,14.578,14.604,14.387,13.718,13.758,13.658,14.483,14.253,14.148,12.858,13.29,13.185,13.884,23.026,3723,2178,4.578416039
3758482535,0.574533327,23.571,18.34,22.409,20.442,12.279,20.463,107.59,0.012,395.939,24.705,14.29,0,0,0,0,0,0,99.04,0.001,0,240.429,7.597,131.935,10.565,120.915,5.116,5.417,25.463,261.058,30.341,4.872,1777.221,23.818,20.841,18.01,-21.986,30.414,14.367,9.251,0,0,3.601,0.223,3.427,15.641,11.729,0.011,0.009,13.837,13.822,13.78,14.597,14.617,14.392,13.72,13.76,13.653,14.477,14.238,14.194,12.872,13.295,13.189,13.89,23.017,3723,2178,4.951622083
3758482536,0.604416664,23.559,18.335,22.408,20.45,12.301,20.462,158.229,0.005,395.931,24.696,14.29,0,0,0,0,0,0,99.041,0.001,0,240.497,7.593,131.978,10.56,120.967,5.128,5.4,25.478,260.908,30.32,4.836,1777.565,23.834,20.859,18.024,-21.985,30.4,14.363,9.234,0,0,3.601,0.146,3.429,15.638,11.69,0.011,0.009,13.843,13.814,13.764,14.617,14.611,14.385,13.711,13.756,13.647,14.463,14.229,14.167,12.863,13.288,13.167,13.882,23.017,3723,2178,4.893314367
