Time elapsed (s),Time Elapsed (min),Tdb_in (C),Twb_in (C),RH_in,Tdb_out (C),Twb_out(C),RH_out(C),Q_dot_air_TriCoil (CFM),dP_nozzle_TriCoil (in W.G.),Pin_nozzle_TriCoil (in W.G),Outdoor Temp (C),Atm Pressure (PSI),Heater Output (kW),FMWP,FMEP,LBWP,LBEP,Steam Humidifier (%),Q_dot_air_wt (CFM),dP_nozzle (in W.G.),Pin_nozzle (PSIG),m_dot_r (kg/h),T_evap_in (C),P_evap_in_coolprop (PSI),T_evap_out (C),P_evap_out (PSIG),T_evap_sat (C),SH (K),T_exv_in (C),P_exv_in (PSIG),T_cond_sat (C),SC (K),m_dot_w (kg/h),T_w_in (C),P_w_in (PSIG),T_w_out (C),dp_w (in W.G.),Water Heater (% of total capacity),T_evap_out_TC (C),SH_TC (K),Water Reverse Flow,TriCoil Refr. Reverse Flow,Q_ref (tons),Q_air (tons),Q_w (tons),Inlet Air Dew Point (C),Outlet Air Dew Point (C),Inlet Air Humdity Ratio (kg/kg),Outlet Air Humidity Ratio (kg/kg),TriCoil Outlet (11),TriCoil Outlet (12),TriCoil Outlet (13),TriCoil Outlet (21),TriCoil Outlet (22),TriCoil Outlet (23),TriCoil Outlet (31),TriCoil Outlet (32),TriCoil Outlet (33),TriCoil Outlet (41),TriCoil Outlet (42),TriCoil Outlet (43),TriCoil Outlet (51),TriCoil Outlet (52),TriCoil Outlet (53) ,TriCoil Outlet (Avg),DB2_TC,Compresssor speed (RPM),
3757865487,1.307133333,20.449,17.312,19.13,20.177,12.465,18.49,139.94,0.009,398.259,22.453,14.373,0,0,0,0,0,0,98.472,0.001,0,241.736,9.495,140.387,12.379,130.653,7.421,4.925,24.37,243.664,27.839,3.462,1058.207,29.856,20.745,19.775,-22.39,31.993,17.11,9.689,0,0,3.658,0.315,3.541,15.634,6.294,0.011,0.006,16.169,16.19,16.387,17.145,16.941,17.05,15.383,15.694,15.604,17.015,16.87,16.722,14.492,14.76,14.444,16.062,20.174,3412,1769
3757865490,1.344166668,20.455,17.298,19.129,20.192,12.441,18.491,146.568,0.009,398.243,22.463,14.375,0,0,0,0,0,0,98.472,0.001,0,241.778,9.488,140.438,12.38,130.635,7.417,4.93,24.341,243.619,27.832,3.485,1057.421,29.863,20.744,19.785,-22.378,32.009,17.135,9.719,0,0,3.659,0.304,3.537,15.609,6.22,0.011,0.006,16.16,16.169,16.388,17.161,16.937,17.05,15.38,15.69,15.594,17.002,16.895,16.731,14.498,14.758,14.424,16.056,20.151,3412,1769
3757865492,1.382283338,20.457,17.306,19.13,20.178,12.451,18.492,142.535,0.009,398.29,22.47,14.373,0,0,0,0,0,0,98.469,0.001,0,241.687,9.49,140.408,12.396,130.692,7.43,4.933,24.362,243.519,27.817,3.449,1060.249,29.889,20.692,19.769,-22.383,32.05,17.134,9.704,0,0,3.657,0.318,3.561,15.62,6.258,0.011,0.006,16.145,16.168,16.365,17.165,16.942,17.044,15.394,15.699,15.606,17.021,16.93,16.705,14.49,14.762,14.447,16.047,20.164,3412,1769
3757865494,1.420066667,20.451,17.299,19.13,20.191,12.444,18.49,158.551,0.009,398.235,22.453,14.374,0,0,0,0,0,0,98.473,0.001,0,241.757,9.471,140.414,12.408,130.728,7.438,4.938,24.358,243.459,27.808,3.444,1059.837,29.868,20.738,19.765,-22.382,32.005,17.133,9.695,0,0,3.659,0.309,3.554,15.612,6.228,0.011,0.006,16.13,16.17,16.335,17.163,16.929,17.047,15.396,15.714,15.627,16.997,16.929,16.709,14.492,14.751,14.445,16.043,20.172,3412,1769
3757865496,1.45055,20.451,17.294,19.129,20.208,12.453,18.491,135.397,0.011,398.283,22.472,14.374,0,0,0,0,0,0,98.47,0.001,0,241.694,9.489,140.329,12.421,130.641,7.418,4.969,24.369,243.674,27.84,3.465,1060.589,29.874,20.724,19.764,-22.381,32.013,17.118,9.7,0,0,3.658,0.343,3.558,15.604,6.235,0.011,0.006,16.149,16.181,16.376,17.169,16.954,17.077,15.403,15.693,15.633,17.023,16.928,16.723,14.499,14.762,14.458,16.045,20.163,3412,1769
3757865497,1.475650001,20.441,17.31,19.13,20.185,12.453,18.491,135.391,0.008,398.259,22.441,14.374,0,0,0,0,0,0,98.476,0.001,0,241.751,9.485,140.408,12.45,130.421,7.368,5.049,24.376,243.524,27.818,3.436,1061.011,29.848,20.723,19.765,-22.38,32.053,17.099,9.731,0,0,3.66,0.294,3.551,15.636,6.256,0.011,0.006,16.142,16.188,16.351,17.158,16.929,17.065,15.397,15.683,15.623,17.012,16.923,16.738,14.505,14.771,14.447,16.043,20.167,3412,1769
3757865500,1.512133336,20.434,17.312,19.129,20.191,12.471,18.49,130.076,0.01,398.259,22.485,14.373,0,0,0,0,0,0,98.472,0.001,0,241.695,9.477,140.391,12.451,130.608,7.411,5.007,24.343,243.421,27.803,3.454,1060.755,29.844,20.755,19.77,-22.379,32.054,17.109,9.698,0,0,3.66,0.293,3.546,15.643,6.294,0.011,0.006,16.139,16.18,16.369,17.141,16.934,17.062,15.389,15.686,15.625,17.011,16.943,16.769,14.506,14.776,14.451,16.046,20.161,3412,1769
3757865501,1.543466671,20.437,17.302,19.13,20.183,12.445,18.491,145.475,0.007,398.251,22.481,14.373,0,0,0,0,0,0,98.474,0.001,0,241.559,9.477,140.355,12.453,130.643,7.419,5.002,24.382,243.413,27.801,3.413,1060.157,29.846,20.68,19.747,-22.38,31.997,17.075,9.657,0,0,3.656,0.283,3.553,15.625,6.239,0.011,0.006,16.139,16.16,16.315,17.166,16.957,17.061,15.383,15.676,15.596,17.012,16.965,16.795,14.506,14.784,14.438,16.045,20.165,3412,1769
3757865503,1.574283338,20.464,17.293,19.129,20.167,12.443,18.492,137.874,0.009,398.251,22.484,14.372,0,0,0,0,0,0,98.472,0.001,0,242.051,9.472,140.354,12.453,130.598,7.408,5.012,24.355,243.602,27.83,3.468,1061.066,29.863,20.726,19.767,-22.38,32.004,17.046,9.637,0,0,3.665,0.315,3.555,15.594,6.251,0.011,0.006,16.147,16.169,16.334,17.161,16.954,17.056,15.373,15.642,15.58,17.009,16.965,16.746,14.519,14.795,14.424,16.048,20.157,3412,1769
3757865505,1.6046,20.464,17.307,19.13,20.208,12.452,18.491,152.674,0.008,398.219,22.502,14.373,0,0,0,0,0,0,98.473,0.001,0,241.718,9.482,140.332,12.438,130.63,7.415,4.99,24.376,243.474,27.81,3.428,1060.502,29.863,20.699,19.767,-22.38,32.006,17.039,9.624,0,0,3.659,0.299,3.553,15.618,6.232,0.011,0.006,16.129,16.153,16.316,17.167,16.962,17.049,15.387,15.644,15.579,17.032,16.98,16.749,14.507,14.789,14.416,16.049,20.164,3412,1769
3757865507,1.636733333,20.452,17.301,19.13,20.183,12.432,18.49,167.454,0.01,398.251,22.452,14.374,0,0,0,0,0,0,98.477,0.001,0,241.279,9.477,140.38,12.431,130.725,7.437,4.96,24.373,243.658,27.838,3.459,1060.129,29.842,20.702,19.768,-22.38,31.999,17.061,9.624,0,0,3.652,0.332,3.544,15.615,6.208,0.011,0.006,16.144,16.161,16.322,17.18,16.976,17.08,15.382,15.646,15.601,17.037,16.964,16.73,14.498,14.797,14.409,16.051,20.17,3412,1769
3757865509,1.667600004,20.462,17.308,19.129,20.21,12.456,18.491,168.139,0.012,398.283,22.484,14.374,0,0,0,0,0,0,98.468,0.001,0,241.708,9.49,140.353,12.408,130.619,7.413,4.961,24.369,243.579,27.826,3.451,1060.46,29.849,20.658,19.758,-22.381,31.996,17.074,9.661,0,0,3.658,0.364,3.552,15.621,6.24,0.011,0.006,16.132,16.152,16.29,17.173,16.954,17.091,15.376,15.661,15.585,17.043,16.989,16.725,14.483,14.784,14.409,16.054,20.169,3412,1769
3757865511,1.698750003,20.473,17.313,19.13,20.207,12.47,18.491,150.029,0.012,398.267,22.489,14.373,0,0,0,0,0,0,98.475,0.001,0,241.593,9.49,140.414,12.406,130.413,7.366,5.007,24.351,243.662,27.839,3.481,1059.928,29.865,20.658,19.771,-22.381,32.022,17.082,9.716,0,0,3.658,0.364,3.551,15.623,6.274,0.011,0.006,16.138,16.136,16.282,17.165,16.959,17.07,15.375,15.628,15.554,17.032,16.988,16.744,14.492,14.785,14.365,16.053,20.165,3412,1769
3757865512,1.724416669,20.442,17.297,19.129,20.188,12.454,18.49,150.024,0.01,398.251,22.444,14.373,0,0,0,0,0,0,98.477,0.001,0,241.747,9.486,140.416,12.391,130.539,7.395,4.963,24.338,243.61,27.831,3.486,1060.311,29.839,20.702,19.76,-22.379,32.022,17.098,9.704,0,0,3.66,0.325,3.547,15.614,6.255,0.011,0.006,16.162,16.125,16.257,17.157,16.967,17.057,15.362,15.619,15.547,17.036,16.987,16.719,14.5,14.785,14.369,16.06,20.171,3412,1769
3757865515,1.762133336,20.452,17.3,19.129,20.178,12.466,18.489,144.446,0.01,398.235,22.49,14.374,0,0,0,0,0,0,98.473,0.001,0,241.746,9.463,140.397,12.391,130.513,7.389,4.969,24.353,243.841,27.865,3.506,1060.956,29.855,20.702,19.747,-22.379,31.967,17.115,9.727,0,0,3.659,0.325,3.559,15.614,6.293,0.011,0.006,16.161,16.11,16.313,17.158,16.974,17.022,15.375,15.616,15.547,17.052,16.972,16.724,14.502,14.778,14.373,16.066,20.168,3412,1769
3757865516,1.792483338,20.469,17.326,19.13,20.197,12.492,18.49,154.146,0.009,398.267,22.474,14.374,0,0,0,0,0,0,98.47,0.001,0,241.815,9.476,140.292,12.386,130.537,7.395,4.958,24.336,243.736,27.85,3.508,1061.065,29.856,20.758,19.758,-22.38,31.961,17.078,9.684,0,0,3.661,0.313,3.556,15.647,6.339,0.011,0.006,16.147,16.121,16.33,17.139,16.958,17.015,15.387,15.618,15.544,17.044,16.953,16.717,14.506,14.78,14.383,16.064,20.169,3412,1769
3757865519,1.829816667,20.457,17.309,19.13,20.197,12.474,18.489,122.276,0.01,398.259,22.461,14.373,0,0,0,0,0,0,98.474,0.001,0,241.791,9.48,140.352,12.38,130.624,7.414,4.933,24.349,243.472,27.81,3.455,1059.834,29.856,20.757,19.743,-22.379,31.975,17.064,9.649,0,0,3.659,0.334,3.557,15.625,6.294,0.011,0.006,16.143,16.12,16.366,17.125,16.955,17.045,15.397,15.627,15.53,17.048,16.963,16.69,14.507,14.775,14.394,16.063,20.163,3412,1769
3757865521,1.860900005,20.445,17.322,19.129,20.186,12.48,18.492,120.799,0.007,398.235,22.459,14.374,0,0,0,0,0,0,98.477,0.001,0,241.718,9.47,140.368,12.375,130.476,7.38,4.962,24.353,243.622,27.832,3.473,1060.406,29.854,20.7,19.742,-22.383,31.944,17.075,9.695,0,0,3.659,0.265,3.559,15.654,6.321,0.011,0.006,16.148,16.139,16.374,17.128,16.93,17.033,15.4,15.637,15.541,17.042,16.929,16.683,14.511,14.788,14.399,16.064,20.176,3412,1769
3757865522,1.893133338,20.462,17.311,19.129,20.185,12.467,18.49,151.099,0.006,398.259,22.505,14.374,0,0,0,0,0,0,98.472,0.001,0,241.752,9.471,140.324,12.4,130.662,7.423,4.944,24.363,243.657,27.838,3.468,1060.063,29.875,20.698,19.761,-22.381,31.945,17.077,9.654,0,0,3.659,0.262,3.559,15.626,6.288,0.011,0.006,16.156,16.158,16.385,17.111,16.899,17.024,15.398,15.662,15.575,17.034,16.9,16.686,14.518,14.799,14.416,16.072,20.171,3412,1769
3757865524,1.917600004,20.462,17.322,19.128,20.189,12.473,18.491,151.101,0.01,398.267,22.489,14.374,0,0,0,0,0,0,98.471,0.001,0,241.742,9.493,140.328,12.407,130.756,7.445,4.929,24.363,243.496,27.814,3.444,1059.679,29.875,20.704,19.739,-22.378,31.957,17.094,9.649,0,0,3.658,0.328,3.565,15.644,6.3,0.011,0.006,16.154,16.172,16.368,17.121,16.901,17.037,15.426,15.668,15.593,17.041,16.894,16.681,14.499,14.771,14.406,16.074,20.171,3412,1769
3757865526,1.948216669,20.449,17.324,19.129,20.187,12.474,18.491,155.632,0.01,398.267,22.471,14.373,0,0,0,0,0,0,98.471,0.001,0,241.697,9.49,140.43,12.413,130.633,7.417,4.964,24.332,243.764,27.854,3.516,1060.989,29.849,20.668,19.736,-22.383,31.956,17.089,9.673,0,0,3.659,0.328,3.561,15.654,6.305,0.011,0.006,16.155,16.172,16.355,17.103,16.895,17.027,15.428,15.665,15.604,17.036,16.915,16.696,14.506,14.788,14.42,16.061,20.167,3412,1769
3757865528,1.978666671,20.437,17.337,19.13,20.207,12.478,18.491,138.572,0.011,398.235,22.463,14.373,0,0,0,0,0,0,98.475,0.001,0,241.757,9.477,140.416,12.386,130.625,7.414,4.939,24.346,243.539,27.82,3.468,1059.851,29.876,20.676,19.743,-22.381,31.993,17.067,9.653,0,0,3.659,0.339,3.564,15.684,6.295,0.011,0.006,16.166,16.177,16.352,17.11,16.905,17.038,15.414,15.663,15.611,17.032,16.928,16.708,14.506,14.774,14.426,16.064,20.162,3412,1769
3757865530,2.015799999,20.476,17.332,19.13,20.204,12.464,18.491,148.103,0.008,398.251,22.48,14.374,0,0,0,0,0,0,98.477,0.001,0,241.713,9.476,140.355,12.368,130.553,7.398,4.937,24.352,243.671,27.84,3.481,1060.21,29.862,20.695,19.744,-22.382,31.993,17.083,9.685,0,0,3.658,0.302,3.56,15.653,6.264,0.011,0.006,16.173,16.167,16.342,17.101,16.938,17.033,15.426,15.66,15.605,17.021,16.936,16.706,14.501,14.765,14.421,16.07,20.167,3412,1769
3757865532,2.047499998,20.447,17.326,19.129,20.197,12.49,18.49,155.51,0.01,398.283,22.455,14.375,0,0,0,0,0,0,98.472,0.001,0,241.636,9.464,140.353,12.392,130.609,7.411,4.948,24.364,243.656,27.838,3.468,1060.778,29.864,20.712,19.751,-22.38,31.926,17.1,9.689,0,0,3.657,0.321,3.56,15.659,6.334,0.011,0.006,16.189,16.151,16.377,17.121,16.938,17.05,15.414,15.662,15.607,17.022,16.952,16.718,14.5,14.781,14.421,16.064,20.171,3412,1769
3757865534,2.083816671,20.473,17.304,19.129,20.209,12.457,18.491,160.613,0.011,398.29,22.479,14.373,0,0,0,0,0,0,98.47,0.001,0,241.744,9.469,140.295,12.371,130.765,7.447,4.892,24.31,243.737,27.85,3.534,1059.783,29.86,20.746,19.752,-22.379,31.933,17.101,9.654,0,0,3.659,0.337,3.555,15.608,6.242,0.011,0.006,16.203,16.181,16.388,17.124,16.93,17.057,15.432,15.661,15.606,17.024,16.969,16.709,14.499,14.782,14.432,16.064,20.179,3412,1769
3757865536,2.115750003,20.463,17.325,19.13,20.199,12.466,18.491,148.21,0.011,398.251,22.495,14.375,0,0,0,0,0,0,98.477,0.001,0,241.787,9.476,140.318,12.35,130.594,7.407,4.909,24.338,243.748,27.851,3.507,1060.82,29.872,20.716,19.744,-22.381,31.999,17.069,9.662,0,0,3.659,0.349,3.566,15.649,6.273,0.011,0.006,16.199,16.179,16.393,17.122,16.93,17.05,15.435,15.668,15.624,17.024,16.932,16.7,14.515,14.769,14.419,16.06,20.164,3412,1769
3757865538,2.147100004,20.451,17.334,19.129,20.214,12.466,18.491,139.458,0.01,398.306,22.465,14.373,0,0,0,0,0,0,98.468,0.001,0,241.73,9.481,140.35,12.353,130.526,7.392,4.928,24.343,243.793,27.858,3.509,1060.779,29.889,20.691,19.755,-22.38,31.99,17.06,9.668,0,0,3.658,0.323,3.568,15.67,6.259,0.011,0.006,16.217,16.164,16.364,17.123,16.924,17.058,15.427,15.669,15.625,17.017,16.918,16.718,14.51,14.778,14.436,16.067,20.157,3412,1769
3757865540,2.178133337,20.473,17.318,19.129,20.18,12.498,18.49,138.219,0.009,398.251,22.481,14.375,0,0,0,0,0,0,98.478,0.001,0,241.709,9.469,140.371,12.346,130.64,7.418,4.895,24.342,243.691,27.843,3.494,1060.907,29.858,20.657,19.77,-22.38,31.949,17.044,9.626,0,0,3.657,0.301,3.552,15.631,6.368,0.011,0.006,16.212,16.165,16.367,17.138,16.921,17.035,15.43,15.677,15.637,17.021,16.929,16.719,14.489,14.772,14.441,16.06,20.162,3412,1769
3757865542,2.216233333,20.469,17.309,19.13,20.192,12.446,18.49,171.796,0.008,398.298,22.484,14.374,0,0,0,0,0,0,98.466,0.001,0,241.519,9.491,140.317,12.363,130.703,7.433,4.897,24.353,243.656,27.838,3.479,1060.38,29.865,20.716,19.765,-22.381,31.948,17.063,9.63,0,0,3.654,0.301,3.554,15.618,6.233,0.011,0.006,16.219,16.176,16.358,17.147,16.955,17.061,15.432,15.686,15.651,17.019,16.931,16.722,14.492,14.788,14.441,16.059,20.151,3412,1769
3757865544,2.253766672,20.468,17.31,19.13,20.184,12.465,18.491,150.332,0.013,398.275,22.484,14.374,0,0,0,0,0,0,98.471,0.001,0,241.738,9.488,140.416,12.339,130.717,7.436,4.87,24.362,243.79,27.857,3.489,1060.745,29.866,20.689,19.779,-22.38,31.979,17.074,9.638,0,0,3.657,0.372,3.551,15.621,6.286,0.011,0.006,16.201,16.164,16.385,17.161,16.972,17.058,15.414,15.685,15.645,17.026,16.948,16.732,14.5,14.785,14.437,16.055,20.17,3412,1769
3757865546,2.284950002,20.476,17.317,19.13,20.186,12.452,18.49,127.351,0.01,398.259,22.474,14.374,0,0,0,0,0,0,98.471,0.001,0,241.709,9.487,140.406,12.341,130.655,7.421,4.887,24.374,243.852,27.867,3.487,1059.772,29.852,20.715,19.768,-22.381,31.971,17.116,9.694,0,0,3.656,0.327,3.547,15.627,6.252,0.011,0.006,16.197,16.164,16.355,17.118,16.957,17.037,15.417,15.674,15.629,17.019,16.943,16.712,14.482,14.782,14.42,16.07,20.166,3412,1769
3757865548,2.315733337,20.444,17.328,19.129,20.212,12.458,18.491,127.312,0.007,398.275,22.483,14.374,0,0,0,0,0,0,98.47,0.001,0,241.677,9.479,140.401,12.358,130.663,7.423,4.901,24.362,243.93,27.878,3.51,1060.698,29.848,20.716,19.77,-22.382,32.009,17.109,9.686,0,0,3.657,0.278,3.547,15.664,6.242,0.011,0.006,16.202,16.172,16.351,17.125,16.954,17.038,15.406,15.683,15.648,17.033,16.921,16.709,14.491,14.795,14.428,16.06,20.166,3412,1769
3757865550,2.354183332,20.459,17.313,19.129,20.209,12.475,18.491,149.004,0.007,398.259,22.485,14.373,0,0,0,0,0,0,98.477,0.001,0,241.702,9.497,140.362,12.352,130.723,7.437,4.882,24.396,243.789,27.857,3.455,1059.712,29.886,20.697,19.754,-22.382,32.013,17.135,9.698,0,0,3.655,0.276,3.564,15.631,6.285,0.011,0.006,16.188,16.176,16.332,17.134,16.969,17.065,15.412,15.701,15.65,17.035,16.937,16.731,14.5,14.785,14.432,16.063,20.171,3412,1769
3757865552,2.384916671,20.476,17.313,19.13,20.184,12.47,18.49,145.028,0.01,398.243,22.475,14.374,0,0,0,0,0,0,98.478,0.001,0,241.743,9.486,140.445,12.369,130.706,7.433,4.904,24.374,243.638,27.835,3.455,1060.916,29.855,20.726,19.757,-22.382,32.014,17.115,9.682,0,0,3.657,0.323,3.556,15.621,6.297,0.011,0.006,16.182,16.165,16.319,17.129,16.959,17.048,15.397,15.672,15.631,17.004,16.954,16.747,14.507,14.79,14.456,16.061,20.163,3412,1769
3757865554,2.421866671,20.461,17.328,19.129,20.183,12.46,18.49,124.207,0.009,398.267,22.487,14.374,0,0,0,0,0,0,98.471,0.001,0,241.932,9.495,140.395,12.401,130.838,7.463,4.904,24.332,243.793,27.858,3.52,1059.797,29.851,20.672,19.776,-22.382,31.988,17.109,9.645,0,0,3.662,0.316,3.543,15.655,6.275,0.011,0.006,16.206,16.169,16.327,17.111,16.967,17.016,15.415,15.672,15.614,17.02,16.954,16.751,14.497,14.795,14.451,16.07,20.168,3412,1769
3757865556,2.447483333,20.467,17.327,19.13,20.188,12.488,18.491,138.524,0.007,398.259,22.478,14.373,0,0,0,0,0,0,98.471,0.001,0,242.108,9.499,140.436,12.388,130.698,7.431,4.924,24.348,243.944,27.88,3.526,1061.21,29.847,20.722,19.758,-22.382,32.019,17.064,9.633,0,0,3.664,0.269,3.553,15.649,6.338,0.011,0.006,16.2,16.152,16.315,17.131,16.978,17.015,15.411,15.663,15.621,17.027,16.923,16.746,14.497,14.786,14.439,16.066,20.166,3412,1769
3757865558,2.478083332,20.456,17.323,19.129,20.203,12.472,18.491,137.735,0.008,398.243,22.484,14.374,0,0,0,0,0,0,98.474,0.001,0,241.708,9.497,140.458,12.395,130.712,7.434,4.928,24.361,243.62,27.832,3.465,1060.948,29.831,20.709,19.77,-22.378,32.01,17.052,9.618,0,0,3.658,0.301,3.543,15.65,6.283,0.011,0.006,16.199,16.174,16.328,17.135,17.007,17.033,15.405,15.66,15.618,17.039,16.914,16.753,14.511,14.78,14.447,16.068,20.171,3412,1769
3757865559,2.509616669,20.465,17.326,19.13,20.182,12.481,18.49,138.889,0.008,398.259,22.487,14.374,0,0,0,0,0,0,98.475,0.001,0,241.754,9.481,140.445,12.375,130.725,7.437,4.904,24.373,243.636,27.835,3.455,1059.749,29.844,20.72,19.746,-22.379,31.986,17.025,9.588,0,0,3.657,0.299,3.552,15.648,6.326,0.011,0.006,16.214,16.177,16.328,17.114,16.964,17.023,15.383,15.634,15.601,17.009,16.898,16.773,14.516,14.798,14.463,16.065,20.164,3412,1769
3757865561,2.541866668,20.464,17.317,19.128,20.198,12.489,18.491,134.322,0.009,398.283,22.471,14.373,0,0,0,0,0,0,98.468,0.001,0,241.709,9.476,140.374,12.392,130.764,7.446,4.913,24.374,243.729,27.849,3.468,1060.072,29.823,20.757,19.744,-22.382,31.986,17.014,9.568,0,0,3.657,0.3,3.546,15.634,6.33,0.011,0.006,16.211,16.162,16.333,17.12,16.972,17.016,15.39,15.659,15.591,17.009,16.917,16.776,14.504,14.785,14.444,16.067,20.175,3412,1769
3757865563,2.573216669,20.466,17.32,19.129,20.193,12.473,18.491,127.914,0.008,398.251,22.489,14.376,0,0,0,0,0,0,98.475,0.001,0,242.037,9.474,140.349,12.369,130.582,7.405,4.931,24.36,243.784,27.856,3.49,1061.5,29.845,20.715,19.744,-22.382,32.025,16.987,9.582,0,0,3.663,0.291,3.558,15.638,6.295,0.011,0.006,16.196,16.179,16.324,17.111,16.944,17.013,15.393,15.636,15.596,17.011,16.928,16.771,14.509,14.783,14.438,16.073,20.164,3412,1769
3757865565,2.609933337,20.448,17.311,19.129,20.214,12.485,18.491,138.892,0.007,398.338,22.485,14.374,0,0,0,0,0,0,98.463,0.001,0,241.719,9.5,140.343,12.333,130.692,7.43,4.869,24.376,243.664,27.839,3.457,1060.677,29.85,20.713,19.73,-22.379,32,17.011,9.581,0,0,3.656,0.276,3.562,15.633,6.306,0.011,0.006,16.191,16.168,16.316,17.135,16.974,17.043,15.403,15.647,15.6,17.026,16.97,16.814,14.512,14.808,14.444,16.071,20.167,3412,1769
3757865567,2.641416669,20.475,17.318,19.13,20.189,12.505,18.491,142.868,0.009,398.267,22.485,14.374,0,0,0,0,0,0,98.476,0.001,0,241.733,9.491,140.458,12.328,130.645,7.419,4.876,24.364,243.704,27.845,3.475,1059.663,29.82,20.756,19.748,-22.38,32,16.989,9.57,0,0,3.657,0.299,3.542,15.631,6.376,0.011,0.006,16.191,16.134,16.317,17.124,16.944,17.021,15.372,15.638,15.602,17.018,16.963,16.815,14.51,14.804,14.452,16.069,20.171,3412,1769
3757865569,2.665699999,20.478,17.324,19.129,20.196,12.478,18.489,142.87,0.009,398.267,22.48,14.373,0,0,0,0,0,0,98.472,0.001,0,241.671,9.474,140.421,12.309,130.543,7.396,4.881,24.371,243.651,27.837,3.46,1059.829,29.827,20.755,19.746,-22.382,32.002,17.028,9.632,0,0,3.656,0.31,3.546,15.638,6.306,0.011,0.006,16.199,16.137,16.316,17.121,16.952,17.029,15.389,15.662,15.602,17.029,16.989,16.797,14.505,14.796,14.425,16.07,20.166,3412,1769
3757865571,2.703033336,20.468,17.339,19.129,20.204,12.485,18.491,140.428,0.009,398.251,22.475,14.374,0,0,0,0,0,0,98.473,0.001,0,241.711,9.482,140.339,12.298,130.698,7.431,4.834,24.358,243.652,27.837,3.473,1059.698,29.838,20.752,19.738,-22.383,32.002,17.043,9.611,0,0,3.656,0.311,3.552,15.668,6.314,0.011,0.006,16.19,16.17,16.339,17.095,16.941,17,15.398,15.661,15.607,17.017,16.969,16.782,14.507,14.798,14.448,16.072,20.182,3412,1769
3757865573,2.734066669,20.463,17.312,19.13,20.197,12.485,18.491,145.617,0.009,398.267,22.481,14.373,0,0,0,0,0,0,98.474,0.001,0,241.714,9.497,140.377,12.284,130.612,7.412,4.84,24.359,243.843,27.865,3.5,1060.076,29.81,20.727,19.738,-22.38,31.97,17.057,9.645,0,0,3.656,0.303,3.543,15.627,6.323,0.011,0.006,16.213,16.202,16.364,17.08,16.934,17.016,15.393,15.684,15.615,17.021,16.963,16.772,14.531,14.814,14.453,16.075,20.176,3412,1769
3757865575,2.766500004,20.453,17.325,19.129,20.203,12.476,18.491,138.28,0.009,398.251,22.497,14.374,0,0,0,0,0,0,98.475,0.001,0,241.739,9.476,140.445,12.292,130.566,7.401,4.858,24.376,243.812,27.861,3.478,1061.051,29.829,20.726,19.745,-22.381,32.01,17.079,9.678,0,0,3.656,0.316,3.551,15.654,6.294,0.011,0.006,16.203,16.212,16.348,17.096,16.914,17.023,15.393,15.699,15.646,17.008,16.918,16.733,14.52,14.806,14.474,16.071,20.179,3412,1769
3757865577,2.804633331,20.483,17.335,19.129,20.179,12.506,18.49,156.841,0.008,398.259,22.482,14.374,0,0,0,0,0,0,98.475,0.001,0,241.774,9.497,140.35,12.304,130.649,7.42,4.851,24.365,243.842,27.865,3.494,1059.796,29.812,20.755,19.765,-22.38,31.969,17.073,9.653,0,0,3.657,0.299,3.534,15.654,6.39,0.011,0.006,16.217,16.226,16.365,17.084,16.906,17.001,15.393,15.717,15.655,16.999,16.906,16.72,14.524,14.812,14.493,16.075,20.177,3412,1769
3757865579,2.835050003,20.447,17.309,19.13,20.183,12.488,18.491,169.686,0.011,398.275,22.501,14.374,0,0,0,0,0,0,98.469,0.001,0,241.727,9.489,140.445,12.273,130.75,7.443,4.797,24.358,243.75,27.852,3.487,1059.734,29.81,20.682,19.745,-22.381,31.99,17.093,9.65,0,0,3.655,0.338,3.54,15.63,6.342,0.011,0.006,16.214,16.219,16.345,17.085,16.903,17.018,15.405,15.721,15.653,16.999,16.88,16.696,14.52,14.816,14.502,16.073,20.178,3412,1769
3757865581,2.867083335,20.443,17.329,19.129,20.197,12.488,18.491,142.878,0.013,398.283,22.489,14.374,0,0,0,0,0,0,98.468,0.001,0,241.723,9.493,140.412,12.294,130.62,7.414,4.848,24.378,243.84,27.865,3.48,1060.719,29.817,20.721,19.706,-22.38,31.987,17.089,9.675,0,0,3.655,0.368,3.56,15.666,6.329,0.011,0.006,16.212,16.222,16.351,17.094,16.927,17.004,15.402,15.74,15.657,16.992,16.868,16.701,14.535,14.82,14.485,16.071,20.174,3412,1769
3757865583,2.903199999,20.463,17.339,19.13,20.182,12.497,18.491,137.495,0.009,398.267,22.492,14.374,0,0,0,0,0,0,98.473,0.001,0,241.747,9.476,140.427,12.28,130.551,7.398,4.85,24.375,243.665,27.839,3.458,1060.25,29.82,20.699,19.741,-22.379,31.992,17.098,9.7,0,0,3.656,0.31,3.547,15.671,6.364,0.011,0.006,16.204,16.225,16.33,17.123,16.952,17.022,15.423,15.756,15.677,17.012,16.841,16.71,14.518,14.821,14.48,16.071,20.181,3412,1769
