Time elapsed (s),Time elapsed (min),Tdb_in (C),Twb_in (C),RH_in,Tdb_out (C),Twb_out(C),RH_out(C),Q_dot_air_TriCoil (CFM),dP_nozzle_TriCoil (in W.G.),Pin_nozzle_TriCoil (in W.G),Outdoor Temp (C),Atm Pressure (PSI),Heater Output (kW),FMWP,FMEP,LBWP,LBEP,Steam Humidifier (%),Q_dot_air_wt (CFM),dP_nozzle (in W.G.),Pin_nozzle (PSIG),m_dot_r (kg/h),T_evap_in (C),P_evap_in_coolprop (PSI),T_evap_out (C),P_evap_out (PSIG),T_evap_sat (C),SH (K),T_exv_in (C),P_exv_in (PSIG),T_cond_sat (C),SC (K),m_dot_w (kg/h),T_w_in (C),P_w_in (PSIG),T_w_out (C),dp_w (in W.G.),Water Heater (% of total capacity),T_evap_out_TC (C),SH_TC (K),Water Reverse Flow,TriCoil Refr. Reverse Flow,Q_ref (tons),Q_air (tons),Q_w (tons),Inlet Air Dew Point (C),Outlet Air Dew Point (C),Inlet Air Humdity Ratio (kg/kg),Outlet Air Humidity Ratio (kg/kg),TriCoil Outlet (11),TriCoil Outlet (12),TriCoil Outlet (13),TriCoil Outlet (21),TriCoil Outlet (22),TriCoil Outlet (23),TriCoil Outlet (31),TriCoil Outlet (32),TriCoil Outlet (33),TriCoil Outlet (41),TriCoil Outlet (42),TriCoil Outlet (43),TriCoil Outlet (51),TriCoil Outlet (52),TriCoil Outlet (53) ,TriCoil Outlet (Avg),DB2_TC,,,Heat Balance min limit (%),Heat Balance (%),Heat balance max limit (%)
3758469618,0.317683339,22.665,19.027,23.697,20.919,15.838,22.902,128.731,0.008,396.865,23.814,14.323,0,0,0,0,0,0,98.834,0.001,0,196.28,17.175,178.974,24.494,181.988,17.846,6.606,25.646,262.672,30.573,4.921,1761.798,33.92,21.846,28.835,-21.993,27.134,24.209,6.364,0,0,3.011,0.207,2.972,17.261,12.782,0.013,0.009,24.97,25.128,25.186,24.834,25.2,25.132,24.449,24.607,24.517,23.969,24.031,23.998,23.259,23.357,23.351,24.402,21.945,2039,732,-5,1.303693799,5
3758469620,0.348066672,22.676,19.014,23.697,20.911,15.822,22.901,136.116,0.007,396.865,23.813,14.322,0,0,0,0,0,0,98.834,0.001,0,196.28,17.172,178.936,24.495,182.013,17.85,6.603,25.625,262.835,30.596,4.964,1763.111,33.922,21.853,28.845,-21.994,27.163,24.197,6.347,0,0,3.012,0.2,2.97,17.235,12.758,0.013,0.009,24.978,25.137,25.194,24.825,25.193,25.121,24.437,24.602,24.515,23.964,24.016,24.003,23.272,23.359,23.356,24.405,21.937,2039,732,-5,1.404212638,5
3758469622,0.37798334,22.678,19.017,23.698,20.921,15.81,22.901,139.596,0.008,396.826,23.767,14.323,0,0,0,0,0,0,98.838,0.001,0,196.311,17.176,178.923,24.512,182.06,17.858,6.611,25.662,262.839,30.596,4.928,1762.488,33.907,21.785,28.832,-21.993,27.118,24.194,6.336,0,0,3.012,0.213,2.967,17.238,12.729,0.013,0.009,24.977,25.13,25.19,24.824,25.2,25.134,24.445,24.614,24.524,23.988,24.029,24.009,23.253,23.349,23.363,24.404,21.949,2039,732,-5,1.50526844,5
3758469624,0.407750003,22.646,19.002,23.697,20.929,15.817,22.901,137.805,0.009,396.849,23.8,14.323,0,0,0,0,0,0,98.836,0.001,0,196.148,17.185,178.944,24.516,182.023,17.852,6.622,25.673,262.759,30.585,4.905,1761.14,33.89,21.823,28.82,-21.994,27.117,24.201,6.349,0,0,3.009,0.217,2.962,17.23,12.737,0.013,0.009,24.98,25.135,25.204,24.838,25.201,25.135,24.45,24.608,24.535,23.979,24.039,24.02,23.273,23.37,23.368,24.407,21.951,2039,732,-5,1.574275666,5
3758469626,0.438316671,22.655,19.017,23.698,20.94,15.822,22.901,124.225,0.008,396.865,23.771,14.323,0,0,0,0,0,0,98.836,0.001,0,196.03,17.178,178.993,24.501,182.218,17.888,6.572,25.659,262.642,30.569,4.904,1762.277,33.887,21.807,28.848,-21.994,27.11,24.202,6.315,0,0,3.007,0.215,2.946,17.25,12.738,0.013,0.009,24.967,25.123,25.189,24.832,25.198,25.133,24.436,24.61,24.525,23.976,24.034,24.007,23.254,23.364,23.352,24.409,21.96,2039,732,-5,2.049386864,5
3758469628,0.475316668,22.668,19.026,23.697,20.948,15.838,22.9,134.033,0.007,396.849,23.798,14.323,0,0,0,0,0,0,98.84,0.001,0,196.036,17.193,178.955,24.508,182.129,17.871,6.594,25.659,262.745,30.583,4.918,1763.263,33.918,21.813,28.831,-21.993,27.158,24.204,6.333,0,0,3.007,0.193,2.975,17.257,12.763,0.013,0.009,24.972,25.135,25.189,24.827,25.198,25.125,24.444,24.601,24.534,23.983,24.038,24.01,23.27,23.366,23.361,24.401,21.946,2039,732,-5,1.069876296,5
3758469630,0.505433337,22.67,19.037,23.815,20.928,15.825,22.785,131.765,0.008,396.849,23.787,14.324,0,0,0,0,0,0,98.841,0.001,0,196.246,17.198,179.035,24.495,182.061,17.859,6.594,25.659,262.668,30.572,4.907,1763.4,33.895,21.829,28.818,-21.994,27.148,24.206,6.348,0,0,3.01,0.21,2.97,17.274,12.752,0.013,0.009,24.965,25.119,25.195,24.834,25.175,25.119,24.446,24.615,24.534,23.974,24.039,24.017,23.274,23.37,23.36,24.407,21.957,2039,732,-5,1.337792642,5
3758469632,0.536166668,22.661,19.025,23.701,20.935,15.831,22.9,131.442,0.008,396.873,23.794,14.321,0,0,0,0,0,0,98.833,0.001,0,196.107,17.187,179.063,24.52,182.23,17.89,6.588,25.644,262.598,30.562,4.912,1764.394,33.893,21.8,28.829,-21.993,27.16,24.217,6.328,0,0,3.009,0.205,2.964,17.26,12.759,0.013,0.009,24.963,25.128,25.184,24.824,25.165,25.115,24.435,24.588,24.519,23.965,24.032,24.004,23.28,23.367,23.358,24.409,21.957,2039,732,-5,1.506780512,5
3758469633,0.560900005,22.666,19.043,23.697,20.945,15.813,22.901,131.445,0.008,396.81,23.78,14.323,0,0,0,0,0,0,98.844,0.001,0,196.159,17.163,179.003,24.525,182.074,17.861,6.622,25.667,262.617,30.565,4.891,1764.063,33.887,21.811,28.851,-21.994,27.176,24.21,6.349,0,0,3.009,0.207,2.947,17.287,12.719,0.013,0.009,24.953,25.117,25.188,24.808,25.167,25.098,24.437,24.582,24.505,23.961,24.032,24.004,23.262,23.349,23.354,24.404,21.956,2039,732,-5,2.081934184,5
3758469635,0.591983334,22.656,19.031,23.697,20.916,15.821,22.901,132.221,0.008,396.857,23.817,14.324,0,0,0,0,0,0,98.846,0.001,0,195.852,17.199,178.875,24.508,182.203,17.885,6.581,25.646,262.649,30.569,4.917,1763.082,33.911,21.791,28.833,-21.994,27.155,24.208,6.323,0,0,3.004,0.206,2.97,17.272,12.754,0.013,0.009,24.962,25.123,25.198,24.841,25.177,25.142,24.447,24.6,24.524,23.98,24.025,24.006,23.277,23.361,23.353,24.409,21.962,2039,732,-5,1.138265819,5
3758469637,0.622966671,22.652,19.018,23.697,20.952,15.839,22.901,131.201,0.008,396.881,23.796,14.323,0,0,0,0,0,0,98.831,0.001,0,195.972,17.176,179.068,24.493,182.148,17.875,6.576,25.65,262.847,30.597,4.941,1763.193,33.917,21.776,28.837,-21.994,27.106,24.212,6.337,0,0,3.006,0.205,2.972,17.252,12.763,0.013,0.009,24.958,25.129,25.178,24.839,25.196,25.145,24.444,24.607,24.519,23.988,24.046,24.005,23.269,23.357,23.354,24.412,21.958,2039,732,-5,1.137504182,5
3758469639,0.660750008,22.654,19.021,23.696,20.935,15.838,22.902,127.576,0.008,396.849,23.797,14.323,0,0,0,0,0,0,98.842,0.001,0,196.062,17.191,178.945,24.514,182.138,17.873,6.599,25.678,262.657,30.571,4.886,1764.313,33.908,21.85,28.826,-21.993,27.096,24.219,6.346,0,0,3.007,0.204,2.974,17.257,12.771,0.013,0.009,24.97,25.135,25.201,24.834,25.19,25.143,24.437,24.607,24.523,23.989,24.034,24.007,23.276,23.361,23.365,24.407,21.953,2039,732,-5,1.103494399,5
3758469641,0.691583339,22.657,19.019,23.815,20.948,15.808,22.901,146.047,0.007,396.857,23.807,14.323,0,0,0,0,0,0,98.838,0.001,0,196.511,17.185,179.027,24.486,181.959,17.84,6.604,25.655,262.817,30.593,4.932,1763.426,33.89,21.837,28.797,-21.994,27.153,24.196,6.356,0,0,3.015,0.2,2.98,17.253,12.708,0.013,0.009,24.969,25.133,25.199,24.821,25.194,25.134,24.441,24.628,24.513,23.979,24.031,24.01,23.281,23.367,23.365,24.407,21.956,2039,732,-5,1.1676397,5
3758469643,0.721416672,22.65,19.015,23.698,20.912,15.827,22.901,133.018,0.009,396.849,23.811,14.323,0,0,0,0,0,0,98.841,0.001,0,196.06,17.191,178.993,24.51,182.292,17.901,6.567,25.654,262.958,30.613,4.953,1761.721,33.937,21.778,28.861,-21.994,27.122,24.21,6.309,0,0,3.007,0.227,2.967,17.249,12.767,0.013,0.009,24.981,25.137,25.188,24.831,25.199,25.149,24.437,24.621,24.52,23.984,24.038,24.005,23.287,23.37,23.364,24.408,21.947,2039,732,-5,1.339136257,5
3758469644,0.751433341,22.661,19.02,23.697,20.952,15.806,22.901,129.637,0.008,396.865,23.805,14.322,0,0,0,0,0,0,98.833,0.001,0,196.422,17.186,179.028,24.505,182.267,17.896,6.566,25.696,263.008,30.62,4.918,1763.372,33.929,21.679,28.849,-21.994,27.11,24.197,6.3,0,0,3.012,0.208,2.972,17.251,12.702,0.013,0.009,24.983,25.154,25.194,24.835,25.184,25.137,24.439,24.625,24.529,23.984,24.039,24.016,23.286,23.365,23.369,24.406,21.952,2039,732,-5,1.336898396,5
3758469646,0.782066671,22.672,19.012,23.697,20.944,15.834,22.9,131.194,0.007,396.842,23.798,14.324,0,0,0,0,0,0,98.843,0.001,0,196.425,17.195,179,24.497,182.177,17.88,6.575,25.661,263.035,30.624,4.956,1762.193,33.931,21.862,28.814,-21.995,27.109,24.203,6.324,0,0,3.013,0.201,2.992,17.233,12.759,0.013,0.009,24.971,25.129,25.178,24.841,25.177,25.132,24.435,24.61,24.524,23.986,24.041,24.006,23.272,23.359,23.352,24.405,21.955,2039,732,-5,0.699417152,5
3758469649,0.819050002,22.67,18.987,23.698,20.925,15.825,22.785,130.242,0.008,396.881,23.811,14.323,0,0,0,0,0,0,98.837,0.001,0,196.413,17.192,179.046,24.503,182.062,17.859,6.601,25.67,263.106,30.634,4.958,1763.997,33.939,21.764,28.832,-21.993,27.143,24.212,6.352,0,0,3.013,0.202,2.989,17.193,12.755,0.013,0.009,24.995,25.142,25.195,24.835,25.17,25.145,24.421,24.625,24.517,23.986,24.043,24.015,23.286,23.364,23.366,24.411,21.95,2039,732,-5,0.799733422,5
3758469650,0.849983335,22.667,19.022,23.698,20.937,15.856,22.9,128.785,0.007,396.865,23.813,14.322,0,0,0,0,0,0,98.834,0.001,0,196.542,17.198,179.031,24.5,182.134,17.872,6.585,25.659,263.217,30.649,4.984,1763.265,33.926,21.806,28.848,-21.994,27.141,24.197,6.325,0,0,3.015,0.201,2.971,17.252,12.804,0.013,0.009,24.981,25.14,25.19,24.827,25.17,25.171,24.431,24.626,24.53,23.984,24.054,24.009,23.278,23.37,23.368,24.41,21.96,2039,732,-5,1.470096893,5
3758469652,0.880866671,22.64,19.018,23.697,20.927,15.837,22.902,127.344,0.007,396.826,23.788,14.322,0,0,0,0,0,0,98.842,0.001,0,196.492,17.203,179.063,24.499,182.049,17.857,6.6,25.667,263.214,30.649,4.976,1763.987,33.913,21.791,28.831,-21.994,27.121,24.228,6.372,0,0,3.014,0.2,2.975,17.259,12.775,0.013,0.009,24.976,25.129,25.181,24.828,25.176,25.149,24.427,24.628,24.525,23.98,24.047,24.005,23.281,23.362,23.362,24.416,21.961,2039,732,-5,1.302387711,5
3758469654,0.917250005,22.656,19.005,23.698,20.915,15.84,22.901,140.585,0.007,396.842,23.816,14.322,0,0,0,0,0,0,98.839,0.001,0,196.682,17.2,179.09,24.493,182.302,17.903,6.548,25.659,263.084,30.63,4.966,1763.021,33.907,21.852,28.841,-21.994,27.12,24.209,6.307,0,0,3.016,0.197,2.963,17.231,12.79,0.013,0.009,24.99,25.142,25.201,24.822,25.178,25.16,24.433,24.613,24.527,23.984,24.045,24.021,23.28,23.369,23.368,24.419,21.964,2039,732,-5,1.772871718,5
3758469657,0.954650005,22.664,19.019,23.697,20.929,15.845,22.785,133.66,0.009,396.842,23.798,14.323,0,0,0,0,0,0,98.836,0.001,0,196.491,17.207,179.076,24.51,182.204,17.885,6.583,25.675,263.06,30.627,4.946,1765.211,33.939,21.781,28.849,-21.994,27.105,24.216,6.331,0,0,3.014,0.218,2.981,17.248,12.79,0.013,0.009,24.973,25.147,25.203,24.83,25.179,25.15,24.439,24.64,24.529,23.988,24.048,24.019,23.281,23.374,23.377,24.418,21.955,2039,732,-5,1.100917431,5
3758469659,0.985300001,22.661,19.028,23.697,20.947,15.827,22.901,130.432,0.008,396.857,23.809,14.322,0,0,0,0,0,0,98.835,0.001,0,196.689,17.192,179.115,24.491,182.086,17.863,6.586,25.671,262.95,30.612,4.935,1763.047,33.916,21.816,28.826,-21.994,27.102,24.22,6.357,0,0,3.017,0.209,2.977,17.265,12.744,0.013,0.009,24.956,25.148,25.176,24.832,25.179,25.153,24.437,24.638,24.535,23.989,24.056,24,23.276,23.366,23.362,24.427,21.966,2039,732,-5,1.334668001,5
3758469660,1.010233339,22.653,18.999,23.697,20.923,15.83,22.901,130.426,0.007,396.826,23.822,14.322,0,0,0,0,0,0,98.844,0.001,0,196.588,17.204,179.03,24.509,182.218,17.887,6.58,25.669,263.15,30.64,4.965,1765.012,33.916,21.82,28.833,-21.994,27.105,24.218,6.331,0,0,3.015,0.201,2.976,17.221,12.766,0.013,0.009,24.964,25.148,25.194,24.825,25.181,25.14,24.441,24.631,24.522,23.978,24.033,24.017,23.285,23.373,23.37,24.423,21.962,2039,732,-5,1.301952929,5
3758469662,1.04096667,22.66,19.018,23.697,20.923,15.856,22.901,132.997,0.007,396.842,23.815,14.321,0,0,0,0,0,0,98.84,0.001,0,196.3,17.207,179.099,24.499,182.389,17.918,6.538,25.656,263.113,30.635,4.972,1763.46,33.926,21.789,28.85,-21.993,27.104,24.221,6.303,0,0,3.01,0.201,2.97,17.25,12.813,0.013,0.01,24.966,25.14,25.186,24.829,25.185,25.138,24.464,24.624,24.525,23.979,24.047,24.016,23.293,23.369,23.363,24.422,21.957,2039,732,-5,1.337792642,5
3758469664,1.072000003,22.653,19.02,23.697,20.921,15.837,22.901,129.085,0.008,396.802,23.806,14.323,0,0,0,0,0,0,98.843,0.001,0,196.371,17.213,179.111,24.487,182.108,17.867,6.578,25.674,263.035,30.623,4.943,1764.606,33.921,21.841,28.849,-21.994,27.09,24.221,6.354,0,0,3.012,0.206,2.969,17.255,12.78,0.013,0.009,24.967,25.142,25.193,24.807,25.181,25.132,24.468,24.614,24.524,23.971,24.034,24.018,23.291,23.368,23.376,24.421,21.967,2039,732,-5,1.437886641,5
3758469666,1.10253334,22.646,19.029,23.697,20.919,15.833,22.785,132.385,0.007,396.857,23.822,14.323,0,0,0,0,0,0,98.835,0.001,0,196.478,17.204,179.148,24.51,182.268,17.897,6.571,25.674,262.905,30.605,4.925,1764.168,33.904,21.85,28.826,-21.994,27.096,24.225,6.328,0,0,3.013,0.201,2.972,17.273,12.773,0.013,0.009,24.972,25.146,25.169,24.822,25.185,25.135,24.456,24.606,24.532,23.969,24.04,24.018,23.284,23.365,23.37,24.422,21.954,2039,732,-5,1.370091896,5
3758469667,1.132716672,22.659,19.009,23.696,20.913,15.872,22.785,126.317,0.008,396.857,23.802,14.324,0,0,0,0,0,0,98.834,0.001,0,196.336,17.214,179.094,24.507,182.218,17.887,6.578,25.693,262.974,30.615,4.916,1763.312,33.937,21.818,28.831,-21.994,27.08,24.219,6.331,0,0,3.011,0.203,2.987,17.234,12.85,0.013,0.01,24.961,25.144,25.188,24.828,25.204,25.138,24.459,24.616,24.531,23.983,24.048,24.026,23.289,23.384,23.368,24.418,21.966,2039,732,-5,0.800266756,5
3758469670,1.169266669,22.674,19.033,23.815,20.933,15.857,22.785,128.091,0.007,396.873,23.802,14.322,0,0,0,0,0,0,98.83,0.001,0,196.37,17.208,179.151,24.504,182.146,17.874,6.588,25.685,263.036,30.624,4.933,1764.249,33.914,21.853,28.833,-21.993,27.075,24.213,6.338,0,0,3.012,0.196,2.974,17.266,12.808,0.013,0.009,24.966,25.154,25.205,24.818,25.198,25.132,24.447,24.597,24.529,23.968,24.034,24.03,23.303,23.388,23.38,24.415,21.967,2039,732,-5,1.269629135,5
3758469672,1.206300004,22.662,19.017,23.696,20.933,15.821,22.785,130.95,0.007,396.834,23.812,14.323,0,0,0,0,0,0,98.839,0.001,0,196.486,17.205,179.117,24.502,182.197,17.883,6.577,25.673,263.013,30.62,4.941,1763.625,33.887,21.785,28.827,-21.993,27.095,24.212,6.328,0,0,3.013,0.2,2.96,17.246,12.743,0.013,0.009,24.955,25.139,25.203,24.832,25.22,25.154,24.45,24.629,24.536,23.987,24.065,24.02,23.295,23.379,23.375,24.417,21.953,2039,732,-5,1.774652603,5
3758469674,1.238133335,22.658,19.012,23.697,20.933,15.838,22.785,128.638,0.008,396.849,23.826,14.323,0,0,0,0,0,0,98.837,0.001,0,196.053,17.213,179.102,24.487,182.401,17.921,6.524,25.697,262.987,30.617,4.914,1763.312,33.914,21.79,28.847,-21.994,27.12,24.209,6.288,0,0,3.005,0.203,2.964,17.24,12.773,0.013,0.009,24.966,25.144,25.206,24.834,25.222,25.161,24.451,24.635,24.534,23.985,24.046,24.024,23.312,23.383,23.382,24.409,21.959,2039,732,-5,1.37376445,5
3758469675,1.264150008,22.678,19.043,23.697,20.942,15.846,22.901,129.8,0.007,396.857,23.821,14.322,0,0,0,0,0,0,98.836,0.001,0,196.065,17.216,179.143,24.476,182.275,17.898,6.536,25.702,262.879,30.602,4.894,1763.126,33.9,21.759,28.846,-21.994,27.123,24.219,6.321,0,0,3.005,0.201,2.956,17.28,12.782,0.013,0.009,24.969,25.139,25.214,24.828,25.221,25.164,24.461,24.634,24.538,23.978,24.052,24.017,23.304,23.373,23.372,24.411,21.952,2039,732,-5,1.64401946,5
3758469678,1.302800004,22.681,19.01,23.698,20.931,15.837,22.786,127.974,0.007,396.834,23.813,14.323,0,0,0,0,0,0,98.842,0.001,0,196.067,17.223,179.16,24.46,182.243,17.892,6.527,25.707,262.9,30.605,4.891,1763.069,33.939,21.858,28.831,-21.993,27.076,24.22,6.328,0,0,3.005,0.201,2.988,17.226,12.773,0.013,0.009,24.985,25.161,25.226,24.826,25.231,25.187,24.476,24.628,24.535,23.978,24.057,24.037,23.31,23.382,23.388,24.413,21.958,2039,732,-5,0.56732855,5
3758469679,1.332950004,22.678,18.987,23.698,20.964,15.837,22.784,131.72,0.007,396.849,23.821,14.323,0,0,0,0,0,0,98.837,0.001,0,195.956,17.211,179.2,24.476,182.288,17.9,6.534,25.728,262.749,30.584,4.85,1763.027,33.907,21.839,28.853,-21.994,27.108,24.217,6.317,0,0,3.003,0.196,2.956,17.19,12.752,0.013,0.009,24.96,25.154,25.203,24.827,25.251,25.177,24.475,24.618,24.538,23.984,24.055,24.028,23.313,23.375,23.382,24.408,21.957,2039,732,-5,1.57744588,5
