.,Time Elapsed (min),Tdb_in (C),Twb_in (C),RH_in,Tdb_out (C),Twb_out(C),RH_out(C),Q_dot_air_TriCoil (CFM),dP_nozzle_TriCoil (in W.G.),Pin_nozzle_TriCoil (in W.G),Outdoor Temp (C),Atm Pressure (PSI),Heater Output (kW),FMWP,FMEP,LBWP,LBEP,Steam Humidifier (%),Q_dot_air_wt (CFM),dP_nozzle (in W.G.),Pin_nozzle (PSIG),m_dot_r (kg/h),T_evap_in (C),P_evap_in_coolprop (PSI),T_evap_out (C),P_evap_out (PSIG),T_evap_sat (C),SH (K),T_exv_in (C),P_exv_in (PSIG),T_cond_sat (C),SC (K),m_dot_w (kg/h),T_w_in (C),P_w_in (PSIG),T_w_out (C),dp_w (in W.G.),Water Heater (% of total capacity),T_evap_out_TC (C),SH_TC (K),Water Reverse Flow,TriCoil Refr. Reverse Flow,Q_ref (tons),Q_air (tons),Q_w (tons),Inlet Air Dew Point (C),Outlet Air Dew Point (C),Inlet Air Humdity Ratio (kg/kg),Outlet Air Humidity Ratio (kg/kg),TriCoil Outlet (11),TriCoil Outlet (12),TriCoil Outlet (13),TriCoil Outlet (21),TriCoil Outlet (22),TriCoil Outlet (23),TriCoil Outlet (31),TriCoil Outlet (32),TriCoil Outlet (33),TriCoil Outlet (41),TriCoil Outlet (42),TriCoil Outlet (43),TriCoil Outlet (51),TriCoil Outlet (52),TriCoil Outlet (53) ,TriCoil Outlet (Avg),DB2_TC,,
3759438343,6.866166671,27.904,13.644,17.136,19.824,9.99,17.095,1634.126,0.819,398.782,26.561,14.391,4.379,0,0,0,0,0,5709.223,1.417,0,293.085,13.385,159.189,16.938,148.167,11.259,5.643,27.032,276.306,32.462,5.424,835.929,29.823,16.851,22.685,-22.772,18.536,20.18,8.922,0,0,4.377,2.274,1.98,0.894,-0.229,0.004,0.004,19.838,17.735,18.763,20.286,20.564,20.349,18.572,17.743,17.967,20.135,20.054,20.285,17.459,16.398,16.461,18.817,20.049,3725,2178
3759438345,6.901416667,27.896,13.659,17.136,19.829,9.98,17.095,1621.872,0.818,398.759,26.589,14.391,4.438,0,0,0,0,0,5719.839,1.412,0,292.815,13.395,159.095,16.95,148.268,11.279,5.635,27.045,276.252,32.455,5.404,835.843,29.82,16.9,22.67,-22.772,18.618,20.185,8.905,0,0,4.372,2.289,1.983,0.957,-0.267,0.004,0.004,19.841,17.723,18.75,20.267,20.545,20.343,18.57,17.717,17.954,20.12,20.024,20.28,17.455,16.397,16.446,18.826,20.046,3725,2178
3759438347,6.929583335,27.883,13.64,17.137,19.802,9.99,17.093,1634.636,0.804,398.76,26.555,14.392,4.335,0,0,0,0,0,5710.969,1.42,0,292.937,13.383,159.146,16.949,148.203,11.266,5.647,27.036,276.22,32.45,5.408,835.134,29.82,16.865,22.663,-22.772,18.557,20.184,8.918,0,0,4.374,2.253,1.984,0.906,-0.202,0.004,0.004,19.84,17.713,18.761,20.252,20.536,20.368,18.572,17.728,17.966,20.134,20.045,20.262,17.437,16.398,16.443,18.819,20.066,3725,2178
3759438349,6.959150004,27.938,13.649,17.137,19.842,9.989,17.095,1606.889,0.819,398.793,26.588,14.392,4.304,0,0,0,0,0,5724.052,1.405,0,292.839,13.39,159.084,16.954,148.287,11.284,5.634,27.048,276.169,32.444,5.39,835.216,29.819,16.879,22.671,-22.772,18.593,20.185,8.901,0,0,4.372,2.277,1.981,0.862,-0.257,0.004,0.004,19.845,17.708,18.763,20.251,20.554,20.352,18.563,17.738,17.942,20.112,20.028,20.24,17.438,16.412,16.446,18.819,20.055,3725,2178
3759438351,6.992250005,27.935,13.647,17.135,19.804,9.999,17.094,1615.115,0.787,398.786,26.582,14.391,4.308,0,0,0,0,0,5698.15,1.411,0,292.745,13.401,159.121,16.935,148.206,11.267,5.632,27.018,276.15,32.441,5.417,835.949,29.818,16.879,22.682,-22.773,18.6,20.196,8.929,0,0,4.372,2.231,1.98,0.859,-0.179,0.004,0.004,19.847,17.725,18.793,20.243,20.541,20.375,18.553,17.721,17.944,20.109,20.022,20.254,17.466,16.401,16.443,18.816,20.063,3725,2178
3759438352,7.017033339,27.93,13.694,17.135,19.815,10.003,17.094,1615.163,0.797,398.768,26.588,14.392,4.278,0,0,0,0,0,5708.796,1.415,0,293.096,13.384,159.175,16.944,148.258,11.277,5.63,27.024,276.288,32.46,5.429,834.803,29.806,16.841,22.676,-22.772,18.546,20.198,8.921,0,0,4.377,2.271,1.975,1.031,-0.182,0.004,0.004,19.838,17.723,18.782,20.244,20.538,20.363,18.554,17.717,17.937,20.119,20.025,20.232,17.443,16.391,16.437,18.818,20.046,3725,2178
3759438354,7.048266665,27.935,13.68,17.137,19.804,9.999,17.095,1641.825,0.788,398.776,26.592,14.392,4.267,0,0,0,0,0,5708.977,1.411,0,293.244,13.391,159.088,16.938,148.213,11.268,5.633,27.027,276.281,32.459,5.426,835.559,29.792,16.878,22.668,-22.772,18.626,20.16,8.892,0,0,4.379,2.264,1.975,0.975,-0.179,0.004,0.004,19.829,17.717,18.785,20.238,20.521,20.347,18.547,17.721,17.923,20.12,20.037,20.222,17.45,16.392,16.434,18.806,20.058,3725,2178
3759438356,7.078416665,27.907,13.667,17.136,19.81,10.004,17.096,1653.696,0.827,398.799,26.588,14.392,4.3,0,0,0,0,0,5708.624,1.411,0,292.914,13.387,159.122,16.925,148.3,11.286,5.603,27.034,276.067,32.43,5.39,835.18,29.795,16.911,22.664,-22.772,18.617,20.19,8.903,0,0,4.373,2.29,1.976,0.969,-0.17,0.004,0.004,19.825,17.703,18.775,20.238,20.528,20.371,18.532,17.722,17.932,20.109,20.05,20.228,17.452,16.395,16.433,18.815,20.058,3725,2178
3759438358,7.109950002,27.934,13.699,17.136,19.819,9.999,17.094,1608.849,0.84,398.776,26.603,14.392,4.245,0,0,0,0,0,5708.363,1.428,0,293.145,13.395,159.104,16.94,148.376,11.302,5.602,27.032,276.516,32.491,5.452,835.653,29.811,16.911,22.682,-22.772,18.565,20.19,8.887,0,0,4.377,2.331,1.977,1.044,-0.198,0.004,0.004,19.813,17.689,18.763,20.244,20.528,20.386,18.553,17.741,17.948,20.119,20.057,20.223,17.442,16.381,16.431,18.813,20.056,3725,2178
3759438359,7.140083337,27.925,13.666,17.136,19.818,9.99,17.095,1604.243,0.79,398.773,26.595,14.391,4.125,0,0,0,0,0,5737.944,1.404,0,293.295,13.41,159.146,16.913,148.358,11.298,5.579,27.042,276.27,32.457,5.409,835.146,29.807,16.9,22.659,-22.772,18.573,20.192,8.894,0,0,4.378,2.251,1.981,0.939,-0.222,0.004,0.004,19.817,17.71,18.761,20.235,20.536,20.384,18.564,17.738,17.948,20.112,20.056,20.25,17.462,16.395,16.43,18.813,20.056,3725,2178
3759438361,7.168983332,27.912,13.671,17.136,19.82,10.025,17.094,1592.078,0.784,398.758,26.576,14.391,4.168,0,0,0,0,0,5696.595,1.414,0,293.078,13.397,159.218,16.914,148.375,11.302,5.576,27.037,276.403,32.475,5.432,835.768,29.804,16.862,22.683,-22.771,18.581,20.211,8.909,0,0,4.375,2.228,1.975,0.974,-0.124,0.004,0.004,19.831,17.702,18.77,20.198,20.523,20.358,18.553,17.723,17.93,20.115,20.027,20.242,17.453,16.399,16.432,18.822,20.053,3725,2178
3759438363,7.204583335,27.931,13.661,17.136,19.803,10.001,16.98,1631.327,0.771,398.77,26.568,14.39,4.175,0,0,0,0,0,5713.518,1.414,0,293.118,13.415,159.155,16.89,148.356,11.298,5.556,27.067,276.408,32.476,5.403,836.059,29.82,16.86,22.646,-22.771,18.588,20.226,8.928,0,0,4.374,2.219,1.99,0.918,-0.172,0.004,0.004,19.825,17.713,18.793,20.232,20.522,20.368,18.559,17.74,17.962,20.115,20.031,20.239,17.448,16.396,16.448,18.828,20.05,3725,2178
3759438365,7.234449999,27.938,13.682,17.136,19.81,10.007,16.978,1648.131,0.815,398.745,26.586,14.392,4.137,0,0,0,0,0,5713.387,1.395,0,293.079,13.406,159.247,16.842,148.336,11.294,5.512,27.054,276.333,32.466,5.406,835.817,29.816,16.887,22.681,-22.771,18.567,20.207,8.913,0,0,4.372,2.284,1.979,0.976,-0.164,0.004,0.004,19.815,17.697,18.787,20.204,20.517,20.363,18.546,17.724,17.949,20.118,20.031,20.247,17.452,16.389,16.446,18.825,20.046,3725,2178
3759438367,7.271933333,27.928,13.674,17.137,19.817,10.005,17.095,1616.772,0.834,398.792,26.595,14.392,4.248,0,0,0,0,0,5680.549,1.429,0,293.243,13.401,159.202,16.837,148.346,11.296,5.505,27.058,276.39,32.474,5.409,835.567,29.814,16.873,22.666,-22.773,18.597,20.196,8.9,0,0,4.374,2.303,1.982,0.965,-0.177,0.004,0.004,19.809,17.695,18.776,20.212,20.539,20.345,18.555,17.737,17.966,20.113,20.032,20.242,17.443,16.389,16.43,18.822,20.06,3725,2178
3759438369,7.300966668,27.888,13.661,17.137,19.804,10.015,17.095,1625.716,0.798,398.79,26.616,14.392,4.249,0,0,0,0,0,5740.817,1.399,0,293.263,13.403,159.175,16.844,148.424,11.312,5.495,27.077,276.238,32.453,5.37,835.116,29.818,16.903,22.671,-22.772,18.596,20.192,8.879,0,0,4.374,2.245,1.981,0.974,-0.132,0.004,0.004,19.81,17.693,18.797,20.179,20.533,20.351,18.542,17.724,17.952,20.117,20.042,20.247,17.445,16.374,16.428,18.828,20.049,3725,2178
3759438371,7.338733339,27.914,13.636,17.135,19.809,9.989,17.095,1620.942,0.809,398.784,26.576,14.393,4.228,0,0,0,0,0,5686.465,1.418,0,293.079,13.407,159.184,16.836,148.451,11.318,5.482,27.035,276.131,32.439,5.397,835.484,29.8,16.879,22.665,-22.771,18.635,20.197,8.879,0,0,4.372,2.256,1.978,0.849,-0.216,0.004,0.004,19.785,17.685,18.765,20.207,20.534,20.363,18.544,17.731,17.954,20.122,20.045,20.259,17.451,16.398,16.428,18.828,20.053,3725,2178
3759438374,7.374033332,27.923,13.688,17.137,19.797,9.997,17.095,1630.737,0.803,398.805,26.586,14.392,4.139,0,0,0,0,0,5720.211,1.398,0,292.861,13.396,159.206,16.844,148.272,11.281,5.527,27.081,276.229,32.452,5.365,835.938,29.85,16.876,22.676,-22.772,18.603,20.214,8.933,0,0,4.368,2.279,1.99,1.018,-0.175,0.004,0.004,19.791,17.686,18.773,20.181,20.512,20.329,18.55,17.724,17.948,20.095,20.007,20.254,17.44,16.381,16.421,18.834,20.052,3725,2178
3759438376,7.409516668,27.913,13.692,17.135,19.807,9.992,17.093,1577.75,0.814,398.797,26.585,14.393,4.035,0,0,0,0,0,5685.831,1.392,0,292.796,13.399,159.149,16.824,148.413,11.31,5.477,27.052,276.514,32.491,5.432,835.938,29.829,16.891,22.672,-22.771,18.63,20.209,8.898,0,0,4.367,2.299,1.985,1.047,-0.204,0.004,0.004,19.791,17.684,18.789,20.195,20.513,20.357,18.549,17.726,17.949,20.106,20.036,20.271,17.443,16.395,16.425,18.827,20.049,3725,2178
3759438378,7.4443,27.934,13.694,17.136,19.805,9.997,17.095,1649.123,0.756,398.808,26.575,14.392,4.152,0,0,0,0,0,5675.236,1.427,0,293.078,13.42,159.165,16.801,148.35,11.297,5.467,27.05,276.581,32.5,5.443,836.036,29.814,16.883,22.671,-22.773,18.635,20.193,8.896,0,0,4.371,2.222,1.982,1.028,-0.185,0.004,0.004,19.798,17.675,18.774,20.18,20.528,20.351,18.562,17.725,17.939,20.105,20.036,20.263,17.443,16.393,16.423,18.833,20.062,3725,2178
3759438380,7.478816668,27.896,13.687,17.137,19.812,9.986,16.978,1617.137,0.835,398.775,26.593,14.393,4.145,0,0,0,0,0,5737.312,1.413,0,292.643,13.408,159.27,16.781,148.341,11.295,5.45,27.052,276.294,32.461,5.403,835.643,29.849,16.914,22.669,-22.771,18.636,20.203,8.908,0,0,4.364,2.325,1.991,1.051,-0.228,0.004,0.004,19.795,17.684,18.747,20.184,20.52,20.355,18.564,17.732,17.93,20.101,20.039,20.281,17.443,16.39,16.438,18.834,20.068,3725,2178
3759438382,7.513483334,27.934,13.684,17.136,19.797,9.991,17.094,1611.884,0.799,398.815,26.6,14.392,4.074,0,0,0,0,0,5712.533,1.408,0,292.846,13.413,159.21,16.813,148.278,11.282,5.495,27.057,276.406,32.476,5.412,835.492,29.842,16.849,22.679,-22.772,18.642,20.225,8.943,0,0,4.368,2.274,1.986,0.991,-0.194,0.004,0.004,19.805,17.685,18.761,20.201,20.527,20.376,18.567,17.732,17.959,20.118,20.058,20.276,17.435,16.394,16.436,18.841,20.065,3725,2178
3759438383,7.537333337,27.931,13.652,17.137,19.821,9.976,17.094,1637.886,0.793,398.797,26.611,14.392,4.115,0,0,0,0,0,5702.751,1.41,0,292.738,13.41,159.231,16.819,148.326,11.292,5.491,27.068,276.23,32.452,5.378,835.687,29.824,16.876,22.683,-22.771,18.668,20.215,8.923,0,0,4.366,2.255,1.98,0.881,-0.271,0.004,0.004,19.805,17.704,18.78,20.209,20.512,20.373,18.582,17.734,17.946,20.106,20.072,20.281,17.466,16.397,16.447,18.845,20.056,3725,2178
3759438385,7.566700006,27.904,13.638,17.135,19.817,9.972,17.096,1615.435,0.822,398.797,26.597,14.393,4.095,0,0,0,0,0,5707.443,1.424,0,293.14,13.405,159.217,16.819,148.32,11.291,5.492,27.075,276.206,32.449,5.367,835.681,29.859,16.849,22.649,-22.771,18.652,20.214,8.923,0,0,4.372,2.284,1.999,0.867,-0.277,0.004,0.004,19.814,17.707,18.766,20.209,20.514,20.337,18.589,17.73,17.955,20.111,20.054,20.27,17.454,16.411,16.449,18.841,20.05,3725,2178
3759438387,7.601983333,27.945,13.679,17.136,19.81,9.973,17.094,1578.476,0.797,398.806,26.587,14.393,4.086,0,0,0,0,0,5731.174,1.422,0,292.789,13.412,159.195,16.808,148.215,11.269,5.503,27.056,276.094,32.434,5.371,835.907,29.85,16.903,22.659,-22.772,18.652,20.226,8.958,0,0,4.367,2.279,1.995,0.956,-0.264,0.004,0.004,19.807,17.696,18.777,20.219,20.518,20.353,18.559,17.738,17.949,20.104,20.042,20.267,17.459,16.409,16.438,18.835,20.055,3725,2178
3759438389,7.637466669,27.905,13.621,17.136,19.821,9.978,17.094,1635.109,0.756,398.815,26.582,14.391,4.052,0,0,0,0,0,5727.383,1.403,0,292.782,13.401,159.23,16.817,148.309,11.288,5.492,27.087,276.294,32.461,5.367,835.975,29.854,16.897,22.683,-22.771,18.618,20.235,8.946,0,0,4.366,2.187,1.989,0.808,-0.263,0.004,0.004,19.784,17.702,18.767,20.214,20.539,20.365,18.572,17.753,17.964,20.119,20.038,20.282,17.468,16.41,16.446,18.842,20.054,3725,2178
3759438391,7.667083335,27.923,13.654,17.136,19.8,9.98,17.095,1626.015,0.819,398.749,26.6,14.393,4.091,0,0,0,0,0,5695.717,1.392,0,292.653,13.402,159.171,16.834,148.319,11.29,5.507,27.082,276.252,32.455,5.366,836.052,29.884,16.881,22.682,-22.771,18.624,20.221,8.931,0,0,4.365,2.286,1.998,0.898,-0.23,0.004,0.004,19.807,17.694,18.766,20.25,20.514,20.366,18.555,17.747,17.963,20.119,20.044,20.271,17.462,16.413,16.443,18.848,20.056,3725,2178
3759438393,7.69666667,27.932,13.641,17.137,19.811,10.004,17.095,1635.739,0.809,398.823,26.587,14.392,4.088,0,0,0,0,0,5674.025,1.384,0,292.767,13.409,159.182,16.82,148.253,11.277,5.507,27.084,276.235,32.453,5.363,835.406,29.861,16.91,22.689,-22.772,18.655,20.225,8.948,0,0,4.366,2.251,1.988,0.843,-0.174,0.004,0.004,19.806,17.691,18.785,20.255,20.535,20.379,18.57,17.75,17.964,20.129,20.06,20.27,17.466,16.408,16.44,18.837,20.06,3725,2178
3759438395,7.725216667,27.903,13.661,17.137,19.792,10.001,17.095,1625.545,0.82,398.783,26.603,14.392,4.116,0,0,0,0,0,5660.529,1.426,0,292.786,13.402,159.212,16.858,148.264,11.279,5.543,27.086,276.245,32.454,5.362,835.795,29.867,16.911,22.7,-22.772,18.66,20.221,8.942,0,0,4.367,2.279,1.988,0.951,-0.156,0.004,0.004,19.808,17.709,18.772,20.231,20.527,20.346,18.567,17.753,17.954,20.124,20.055,20.252,17.468,16.404,16.435,18.838,20.056,3725,2178
3759438396,7.748783334,27.915,13.664,17.137,19.81,9.997,17.095,1625.627,0.808,398.775,26.624,14.393,4.033,0,0,0,0,0,5735.087,1.398,0,292.822,13.414,159.181,16.874,148.239,11.274,5.564,27.07,276.129,32.438,5.362,835.094,29.846,16.877,22.68,-22.771,18.661,20.242,8.968,0,0,4.369,2.27,1.986,0.946,-0.193,0.004,0.004,19.824,17.717,18.799,20.268,20.517,20.361,18.574,17.748,17.944,20.119,20.039,20.258,17.47,16.408,16.453,18.845,20.056,3725,2178
3759438397,7.772499998,27.926,13.648,17.137,19.807,10,17.094,1635.261,0.819,398.806,26.606,14.392,4.09,0,0,0,0,0,5735.393,1.407,0,293.096,13.409,159.242,16.876,148.296,11.286,5.554,27.083,276.329,32.465,5.376,835.357,29.833,16.9,22.666,-22.771,18.662,20.209,8.923,0,0,4.372,2.257,1.987,0.875,-0.179,0.004,0.004,19.815,17.708,18.808,20.265,20.521,20.381,18.586,17.749,17.938,20.135,20.05,20.251,17.459,16.408,16.436,18.841,20.054,3725,2178
3759438399,7.806883335,27.921,13.68,17.137,19.844,10.004,17.095,1633.701,0.798,398.792,26.586,14.393,4.107,0,0,0,0,0,5684.736,1.403,0,293.209,13.417,159.213,16.847,148.336,11.294,5.517,27.098,276.194,32.447,5.343,834.949,29.871,16.862,22.722,-22.771,18.667,20.227,8.933,0,0,4.373,2.29,1.981,0.992,-0.217,0.004,0.004,19.824,17.721,18.784,20.276,20.529,20.384,18.599,17.754,17.936,20.149,20.072,20.259,17.461,16.412,16.449,18.843,20.057,3725,2178
3759438401,7.836183333,27.943,13.669,17.137,19.812,9.984,17.095,1651.553,0.817,398.806,26.605,14.394,4.105,0,0,0,0,0,5694.261,1.425,0,293.09,13.415,159.256,16.881,148.268,11.28,5.565,27.083,276.032,32.425,5.336,835.269,29.844,16.857,22.677,-22.773,18.686,20.215,8.935,0,0,4.373,2.292,1.987,0.926,-0.236,0.004,0.004,19.83,17.724,18.803,20.287,20.535,20.382,18.591,17.757,17.958,20.141,20.062,20.269,17.48,16.41,16.446,18.836,20.041,3725,2178
3759438403,7.865200003,27.899,13.663,17.136,19.799,10,17.095,1627.24,0.838,398.832,26.604,14.393,4.074,0,0,0,0,0,5733.048,1.397,0,293.198,13.404,159.243,16.901,148.312,11.289,5.575,27.091,276.127,32.438,5.341,835.946,29.835,16.88,22.676,-22.772,18.709,20.209,8.92,0,0,4.374,2.304,1.986,0.966,-0.169,0.004,0.004,19.833,17.713,18.799,20.269,20.539,20.384,18.582,17.751,17.941,20.133,20.06,20.263,17.471,16.415,16.458,18.832,20.063,3725,2178
3759438405,7.899483339,27.891,13.658,17.136,19.809,9.984,17.095,1643.474,0.81,398.81,26.588,14.393,4.057,0,0,0,0,0,5683.654,1.412,0,292.939,13.389,159.186,16.925,148.322,11.291,5.598,27.045,276.495,32.488,5.437,835.909,29.842,16.896,22.697,-22.772,18.71,20.228,8.937,0,0,4.373,2.276,1.982,0.955,-0.23,0.004,0.004,19.841,17.722,18.79,20.252,20.523,20.37,18.578,17.751,17.919,20.126,20.073,20.264,17.463,16.406,16.448,18.835,20.058,3725,2178
3759438407,7.928716667,27.943,13.691,17.137,19.791,9.994,17.095,1669.159,0.829,398.813,26.567,14.391,4.06,0,0,0,0,0,5710.385,1.423,0,292.831,13.412,159.116,16.902,148.28,11.282,5.584,27.105,276.341,32.467,5.356,834.938,29.887,16.861,22.691,-22.772,18.684,20.227,8.945,0,0,4.368,2.314,1.994,1.004,-0.175,0.004,0.004,19.837,17.724,18.819,20.239,20.525,20.374,18.571,17.746,17.941,20.134,20.081,20.288,17.472,16.414,16.465,18.838,20.047,3725,2178
3759438409,7.963200005,27.926,13.683,17.137,19.787,10.009,16.979,1618.439,0.858,398.76,26.596,14.391,4.136,0,0,0,0,0,5728.695,1.409,0,292.915,13.39,159.228,16.911,148.289,11.284,5.59,27.075,276.188,32.446,5.365,835.935,29.859,16.884,22.686,-22.772,18.691,20.21,8.926,0,0,4.371,2.336,1.99,1,-0.128,0.004,0.004,19.842,17.717,18.827,20.279,20.537,20.378,18.587,17.751,17.934,20.137,20.067,20.285,17.487,16.416,16.47,18.837,20.05,3725,2178
3759438411,7.992,27.917,13.655,17.136,19.793,10.001,16.98,1613.613,0.8,398.77,26.572,14.393,4.083,0,0,0,0,0,5704.339,1.419,0,293.173,13.405,159.123,16.924,148.295,11.285,5.602,27.051,276.182,32.445,5.388,835.2,29.849,16.928,22.684,-22.771,18.697,20.221,8.936,0,0,4.376,2.251,1.986,0.91,-0.16,0.004,0.004,19.832,17.696,18.806,20.261,20.537,20.335,18.578,17.751,17.95,20.125,20.071,20.268,17.481,16.415,16.448,18.833,20.059,3725,2178
3759438412,8.021216671,27.895,13.676,17.136,19.792,10.008,17.094,1644.288,0.795,398.824,26.592,14.392,4.147,0,0,0,0,0,5721.544,1.412,0,292.828,13.404,159.194,16.917,148.265,11.279,5.601,27.062,276.096,32.434,5.365,834.944,29.839,16.888,22.668,-22.772,18.674,20.224,8.945,0,0,4.37,2.254,1.987,1.014,-0.136,0.004,0.004,19.829,17.706,18.805,20.253,20.539,20.346,18.58,17.759,17.943,20.128,20.068,20.28,17.468,16.417,16.455,18.841,20.042,3725,2178
3759438414,8.045600001,27.943,13.653,17.136,19.813,9.971,17.095,1644.384,0.83,398.8,26.585,14.394,4.165,0,0,0,0,0,5710.58,1.413,0,292.794,13.406,159.187,16.926,148.284,11.283,5.607,27.058,276.261,32.456,5.393,835.556,29.879,16.878,22.698,-22.772,18.682,20.21,8.927,0,0,4.37,2.303,1.991,0.866,-0.273,0.004,0.004,19.835,17.715,18.816,20.246,20.53,20.384,18.583,17.755,17.939,20.142,20.088,20.287,17.472,16.414,16.468,18.834,20.055,3725,2178
3759438415,8.070916669,27.924,13.659,17.137,19.828,9.989,17.095,1638.546,0.832,398.831,26.609,14.393,4.176,0,0,0,0,0,5710.934,1.394,0,292.822,13.413,159.2,16.928,148.314,11.29,5.602,27.079,276.343,32.468,5.382,835.732,29.87,16.856,22.692,-22.771,18.682,20.22,8.93,0,0,4.37,2.297,1.991,0.917,-0.238,0.004,0.004,19.825,17.708,18.8,20.265,20.527,20.398,18.559,17.759,17.941,20.133,20.055,20.302,17.467,16.425,16.454,18.839,20.046,3725,2178
3759438417,8.101533333,27.922,13.67,17.136,19.85,9.988,17.095,1640.571,0.823,398.804,26.602,14.393,4.172,0,0,0,0,0,5678.156,1.427,0,293.136,13.411,159.231,16.908,148.262,11.279,5.593,27.099,276.318,32.464,5.359,835.431,29.87,16.87,22.676,-22.773,18.688,20.212,8.933,0,0,4.373,2.297,1.994,0.957,-0.271,0.004,0.004,19.832,17.725,18.798,20.262,20.52,20.386,18.574,17.745,17.945,20.122,20.074,20.29,17.484,16.422,16.471,18.828,20.057,3725,2178
3759438419,8.137050001,27.918,13.661,17.136,19.818,9.997,17.095,1608.498,0.825,398.815,26.596,14.392,4.188,0,0,0,0,0,5736.451,1.404,0,293.177,13.396,159.223,16.923,148.227,11.271,5.615,27.085,276.335,32.466,5.375,835.68,29.873,16.904,22.693,-22.771,18.683,20.214,8.943,0,0,4.375,2.288,1.991,0.931,-0.202,0.004,0.004,19.822,17.727,18.772,20.259,20.53,20.38,18.566,17.744,17.931,20.119,20.061,20.275,17.481,16.412,16.464,18.839,20.058,3725,2178
3759438421,8.171166666,27.919,13.658,17.137,19.799,9.992,17.094,1602.652,0.789,398.797,26.592,14.393,4.207,0,0,0,0,0,5696.563,1.426,0,292.852,13.398,159.148,16.904,148.131,11.251,5.617,27.056,276.285,32.459,5.397,835.268,29.846,16.927,22.683,-22.772,18.711,20.217,8.966,0,0,4.371,2.245,1.985,0.917,-0.195,0.004,0.004,19.827,17.714,18.785,20.248,20.531,20.367,18.565,17.738,17.937,20.121,20.055,20.259,17.464,16.405,16.459,18.836,20.055,3725,2178
3759438423,8.201950002,27.924,13.689,17.137,19.812,10.001,17.095,1658.48,0.783,398.822,26.569,14.392,4.176,0,0,0,0,0,5733.747,1.396,0,292.699,13.393,159.159,16.934,148.145,11.254,5.643,27.067,276.22,32.451,5.378,835.942,29.872,16.888,22.695,-22.771,18.638,20.241,8.987,0,0,4.369,2.252,1.991,1.021,-0.183,0.004,0.004,19.827,17.701,18.775,20.25,20.555,20.363,18.56,17.748,17.947,20.125,20.074,20.259,17.474,16.409,16.461,18.841,20.051,3725,2178
3759438425,8.236733333,27.946,13.628,17.136,19.819,9.963,17.095,1660.85,0.846,398.798,26.584,14.392,4.341,0,0,0,0,0,5682.06,1.404,0,292.913,13.405,159.131,16.923,148.16,11.257,5.629,27.077,276.235,32.453,5.37,835.761,29.845,16.915,22.683,-22.772,18.669,20.227,8.97,0,0,4.372,2.311,1.986,0.778,-0.304,0.004,0.004,19.829,17.721,18.757,20.237,20.56,20.416,18.575,17.75,17.947,20.107,20.074,20.264,17.466,16.414,16.459,18.836,20.052,3725,2178
3759438427,8.265450001,27.914,13.641,17.137,19.83,9.995,17.095,1606.914,0.848,398.792,26.581,14.393,4.304,0,0,0,0,0,5695.588,1.403,0,292.845,13.387,159.194,16.902,148.265,11.279,5.587,27.078,276.384,32.473,5.389,835.815,29.876,16.902,22.72,-22.771,18.693,20.245,8.965,0,0,4.37,2.305,1.985,0.865,-0.225,0.004,0.004,19.835,17.714,18.781,20.254,20.537,20.408,18.577,17.744,17.937,20.124,20.056,20.259,17.465,16.412,16.452,18.835,20.04,3725,2178
3759438429,8.299316669,27.898,13.683,17.136,19.804,9.997,17.094,1637.054,0.788,398.823,26.598,14.392,4.32,0,0,0,0,0,5693.578,1.386,0,292.978,13.392,159.104,16.891,148.188,11.263,5.592,27.07,276.26,32.456,5.38,835.79,29.838,16.914,22.68,-22.772,18.641,20.212,8.948,0,0,4.372,2.257,1.985,1.036,-0.186,0.004,0.004,19.836,17.733,18.781,20.234,20.537,20.391,18.579,17.737,17.941,20.119,20.067,20.235,17.464,16.398,16.437,18.825,20.06,3725,2178
3759438431,8.327600002,27.926,13.655,17.137,19.814,9.962,17.095,1619.256,0.821,398.8,26.587,14.394,4.338,0,0,0,0,0,5663.936,1.391,0,292.642,13.394,159.128,16.94,148.182,11.262,5.642,27.071,276.309,32.463,5.386,835.507,29.863,16.906,22.679,-22.772,18.652,20.206,8.944,0,0,4.368,2.3,1.992,0.898,-0.302,0.004,0.004,19.841,17.742,18.794,20.237,20.562,20.411,18.579,17.744,17.938,20.112,20.071,20.256,17.465,16.407,16.46,18.825,20.053,3725,2178
3759438433,8.3613,27.915,13.669,17.136,19.837,9.985,16.979,1634.233,0.801,398.839,26.584,14.394,4.384,0,0,0,0,0,5672.713,1.426,0,293.097,13.406,159.137,16.937,148.233,11.273,5.628,27.064,276.334,32.466,5.396,834.95,29.871,16.902,22.707,-22.772,18.68,20.208,8.935,0,0,4.375,2.271,1.985,0.962,-0.264,0.004,0.004,19.846,17.748,18.778,20.245,20.528,20.384,18.575,17.739,17.94,20.1,20.057,20.238,17.465,16.416,16.455,18.829,20.059,3725,2178
3759438435,8.396016669,27.892,13.65,17.136,19.794,9.984,17.094,1598.536,0.818,398.829,26.61,14.392,4.268,0,0,0,0,0,5734.146,1.392,0,292.945,13.393,159.196,16.921,148.344,11.296,5.588,27.049,276.292,32.461,5.405,835.946,29.853,16.914,22.684,-22.771,18.629,20.217,8.921,0,0,4.372,2.28,1.989,0.928,-0.208,0.004,0.004,19.832,17.723,18.772,20.261,20.543,20.402,18.583,17.75,17.957,20.132,20.066,20.229,17.46,16.414,16.466,18.834,20.049,3725,2178
