Time elapsed (s),Time Elapsed(min),Tdb_in (C),Twb_in (C),RH_in,Tdb_out (C),Twb_out(C),RH_out(C),Q_dot_air_TriCoil (CFM),dP_nozzle_TriCoil (in W.G.),Pin_nozzle_TriCoil (in W.G),Outdoor Temp (C),Atm Pressure (PSI),Heater Output (kW),FMWP,FMEP,LBWP,LBEP,Steam Humidifier (%),Q_dot_air_wt (CFM),dP_nozzle (in W.G.),Pin_nozzle (PSIG),m_dot_r (kg/h),T_evap_in (C),P_evap_in_coolprop (PSI),T_evap_out (C),P_evap_out (PSIG),T_evap_sat (C),SH (K),T_exv_in (C),P_exv_in (PSIG),T_cond_sat (C),SC (K),m_dot_w (kg/h),T_w_in (C),P_w_in (PSIG),T_w_out (C),dp_w (in W.G.),Water Heater (% of total capacity),T_evap_out_TC (C),SH_TC (K),Water Reverse Flow,TriCoil Refr. Reverse Flow,Q_ref (tons),Q_air (tons),Q_w (tons),Inlet Air Dew Point (C),Outlet Air Dew Point (C),Inlet Air Humdity Ratio (kg/kg),Outlet Air Humidity Ratio (kg/kg),TriCoil Outlet (11),TriCoil Outlet (12),TriCoil Outlet (13),TriCoil Outlet (21),TriCoil Outlet (22),TriCoil Outlet (23),TriCoil Outlet (31),TriCoil Outlet (32),TriCoil Outlet (33),TriCoil Outlet (41),TriCoil Outlet (42),TriCoil Outlet (43),TriCoil Outlet (51),TriCoil Outlet (52),TriCoil Outlet (53) ,TriCoil Outlet (Avg),DB2_TC,,
3760110788,0,20.592,10.065,17.142,30.554,13.131,16.404,1731.332,0.856,400.87,23.414,14.469,0.066,0,1,0,0,0,5903.443,1.428,0,8.332,24.533,222.05,23.632,222.4,24.716,-1.125,24.477,222.41,24.602,0.119,833.862,40.868,17.377,30.201,-22.768,27.681,34.638,9.922,0,1,#NAME?,-2.017,2.951,-1.101,-5.257,0.004,0.002,29.982,31.316,32.093,33.894,34.588,34.811,29.403,29.868,29.575,33.694,34.473,34.536,28.802,29.383,28.828,31.664,29.129,0,0
3760110790,0.029216671,20.624,10.101,17.143,30.535,13.143,16.404,1727.914,0.878,400.909,23.447,14.469,0.039,0,1,0,0,0,5901.876,1.444,0,8.094,24.536,221.975,23.656,222.484,24.73,-1.115,24.462,222.422,24.604,0.136,834.533,40.89,17.316,30.202,-22.767,27.665,34.648,9.918,0,1,#NAME?,-2.025,2.959,-1.032,-5.165,0.004,0.002,29.992,31.319,32.087,33.895,34.602,34.807,29.393,29.867,29.572,33.688,34.466,34.542,28.803,29.402,28.852,31.671,29.13,0,0
3760110792,0.061783338,20.631,10.124,17.142,30.554,13.143,16.404,1750.083,0.875,400.925,23.423,14.467,0.025,0,1,0,0,0,5929.065,1.418,0,7.951,24.523,221.987,23.64,222.391,24.715,-1.117,24.47,222.488,24.615,0.138,833.769,40.855,17.367,30.18,-22.768,27.684,34.641,9.926,0,1,#NAME?,-2.006,2.953,-0.966,-5.196,0.004,0.002,29.974,31.308,32.067,33.885,34.578,34.788,29.39,29.849,29.573,33.689,34.463,34.518,28.781,29.375,28.836,31.665,29.132,0,0
3760110794,0.090499997,20.611,10.105,17.142,30.567,13.133,16.404,1745.884,0.9,400.877,23.444,14.468,0,0,1,0,0,0,4908.4,1.421,0,7.759,24.532,221.908,23.617,222.395,24.716,-1.14,24.44,222.492,24.615,0.169,833.684,40.86,17.325,30.19,-22.767,27.641,34.636,9.921,0,1,-0.001,-2.036,2.951,-0.998,-5.271,0.004,0.002,29.988,31.329,32.106,33.884,34.594,34.786,29.395,29.86,29.569,33.702,34.473,34.525,28.783,29.386,28.84,31.667,29.132,0,0
3760110795,0.120166667,20.597,10.088,17.142,30.555,13.139,16.404,1760.35,0.895,400.887,23.443,14.467,0.011,0,1,0,0,0,4914.546,1.454,0,7.996,24.525,221.967,23.645,222.375,24.712,-1.109,24.465,222.433,24.606,0.134,834.603,40.866,17.371,30.2,-22.768,27.639,34.633,9.92,0,1,#NAME?,-2.047,2.953,-1.035,-5.22,0.004,0.002,29.977,31.324,32.093,33.871,34.581,34.792,29.391,29.853,29.569,33.68,34.46,34.523,28.797,29.374,28.832,31.664,29.129,0,0
3760110797,0.143516668,20.613,10.123,17.142,30.567,13.13,16.404,1760.404,0.912,400.866,23.44,14.468,0.008,0,1,0,0,0,5946.768,1.443,0,7.814,24.521,221.924,23.646,222.379,24.713,-1.109,24.448,222.346,24.592,0.138,834.517,40.871,17.393,30.201,-22.768,27.639,34.625,9.912,0,1,#NAME?,-2.035,2.954,-0.945,-5.282,0.004,0.002,30,31.324,32.103,33.879,34.582,34.79,29.393,29.851,29.578,33.683,34.451,34.526,28.788,29.397,28.836,31.67,29.123,0,0
3760110799,0.181149999,20.588,10.103,17.143,30.532,13.148,16.404,1737.04,0.868,400.885,23.432,14.468,0,0,1,0,0,0,5946.968,1.419,0,8.08,24.524,221.896,23.623,222.38,24.713,-1.132,24.46,222.433,24.606,0.14,833.528,40.854,17.391,30.167,-22.768,27.65,34.627,9.914,0,1,#NAME?,-2.062,2.955,-0.976,-5.132,0.004,0.002,30.005,31.336,32.086,33.889,34.589,34.793,29.397,29.842,29.572,33.682,34.456,34.523,28.786,29.381,28.835,31.663,29.123,0,0
3760110801,0.214016668,20.624,10.086,17.142,30.552,13.118,16.404,1706.518,0.885,400.9,23.47,14.469,0,0,1,0,0,0,4911.364,1.434,0,8.18,24.52,221.915,23.632,222.401,24.717,-1.126,24.433,222.502,24.617,0.177,834.664,40.848,17.353,30.174,-22.768,27.683,34.622,9.905,0,1,-0.001,-2.023,2.955,-1.077,-5.318,0.004,0.002,29.989,31.329,32.089,33.882,34.582,34.795,29.41,29.858,29.563,33.691,34.448,34.528,28.78,29.376,28.835,31.659,29.128,0,0
3760110803,0.249699998,20.609,10.103,17.142,30.533,13.132,16.404,1732.695,0.85,400.925,23.454,14.469,0.03,0,1,0,0,0,5911.202,1.423,0,8.036,24.521,221.887,23.617,222.326,24.705,-1.129,24.447,222.531,24.621,0.168,834.583,40.863,17.379,30.177,-22.768,27.685,34.629,9.924,0,1,-0.001,-1.987,2.958,-1.005,-5.21,0.004,0.002,29.988,31.316,32.075,33.868,34.576,34.786,29.384,29.847,29.563,33.679,34.46,34.517,28.794,29.369,28.82,31.663,29.137,0,0
3760110805,0.282983335,20.626,10.113,17.142,30.566,13.141,16.404,1713.52,0.88,400.907,23.451,14.469,0.039,0,1,0,0,0,5891.629,1.431,0,7.875,24.513,221.897,23.621,222.416,24.719,-1.14,24.449,222.399,24.601,0.145,834.685,40.849,17.388,30.176,-22.769,27.648,34.636,9.916,0,1,-0.001,-2.017,2.955,-0.996,-5.234,0.004,0.002,29.988,31.327,32.075,33.88,34.574,34.781,29.382,29.849,29.56,33.683,34.455,34.521,28.795,29.375,28.82,31.667,29.122,0,0
3760110807,0.319133337,20.595,10.117,17.26,30.556,13.12,16.404,1730.798,0.858,400.925,23.44,14.469,0,0,1,0,0,0,5905.84,1.44,0,8.076,24.528,221.845,23.595,222.303,24.701,-1.147,24.427,222.44,24.607,0.174,834.499,40.841,17.357,30.182,-22.769,27.693,34.645,9.944,0,1,-0.001,-1.977,2.951,-0.939,-5.314,0.004,0.002,29.98,31.311,32.053,33.876,34.57,34.782,29.39,29.846,29.563,33.677,34.45,34.507,28.783,29.374,28.804,31.669,29.135,0,0
3760110809,0.349049997,20.632,10.112,17.143,30.537,13.138,16.404,1739.746,0.878,400.908,23.448,14.468,0.095,0,1,0,0,0,5922.198,1.44,0,8.127,24.527,221.941,23.622,222.404,24.717,-1.136,24.441,222.393,24.6,0.153,833.975,40.853,17.378,30.143,-22.768,27.635,34.628,9.911,0,1,-0.001,-2.014,2.963,-1.006,-5.189,0.004,0.002,29.99,31.318,32.081,33.859,34.583,34.773,29.384,29.863,29.567,33.68,34.46,34.519,28.792,29.374,28.825,31.662,29.122,0,0
3760110811,0.377016671,20.598,10.116,17.142,30.527,13.143,16.404,1711.857,0.888,400.893,23.429,14.467,0.074,0,1,0,0,0,5922.609,1.44,0,8.096,24.531,221.931,23.607,222.341,24.707,-1.142,24.45,222.52,24.62,0.164,834.534,40.825,17.397,30.171,-22.768,27.675,34.617,9.91,0,1,-0.001,-2.025,2.949,-0.947,-5.147,0.004,0.002,29.973,31.296,32.064,33.863,34.576,34.776,29.394,29.858,29.562,33.676,34.453,34.505,28.79,29.369,28.816,31.658,29.126,0,0
3760110812,0.4057,20.584,10.095,17.142,30.566,13.137,16.403,1734.613,0.856,400.868,23.452,14.467,0.09,0,1,0,0,0,5922.541,1.421,0,8.367,24.521,221.959,23.605,222.434,24.722,-1.158,24.435,222.498,24.616,0.175,834.561,40.836,17.356,30.175,-22.768,27.623,34.641,9.919,0,1,-0.001,-2.002,2.951,-0.992,-5.248,0.004,0.002,29.979,31.304,32.07,33.869,34.581,34.772,29.39,29.855,29.558,33.674,34.448,34.51,28.796,29.377,28.82,31.666,29.118,0,0
3760110814,0.434916671,20.636,10.08,17.143,30.567,13.114,16.402,1734.144,0.882,400.87,23.461,14.468,0.103,0,1,0,0,0,4914.587,1.424,0,8.254,24.526,221.894,23.612,222.325,24.705,-1.134,24.43,222.368,24.596,0.159,834.603,40.858,17.386,30.156,-22.768,27.621,34.629,9.925,0,1,-0.001,-2.021,2.963,-1.113,-5.361,0.004,0.002,29.978,31.302,32.076,33.883,34.577,34.775,29.38,29.858,29.559,33.675,34.445,34.506,28.782,29.365,28.8,31.661,29.119,0,0
3760110816,0.464233335,20.603,10.123,17.143,30.562,13.139,16.404,1707.414,0.882,400.894,23.42,14.468,0.235,0,1,0,0,0,5893.989,1.429,0,8.48,24.506,221.928,23.602,222.316,24.703,-1.143,24.436,222.509,24.618,0.176,834.594,40.848,17.388,30.192,-22.768,27.678,34.624,9.921,0,1,-0.001,-2.011,2.95,-0.932,-5.232,0.004,0.002,29.995,31.309,32.093,33.872,34.575,34.777,29.371,29.856,29.579,33.677,34.437,34.517,28.789,29.371,28.828,31.659,29.121,0,0
3760110818,0.496916668,20.615,10.098,17.142,30.546,13.141,16.405,1747.29,0.851,400.893,23.436,14.469,0.117,0,1,0,0,0,5902.833,1.429,0,8.693,24.533,221.799,23.623,222.496,24.732,-1.15,24.436,222.277,24.581,0.139,834.644,40.837,17.396,30.175,-22.768,27.651,34.635,9.903,0,1,#NAME?,-1.998,2.952,-1.03,-5.193,0.004,0.002,29.981,31.315,32.059,33.872,34.576,34.793,29.364,29.85,29.562,33.671,34.439,34.506,28.79,29.356,28.808,31.663,29.118,0,0
3760110820,0.531333335,20.595,10.071,17.142,30.547,13.126,16.404,1729.424,0.897,400.925,23.434,14.468,0.136,0,1,0,0,0,5902.713,1.419,0,8.731,24.531,221.969,23.632,222.373,24.712,-1.121,24.436,222.502,24.617,0.175,834.25,40.837,17.384,30.165,-22.768,27.741,34.638,9.926,0,1,-0.001,-2.051,2.953,-1.084,-5.268,0.004,0.002,29.971,31.309,32.066,33.859,34.571,34.774,29.376,29.846,29.57,33.668,34.434,34.5,28.776,29.357,28.814,31.661,29.119,0,0
3760110821,0.55401667,20.621,10.098,17.141,30.565,13.12,16.404,1729.512,0.876,400.895,23.416,14.467,0.102,0,1,0,0,0,4910.45,1.461,0,8.701,24.526,221.955,23.628,222.419,24.72,-1.133,24.436,222.378,24.597,0.155,834.542,40.873,17.368,30.161,-22.768,27.71,34.631,9.912,0,1,-0.001,-2.008,2.966,-1.033,-5.329,0.004,0.002,29.968,31.324,32.086,33.866,34.569,34.775,29.368,29.847,29.562,33.674,34.441,34.498,28.782,29.365,28.82,31.662,29.11,0,0
3760110823,0.583650001,20.592,10.116,17.143,30.524,13.135,16.403,1732.129,0.832,400.868,23.405,14.468,0.065,0,1,0,0,0,4910.628,1.416,0,8.737,24.531,221.93,23.605,222.4,24.716,-1.152,24.453,222.402,24.601,0.142,834.456,40.862,17.336,30.196,-22.768,27.692,34.612,9.896,0,1,#NAME?,-2.007,2.953,-0.937,-5.177,0.004,0.002,29.962,31.317,32.076,33.882,34.582,34.778,29.381,29.86,29.567,33.69,34.447,34.509,28.772,29.362,28.819,31.652,29.122,0,0
3760110825,0.612316664,20.602,10.132,17.143,30.532,13.152,16.404,1735.901,0.879,400.881,23.435,14.468,0.081,0,1,0,0,0,4904.925,1.421,0,8.447,24.537,221.96,23.631,222.387,24.714,-1.125,24.431,222.394,24.6,0.163,834.51,40.832,17.385,30.162,-22.768,27.766,34.631,9.916,0,1,-0.001,-2.012,2.953,-0.903,-5.114,0.004,0.003,29.977,31.311,32.08,33.876,34.589,34.782,29.38,29.859,29.569,33.674,34.457,34.501,28.782,29.364,28.827,31.664,29.128,0,0
3760110827,0.640300004,20.6,10.063,17.142,30.568,13.116,16.404,1725.497,0.884,400.887,23.438,14.467,0.041,0,1,0,0,0,4914.502,1.435,0,9.068,24.529,221.995,23.611,222.387,24.714,-1.145,24.422,222.446,24.608,0.179,834.33,40.835,17.36,30.167,-22.768,27.736,34.64,9.926,0,1,-0.001,-2.035,2.952,-1.115,-5.353,0.004,0.002,29.985,31.308,32.068,33.856,34.576,34.772,29.37,29.841,29.555,33.653,34.44,34.507,28.79,29.383,28.831,31.663,29.143,0,0
3760110829,0.67335,20.608,10.129,17.142,30.55,13.142,16.404,1734.627,0.872,400.855,23.43,14.466,0.003,0,1,0,0,0,5915.225,1.436,0,9.059,24.523,221.95,23.624,222.438,24.722,-1.139,24.436,222.455,24.609,0.167,833.713,40.88,17.347,30.179,-22.769,27.736,34.646,9.924,0,1,-0.001,-1.999,2.959,-0.918,-5.191,0.004,0.002,29.979,31.316,32.063,33.872,34.565,34.77,29.371,29.843,29.551,33.667,34.429,34.495,28.771,29.361,28.813,31.673,29.124,0,0
3760110830,0.696849998,20.626,10.081,17.143,30.554,13.127,16.404,1699.765,0.882,400.836,23.45,14.467,0.051,0,1,0,0,0,5915.498,1.446,0,9.019,24.527,221.913,23.601,222.444,24.723,-1.164,24.439,222.508,24.617,0.172,834.095,40.86,17.371,30.173,-22.769,27.714,34.63,9.907,0,1,-0.001,-2.03,2.957,-1.096,-5.271,0.004,0.002,29.98,31.313,32.079,33.869,34.57,34.773,29.378,29.848,29.573,33.682,34.453,34.508,28.783,29.375,28.812,31.662,29.126,0,0
3760110832,0.724566666,20.61,10.07,17.143,30.558,13.118,16.404,1712.019,0.842,400.862,23.426,14.469,0.041,0,1,0,0,0,5933.372,1.442,0,8.986,24.52,221.934,23.633,222.41,24.718,-1.127,24.451,222.251,24.577,0.12,834.638,40.856,17.386,30.18,-22.768,27.74,34.64,9.922,0,1,#NAME?,-1.99,2.956,-1.109,-5.326,0.004,0.002,29.968,31.305,32.08,33.861,34.573,34.763,29.375,29.852,29.56,33.66,34.441,34.507,28.786,29.37,28.813,31.662,29.131,0,0
3760110833,0.753516666,20.593,10.106,17.143,30.558,13.145,16.403,1721.699,0.856,400.908,23.449,14.466,0,0,1,0,0,0,5926.681,1.463,0,8.95,24.515,221.889,23.618,222.403,24.717,-1.141,24.435,222.44,24.607,0.166,834.431,40.866,17.37,30.164,-22.768,27.74,34.628,9.911,0,1,-0.001,-2,2.962,-0.968,-5.191,0.004,0.002,29.973,31.304,32.077,33.863,34.563,34.763,29.381,29.845,29.563,33.667,34.436,34.502,28.777,29.366,28.809,31.659,29.121,0,0
3760110835,0.78695,20.579,10.104,17.142,30.549,13.122,16.405,1736.144,0.867,400.843,23.463,14.467,0,0,1,0,0,0,5963.121,1.431,0,8.813,24.52,221.858,23.627,222.356,24.709,-1.124,24.443,222.435,24.606,0.156,833.676,40.843,17.413,30.156,-22.769,27.739,34.635,9.926,0,1,-0.001,-1.997,2.955,-0.959,-5.287,0.004,0.002,29.975,31.301,32.058,33.875,34.574,34.774,29.384,29.85,29.561,33.683,34.447,34.501,28.778,29.364,28.816,31.663,29.114,0,0
