Time elapsed (s),Time Elapsed(min),Tdb_in (C),Twb_in (C),RH_in,Tdb_out (C),Twb_out(C),RH_out(C),Q_dot_air_TriCoil (CFM),dP_nozzle_TriCoil (in W.G.),Pin_nozzle_TriCoil (in W.G),Outdoor Temp (C),Atm Pressure (PSI),Heater Output (kW),FMWP,FMEP,LBWP,LBEP,Steam Humidifier (%),Q_dot_air_wt (CFM),dP_nozzle (in W.G.),Pin_nozzle (PSIG),m_dot_r (kg/h),T_evap_in (C),P_evap_in_coolprop (PSI),T_evap_out (C),P_evap_out (PSIG),T_evap_sat (C),SH (K),T_exv_in (C),P_exv_in (PSIG),T_cond_sat (C),SC (K),m_dot_w (kg/h),T_w_in (C),P_w_in (PSIG),T_w_out (C),dp_w (in W.G.),Water Heater (% of total capacity),T_evap_out_TC (C),SH_TC (K),Water Reverse Flow,TriCoil Refr. Reverse Flow,Q_ref (tons),Q_air (tons),Q_w (tons),Inlet Air Dew Point (C),Outlet Air Dew Point (C),Inlet Air Humdity Ratio (kg/kg),Outlet Air Humidity Ratio (kg/kg),TriCoil Outlet (11),TriCoil Outlet (12),TriCoil Outlet (13),TriCoil Outlet (21),TriCoil Outlet (22),TriCoil Outlet (23),TriCoil Outlet (31),TriCoil Outlet (32),TriCoil Outlet (33),TriCoil Outlet (41),TriCoil Outlet (42),TriCoil Outlet (43),TriCoil Outlet (51),TriCoil Outlet (52),TriCoil Outlet (53) ,TriCoil Outlet (Avg),DB2_TC,,
3760115589,0,22.593,11.036,15.735,30.056,13.051,15.01,1755.604,0.871,400.219,23.378,14.444,3.695,0,1,0,0,0,5902.239,1.424,0,7.147,25.095,225.54,23.566,220.742,24.45,-0.925,24.033,220.86,24.353,0.314,834.905,37.873,17.259,29.82,-22.767,21.338,33.163,8.714,0,1,0,-1.34,2.23,-0.725,-4.653,0.004,0.003,29.687,30.67,31.22,32.581,33.092,33.242,29.227,29.559,29.339,32.386,32.942,32.984,28.634,29.108,28.693,30.909,28.986,0,0
3760115591,0.035416667,22.573,11.021,15.734,30.057,13.051,15.01,1732.646,0.908,400.219,23.393,14.444,3.714,0,1,0,0,0,5890.781,1.43,0,7.482,25.108,225.571,23.56,220.726,24.447,-0.929,24.05,220.934,24.365,0.309,834.803,37.886,17.23,29.804,-22.768,21.366,33.174,8.727,0,1,0,-1.375,2.238,-0.746,-4.657,0.004,0.003,29.708,30.691,31.244,32.586,33.08,33.247,29.228,29.56,29.33,32.387,32.935,33.01,28.659,29.121,28.712,30.918,28.986,0,0
3760115593,0.070783337,22.591,11.039,15.734,30.076,13.036,15.01,1698.337,0.881,400.228,23.347,14.443,3.656,0,1,0,0,0,5900.455,1.424,0,7.106,25.121,225.649,23.622,220.704,24.444,-0.863,24.031,220.837,24.349,0.312,834.699,37.875,17.322,29.807,-22.767,21.33,33.176,8.732,0,1,0,-1.334,2.234,-0.713,-4.758,0.004,0.003,29.697,30.678,31.242,32.591,33.081,33.241,29.231,29.57,29.342,32.39,32.945,33.008,28.643,29.122,28.705,30.916,28.986,0,0
3760115595,0.10055,22.581,11.028,15.734,30.051,13.058,15.01,1706.226,0.842,400.203,23.372,14.443,3.65,0,1,0,0,0,5891.123,1.436,0,7.635,25.103,225.734,23.586,220.675,24.439,-0.894,24.015,220.978,24.372,0.35,834.57,37.878,17.32,29.823,-22.767,21.328,33.173,8.734,0,1,0,-1.33,2.23,-0.733,-4.612,0.004,0.003,29.696,30.682,31.238,32.596,33.098,33.256,29.232,29.577,29.336,32.396,32.941,32.993,28.651,29.108,28.69,30.922,28.986,0,0
3760115597,0.129550004,22.585,11.025,15.735,30.045,13.063,15.009,1766.344,0.851,400.213,23.363,14.442,3.557,0,1,0,0,0,5911.767,1.427,0,7.587,25.113,225.617,23.573,220.618,24.43,-0.899,24.005,220.908,24.36,0.349,834.955,37.912,17.313,29.817,-22.768,21.326,33.163,8.733,0,1,0,-1.342,2.242,-0.747,-4.576,0.004,0.003,29.697,30.694,31.241,32.597,33.094,33.265,29.233,29.562,29.346,32.394,32.952,33,28.646,29.116,28.705,30.924,28.999,0,0
3760115599,0.165400004,22.614,11.084,15.735,30.053,13.056,15.01,1743.106,0.92,400.189,23.374,14.443,3.583,0,1,0,0,0,5895.658,1.441,0,7.541,25.118,225.682,23.584,220.601,24.427,-0.884,24.027,220.902,24.359,0.326,835.205,37.893,17.323,29.82,-22.768,21.342,33.177,8.75,0,1,0,-1.344,2.237,-0.6,-4.625,0.004,0.003,29.702,30.686,31.249,32.591,33.098,33.265,29.236,29.566,29.333,32.403,32.955,33.024,28.653,29.112,28.701,30.935,28.992,0,0
3760115601,0.196166666,22.612,11.072,15.618,30.049,13.065,15.124,1703.89,0.893,400.212,23.383,14.442,3.599,0,1,0,0,0,5919.778,1.415,0,7.142,25.106,225.716,23.575,220.737,24.449,-0.915,24.002,220.93,24.364,0.356,835.24,37.869,17.318,29.816,-22.767,21.371,33.159,8.71,0,1,0,-1.341,2.231,-0.635,-4.577,0.004,0.003,29.708,30.686,31.26,32.591,33.097,33.256,29.221,29.565,29.345,32.409,32.962,33.017,28.643,29.113,28.7,30.922,28.991,0,0
3760115602,0.225183336,22.619,11.058,15.734,30.06,13.058,15.011,1726.436,0.848,400.189,23.376,14.443,3.589,0,1,0,0,0,4902.864,1.438,0,7.471,25.119,225.636,23.57,220.629,24.432,-0.903,24.038,220.934,24.364,0.32,834.668,37.875,17.32,29.816,-22.767,21.325,33.161,8.73,0,1,0,-1.315,2.231,-0.689,-4.63,0.004,0.003,29.7,30.686,31.243,32.603,33.108,33.269,29.229,29.566,29.339,32.395,32.951,33.015,28.645,29.116,28.695,30.926,28.999,0,0
3760115604,0.253883338,22.626,11.08,15.735,30.048,13.058,15.01,1727.847,0.874,400.211,23.372,14.443,3.646,0,1,0,0,0,5914.524,1.417,0,7.416,25.114,225.725,23.588,220.708,24.444,-0.898,24.051,220.987,24.373,0.316,835.511,37.853,17.307,29.832,-22.768,21.278,33.176,8.732,0,1,0,-1.318,2.223,-0.63,-4.608,0.004,0.003,29.702,30.682,31.25,32.599,33.102,33.268,29.235,29.564,29.351,32.412,32.963,33.023,28.642,29.098,28.688,30.929,28.986,0,0
3760115606,0.283200002,22.587,11.072,15.734,30.039,13.065,15.01,1694.773,0.876,400.21,23.365,14.443,3.632,0,1,0,0,0,5877.826,1.429,0,7.236,25.13,225.693,23.563,220.677,24.439,-0.918,24.008,220.915,24.362,0.348,834.862,37.854,17.32,29.847,-22.767,21.322,33.163,8.723,0,1,0,-1.329,2.217,-0.602,-4.56,0.004,0.003,29.699,30.694,31.246,32.608,33.121,33.273,29.227,29.575,29.341,32.407,32.977,33.027,28.646,29.102,28.693,30.922,28.99,0,0
3760115608,0.3205,22.569,11.04,15.734,30.052,13.057,15.009,1717.746,0.838,400.212,23.383,14.444,3.613,0,1,0,0,0,5899.542,1.402,0,7.675,25.122,225.793,23.604,220.709,24.445,-0.882,24.021,220.849,24.351,0.324,835.57,37.841,17.259,29.816,-22.767,21.351,33.172,8.728,0,1,0,-1.319,2.224,-0.681,-4.62,0.004,0.003,29.7,30.694,31.236,32.618,33.125,33.27,29.224,29.559,29.339,32.406,32.979,33.024,28.645,29.113,28.696,30.926,29.002,0,0
