Time elapsed (s),Time Elapsed(min),Tdb_in (C),Twb_in (C),RH_in,Tdb_out (C),Twb_out(C),RH_out(C),Q_dot_air_TriCoil (CFM),dP_nozzle_TriCoil (in W.G.),Pin_nozzle_TriCoil (in W.G),Outdoor Temp (C),Atm Pressure (PSI),Heater Output (kW),FMWP,FMEP,LBWP,LBEP,Steam Humidifier (%),Q_dot_air_wt (CFM),dP_nozzle (in W.G.),Pin_nozzle (PSIG),m_dot_r (kg/h),T_evap_in (C),P_evap_in_coolprop (PSI),T_evap_out (C),P_evap_out (PSIG),T_evap_sat (C),SH (K),T_exv_in (C),P_exv_in (PSIG),T_cond_sat (C),SC (K),m_dot_w (kg/h),T_w_in (C),P_w_in (PSIG),T_w_out (C),dp_w (in W.G.),Water Heater (% of total capacity),T_evap_out_TC (C),SH_TC (K),Water Reverse Flow,TriCoil Refr. Reverse Flow,Q_ref (tons),Q_air (tons),Q_w (tons),Inlet Air Dew Point (C),Outlet Air Dew Point (C),Inlet Air Humdity Ratio (kg/kg),Outlet Air Humidity Ratio (kg/kg),TriCoil Outlet (11),TriCoil Outlet (12),TriCoil Outlet (13),TriCoil Outlet (21),TriCoil Outlet (22),TriCoil Outlet (23),TriCoil Outlet (31),TriCoil Outlet (32),TriCoil Outlet (33),TriCoil Outlet (41),TriCoil Outlet (42),TriCoil Outlet (43),TriCoil Outlet (51),TriCoil Outlet (52),TriCoil Outlet (53) ,TriCoil Outlet (Avg),DB2_TC,,
3760113189,0,22.641,11.061,15.5,31.559,13.604,15.009,1717.365,0.854,400.333,23.366,14.446,2.712,0,1,0,0,0,4925.296,1.43,0,14.146,24.497,221.839,23.84,221.687,24.6,-0.802,24.228,221.937,24.524,0.29,833.308,40.891,17.505,31.236,-22.769,25.112,35.29,10.69,0,1,-0.001,-1.696,2.669,-0.712,-4.821,0.004,0.003,31.114,32.322,32.974,34.603,35.226,35.412,30.58,31.002,30.728,34.39,35.082,35.148,29.932,30.501,29.995,32.613,30.285,0,0
3760113190,0.02943333,22.607,11.038,15.5,31.565,13.597,15.01,1735.395,0.856,400.298,23.391,14.447,2.738,0,1,0,0,0,4942.137,1.406,0,14.461,24.502,221.765,23.845,221.588,24.585,-0.781,24.199,221.927,24.522,0.318,832.528,40.811,17.506,31.261,-22.769,25.098,35.291,10.706,0,1,-0.001,-1.714,2.638,-0.74,-4.867,0.004,0.003,31.122,32.327,32.995,34.595,35.219,35.42,30.584,31.007,30.732,34.393,35.074,35.158,29.934,30.508,30.002,32.617,30.276,0,0
3760113192,0.059449999,22.61,11.039,15.617,31.581,13.592,15.01,1733.148,0.876,400.315,23.373,14.448,2.696,0,1,0,0,0,4900.609,1.419,0,13.855,24.504,221.797,23.847,221.703,24.603,-0.797,24.19,221.983,24.531,0.335,833.357,40.831,17.546,31.259,-22.768,25.11,35.285,10.682,0,1,-0.001,-1.729,2.646,-0.744,-4.921,0.004,0.003,31.13,32.321,32.998,34.611,35.245,35.413,30.59,31.015,30.737,34.399,35.093,35.146,29.936,30.504,30,32.609,30.293,0,0
3760113194,0.089366666,22.584,11.048,15.616,31.569,13.616,15.01,1762.096,0.874,400.348,23.388,14.447,2.673,0,1,0,0,0,4923.533,1.443,0,14.042,24.501,221.81,23.835,221.621,24.59,-0.797,24.199,221.953,24.527,0.322,833.365,40.866,17.537,31.243,-22.771,25.08,35.292,10.702,0,1,-0.001,-1.737,2.66,-0.679,-4.785,0.004,0.003,31.145,32.334,32.998,34.612,35.234,35.415,30.593,31.01,30.724,34.41,35.093,35.158,29.941,30.506,30.008,32.615,30.297,0,0
3760113196,0.125666666,22.623,11.041,15.617,31.583,13.602,15.01,1710.697,0.907,400.321,23.399,14.448,2.702,0,1,0,0,0,4963.118,1.42,0,14.254,24.509,221.791,23.842,221.635,24.592,-0.792,24.223,221.884,24.516,0.286,833.403,40.877,17.503,31.237,-22.769,25.081,35.296,10.704,0,1,-0.001,-1.76,2.665,-0.752,-4.879,0.004,0.003,31.131,32.319,32.988,34.611,35.247,35.428,30.593,31.004,30.738,34.411,35.107,35.148,29.918,30.49,29.984,32.616,30.294,0,0
3760113198,0.161366661,22.613,11.04,15.617,31.583,13.597,15.01,1730.811,0.848,400.338,23.375,14.447,2.757,0,1,0,0,0,4924.082,1.42,0,14.048,24.496,221.84,23.877,221.665,24.597,-0.762,24.183,221.917,24.521,0.332,834.076,40.877,17.58,31.237,-22.769,25.1,35.29,10.693,0,1,-0.001,-1.707,2.667,-0.742,-4.898,0.004,0.003,31.132,32.321,32.985,34.615,35.246,35.429,30.592,31.019,30.728,34.413,35.103,35.162,29.917,30.499,30.001,32.609,30.294,0,0
3760113200,0.190949996,22.609,11.051,15.5,31.566,13.608,15.01,1721.069,0.871,400.315,23.389,14.447,2.707,0,1,0,0,0,4924.393,1.43,0,13.895,24.502,221.756,23.838,221.639,24.593,-0.797,24.213,221.824,24.506,0.287,834.103,40.888,17.581,31.248,-22.769,25.095,35.306,10.714,0,1,-0.001,-1.727,2.667,-0.703,-4.817,0.004,0.003,31.149,32.339,32.994,34.615,35.238,35.418,30.587,31.006,30.733,34.409,35.095,35.171,29.942,30.525,30.005,32.62,30.298,0,0
3760113202,0.226399994,22.613,11.048,15.5,31.572,13.611,15.01,1724.147,0.86,400.309,23.376,14.447,2.63,0,1,0,0,0,4942.374,1.414,0,14.011,24.512,221.797,23.86,221.677,24.599,-0.78,24.184,221.878,24.515,0.324,834.085,40.858,17.563,31.255,-22.768,25.1,35.301,10.702,0,1,-0.001,-1.722,2.657,-0.717,-4.809,0.004,0.003,31.143,32.343,32.988,34.633,35.244,35.432,30.601,31.007,30.739,34.43,35.106,35.173,29.94,30.516,30.003,32.613,30.28,0,0
3760113204,0.256966662,22.619,11.043,15.617,31.579,13.608,15.01,1746.712,0.863,400.308,23.371,14.447,2.724,0,1,0,0,0,4913.732,1.413,0,13.853,24.494,221.862,23.853,221.708,24.604,-0.792,24.214,221.888,24.516,0.297,833.29,40.839,17.513,31.236,-22.769,25.121,35.287,10.683,0,1,-0.001,-1.726,2.654,-0.742,-4.841,0.004,0.003,31.133,32.338,33.01,34.624,35.246,35.428,30.592,31.015,30.745,34.417,35.108,35.166,29.934,30.529,30.008,32.614,30.291,0,0
3760113206,0.286199999,22.611,11.039,15.617,31.56,13.611,15.01,1717.093,0.889,400.315,23.381,14.45,2.666,0,1,0,0,0,4913.414,1.433,0,14.241,24.501,221.747,23.849,221.773,24.614,-0.806,24.199,221.981,24.531,0.326,833.481,40.886,17.539,31.235,-22.768,25.112,35.294,10.68,0,1,-0.001,-1.754,2.668,-0.746,-4.794,0.004,0.003,31.133,32.325,32.992,34.622,35.26,35.427,30.59,31.016,30.735,34.412,35.104,35.154,29.929,30.5,29.998,32.619,30.299,0,0
