Time elapsed (s),Time Elapsed(min),Tdb_in (C),Twb_in (C),RH_in,Tdb_out (C),Twb_out(C),RH_out(C),Q_dot_air_TriCoil (CFM),dP_nozzle_TriCoil (in W.G.),Pin_nozzle_TriCoil (in W.G),Outdoor Temp (C),Atm Pressure (PSI),Heater Output (kW),FMWP,FMEP,LBWP,LBEP,Steam Humidifier (%),Q_dot_air_wt (CFM),dP_nozzle (in W.G.),Pin_nozzle (PSIG),m_dot_r (kg/h),T_evap_in (C),P_evap_in_coolprop (PSI),T_evap_out (C),P_evap_out (PSIG),T_evap_sat (C),SH (K),T_exv_in (C),P_exv_in (PSIG),T_cond_sat (C),SC (K),m_dot_w (kg/h),T_w_in (C),P_w_in (PSIG),T_w_out (C),dp_w (in W.G.),Water Heater (% of total capacity),T_evap_out_TC (C),SH_TC (K),Water Reverse Flow,TriCoil Refr. Reverse Flow,Q_ref (tons),Q_air (tons),Q_w (tons),Inlet Air Dew Point (C),Outlet Air Dew Point (C),Inlet Air Humdity Ratio (kg/kg),Outlet Air Humidity Ratio (kg/kg),TriCoil Outlet (11),TriCoil Outlet (12),TriCoil Outlet (13),TriCoil Outlet (21),TriCoil Outlet (22),TriCoil Outlet (23),TriCoil Outlet (31),TriCoil Outlet (32),TriCoil Outlet (33),TriCoil Outlet (41),TriCoil Outlet (42),TriCoil Outlet (43),TriCoil Outlet (51),TriCoil Outlet (52),TriCoil Outlet (53) ,TriCoil Outlet (Avg),DB2_TC,,
3760108689,0,20.451,10.116,17.376,28.873,12.517,16.52,1719.602,0.909,401.215,23.67,14.481,1.277,0,1,0,0,0,5905.972,1.436,0,43.864,24.666,222.9,24.249,223.809,24.941,-0.733,24.559,223.631,24.797,0.231,835.794,37.848,17.032,28.641,-22.767,24.301,32.415,7.475,0,0,-0.002,-1.596,2.553,-0.762,-5.023,0.004,0.003,28.438,29.556,30.207,31.755,32.348,32.523,27.95,28.299,28.054,31.564,32.203,32.299,27.297,27.849,27.203,29.854,27.702,0,0
3760108691,0.033049997,20.431,10.131,17.377,28.896,12.514,16.404,1722.009,0.875,401.264,23.628,14.48,1.176,0,1,0,0,0,5882.276,1.424,0,42.199,24.673,222.802,24.246,223.856,24.948,-0.744,24.521,223.645,24.799,0.272,835.905,37.935,17.024,28.664,-22.767,24.254,32.418,7.47,0,0,-0.002,-1.556,2.571,-0.685,-5.079,0.004,0.003,28.428,29.562,30.205,31.774,32.385,32.537,27.971,28.32,28.074,31.573,32.234,32.31,27.297,27.842,27.212,29.858,27.71,0,0
3760108692,0.061316665,20.453,10.175,17.494,28.888,12.542,16.52,1690.458,0.878,401.219,23.637,14.48,1.228,0,1,0,0,0,5860.818,1.446,0,40.699,24.678,222.842,24.219,223.784,24.937,-0.76,24.537,223.725,24.812,0.268,835.928,37.908,17.082,28.661,-22.767,24.257,32.437,7.501,0,0,-0.002,-1.55,2.564,-0.581,-4.934,0.004,0.003,28.44,29.569,30.212,31.774,32.354,32.529,27.958,28.309,28.055,31.56,32.22,32.313,27.31,27.849,27.219,29.865,27.687,0,0
3760108694,0.090433335,20.462,10.186,17.495,28.864,12.53,16.521,1719.02,0.842,401.228,23.647,14.48,1.187,0,1,0,0,0,5900.757,1.463,0,46.319,24.663,222.875,24.232,223.85,24.947,-0.757,24.529,223.612,24.794,0.259,836.277,37.917,17.038,28.667,-22.767,24.277,32.415,7.468,0,0,-0.002,-1.507,2.566,-0.559,-4.942,0.004,0.003,28.434,29.562,30.201,31.76,32.367,32.537,27.965,28.308,28.058,31.576,32.226,32.307,27.299,27.844,27.211,29.858,27.708,0,0
3760108696,0.120183333,20.453,10.141,17.377,28.884,12.533,16.52,1700.756,0.875,401.231,23.645,14.481,1.208,0,1,0,0,0,5929.607,1.424,0,45.976,24.667,222.783,24.232,223.762,24.933,-0.743,24.546,223.677,24.804,0.252,835.929,37.917,17.087,28.645,-22.768,24.277,32.451,7.518,0,0,-0.002,-1.563,2.571,-0.686,-4.969,0.004,0.003,28.421,29.548,30.198,31.756,32.374,32.529,27.975,28.312,28.057,31.568,32.215,32.31,27.298,27.83,27.194,29.872,27.706,0,0
3760108697,0.143700004,20.446,10.151,17.377,28.912,12.508,16.52,1700.888,0.854,401.242,23.652,14.48,1.157,0,1,0,0,0,5861.46,1.443,0,45.814,24.673,222.806,24.241,223.838,24.945,-0.746,24.547,223.648,24.799,0.246,835.857,37.948,17.062,28.661,-22.767,24.248,32.441,7.496,0,0,-0.002,-1.523,2.575,-0.646,-5.134,0.004,0.002,28.428,29.552,30.212,31.747,32.36,32.52,27.951,28.295,28.049,31.551,32.205,32.301,27.291,27.836,27.2,29.863,27.711,0,0
3760108699,0.178099998,20.462,10.172,17.376,28.903,12.518,16.52,1728.084,0.891,401.226,23.627,14.48,1.143,0,1,0,0,0,5861.948,1.438,0,43.747,24.68,222.848,24.251,223.853,24.948,-0.739,24.508,223.659,24.801,0.287,836.531,37.941,17.039,28.645,-22.767,24.24,32.447,7.5,0,0,-0.002,-1.516,2.579,-0.602,-5.073,0.004,0.003,28.435,29.558,30.206,31.767,32.376,32.549,27.981,28.314,28.054,31.57,32.224,32.308,27.297,27.836,27.215,29.874,27.701,0,0
3760108701,0.211833334,20.471,10.163,17.494,28.898,12.535,16.519,1720.085,0.885,401.217,23.634,14.479,1.214,0,1,0,0,0,5885.769,1.428,0,40.667,24.688,222.891,24.216,223.864,24.949,-0.775,24.557,223.618,24.795,0.232,836.885,37.925,17.037,28.681,-22.767,24.236,32.45,7.501,0,0,-0.002,-1.558,2.566,-0.641,-4.984,0.004,0.003,28.438,29.554,30.205,31.766,32.377,32.543,27.973,28.302,28.053,31.568,32.22,32.31,27.318,27.837,27.206,29.872,27.711,0,0
3760108703,0.235016664,20.442,10.154,17.492,28.871,12.541,16.519,1719.955,0.876,401.2,23.62,14.481,1.278,0,1,0,0,0,5868.777,1.438,0,38.811,24.676,222.944,24.241,223.888,24.953,-0.754,24.557,223.671,24.803,0.239,835.86,37.945,17.046,28.668,-22.769,24.191,32.46,7.507,0,0,-0.002,-1.561,2.572,-0.632,-4.908,0.004,0.003,28.43,29.566,30.219,31.781,32.39,32.551,27.985,28.322,28.064,31.58,32.239,32.315,27.314,27.84,27.213,29.885,27.698,0,0
3760108704,0.262550004,20.463,10.132,17.494,28.904,12.518,16.52,1714.155,0.852,401.265,23.653,14.481,1.21,0,1,0,0,0,5868.302,1.448,0,37.086,24.687,222.866,24.239,223.793,24.938,-0.741,24.56,223.663,24.802,0.236,835.975,37.909,17.055,28.665,-22.767,24.223,32.449,7.51,0,0,-0.002,-1.559,2.564,-0.727,-5.075,0.004,0.003,28.456,29.576,30.224,31.776,32.382,32.552,27.99,28.311,28.064,31.58,32.218,32.337,27.327,27.858,27.24,29.876,27.706,0,0
