Time elapsed (s),Time elapsed (min),Tdb_in (C),Twb_in (C),RH_in,Tdb_out (C),Twb_out(C),RH_out(C),Q_dot_air_TriCoil (CFM),dP_nozzle_TriCoil (in W.G.),Pin_nozzle_TriCoil (in W.G),Outdoor Temp (C),Atm Pressure (PSI),Heater Output (kW),FMWP,FMEP,LBWP,LBEP,Steam Humidifier (%),Q_dot_air_wt (CFM),dP_nozzle (in W.G.),Pin_nozzle (PSIG),m_dot_r (kg/h),T_evap_in (C),P_evap_in_coolprop (PSI),T_evap_out (C),P_evap_out (PSIG),T_evap_sat (C),SH (K),T_exv_in (C),P_exv_in (PSIG),T_cond_sat (C),SC (K),m_dot_w (kg/h),T_w_in (C),P_w_in (PSIG),T_w_out (C),dp_w (in W.G.),Water Heater (% of total capacity),T_evap_out_TC (C),SH_TC (K),Water Reverse Flow,TriCoil Refr. Reverse Flow,Q_ref (tons),Q_air (tons),Q_w (tons),Inlet Air Dew Point (C),Outlet Air Dew Point (C),Inlet Air Humdity Ratio (kg/kg),Outlet Air Humidity Ratio (kg/kg),TriCoil Outlet (11),TriCoil Outlet (12),TriCoil Outlet (13),TriCoil Outlet (21),TriCoil Outlet (22),TriCoil Outlet (23),TriCoil Outlet (31),TriCoil Outlet (32),TriCoil Outlet (33),TriCoil Outlet (41),TriCoil Outlet (42),TriCoil Outlet (43),TriCoil Outlet (51),TriCoil Outlet (52),TriCoil Outlet (53) ,TriCoil Outlet (Avg),DB2_TC,,
3759855994,0,22.643,13.032,30.138,33.348,16.24,30.098,1811.161,0.902,388.967,21.966,14.037,0,0,1,0,0,0,5364.871,1.626,0,106.431,26.288,233.69,23.632,222.4,22.776,-0.226,23.028,210.975,22.691,-0.343,1763.126,40.868,21.737,35.346,-22.017,29.992,37.218,14.442,0,1,Inf,-2.445,3.23,5.487,3.441,0.006,0.005,34.132,35.186,35.685,36.134,36.97,37.199,33.653,34.448,34.221,36.115,37.016,36.945,33.011,34.044,33.388,35.22,33.204,0,0
3759855996,0.0307,22.641,13.035,30.139,33.362,16.224,30.098,1773.275,0.853,388.952,21.95,14.037,0.095,0,1,0,0,0,5364.769,1.62,0,106.454,26.276,233.688,23.656,222.484,22.758,-0.215,23.034,210.892,22.677,-0.363,1763.218,40.878,21.718,35.349,-22.017,29.953,37.22,14.462,0,1,Inf,-2.43,3.234,5.497,3.375,0.006,0.005,34.134,35.187,35.679,36.144,36.977,37.207,33.676,34.454,34.248,36.116,37.029,36.95,32.999,34.055,33.407,35.215,33.21,0,0
3759855998,0.061933327,22.672,13.031,30.139,33.372,16.22,30.098,1773.303,0.859,388.96,21.973,14.037,0,0,1,0,0,0,5377.584,1.639,0,105.477,26.269,233.616,23.64,222.391,22.764,-0.232,23.027,210.835,22.668,-0.365,1764.144,40.895,21.798,35.346,-22.016,30.014,37.234,14.47,0,1,Inf,-2.378,3.247,5.457,3.35,0.006,0.005,34.143,35.197,35.692,36.14,36.966,37.184,33.669,34.453,34.221,36.115,37.018,36.955,33.004,34.067,33.418,35.224,33.22,0,0
3759856000,0.098233334,22.658,13.023,30.139,33.344,16.257,30.098,1773.186,0.859,388.96,21.953,14.038,0,0,1,0,0,0,5409.704,1.613,0,106.898,26.275,233.57,23.617,222.395,22.755,-0.213,23.047,210.91,22.68,-0.373,1764.358,40.869,21.708,35.367,-22.017,29.987,37.221,14.466,0,1,Inf,-2.415,3.22,5.448,3.5,0.006,0.005,34.133,35.203,35.683,36.144,36.973,37.185,33.666,34.45,34.234,36.113,37.027,36.956,33.013,34.065,33.41,35.219,33.219,0,0
3759856002,0.129083331,22.648,13.021,30.139,33.363,16.226,30.099,1791.542,0.859,388.977,21.971,14.037,0,0,1,0,0,0,5367.012,1.609,0,105.565,26.274,233.605,23.645,222.375,22.773,-0.216,23.043,210.793,22.661,-0.388,1762.223,40.859,21.709,35.367,-22.017,30.019,37.226,14.453,0,1,Inf,-2.391,3.21,5.455,3.38,0.006,0.005,34.129,35.2,35.686,36.138,36.971,37.189,33.669,34.462,34.238,36.113,37.03,36.946,33.006,34.055,33.411,35.221,33.213,0,0
3759856004,0.167016665,22.653,13.027,30.138,33.352,16.222,30.099,1796.57,0.879,388.953,21.941,14.037,0,0,1,0,0,0,5360.793,1.625,0,106.724,26.283,233.599,23.646,222.379,22.76,-0.201,23.019,210.831,22.667,-0.357,1763.012,40.893,21.687,35.328,-22.017,29.998,37.215,14.455,0,1,Inf,-2.407,3.254,5.465,3.378,0.006,0.005,34.133,35.198,35.677,36.15,36.978,37.196,33.683,34.456,34.245,36.116,37.031,36.959,32.997,34.052,33.397,35.215,33.213,0,0
3759856006,0.204266667,22.653,13.034,30.139,33.366,16.221,30.098,1807.107,0.885,388.964,21.974,14.036,0,0,1,0,0,0,5386.172,1.623,0,107.347,26.276,233.662,23.623,222.38,22.766,-0.215,23.017,210.873,22.674,-0.349,1763.072,40.868,21.727,35.364,-22.017,29.981,37.201,14.435,0,1,Inf,-2.409,3.219,5.482,3.363,0.006,0.005,34.129,35.201,35.684,36.141,36.983,37.19,33.685,34.458,34.239,36.118,37.016,36.956,33.006,34.051,33.407,35.215,33.217,0,0
3759856008,0.229533331,22.639,13.035,30.139,33.345,16.243,30.099,1760.356,0.897,388.92,21.959,14.038,0,0,1,0,0,0,5383.938,1.613,0,107.466,26.277,233.614,23.632,222.401,22.778,-0.249,23.035,210.788,22.66,-0.381,1762.651,40.869,21.79,35.333,-22.016,30,37.216,14.437,0,1,Inf,-2.44,3.237,5.499,3.453,0.006,0.005,34.139,35.202,35.681,36.14,36.973,37.179,33.676,34.455,34.242,36.12,37.03,36.953,32.998,34.048,33.405,35.214,33.221,0,0
3759856009,0.260099999,22.632,13.027,30.139,33.36,16.255,30.099,1802.829,0.845,388.969,21.961,14.037,0,0,1,0,0,0,5366.911,1.622,0,107.896,26.283,233.622,23.617,222.326,22.775,-0.224,23.028,210.914,22.681,-0.353,1762.6,40.873,21.805,35.353,-22.016,30.005,37.218,14.442,0,1,Inf,-2.392,3.227,5.486,3.478,0.006,0.005,34.132,35.188,35.699,36.136,36.971,37.198,33.689,34.461,34.242,36.127,37.027,36.939,33.006,34.052,33.397,35.21,33.21,0,0
3759856011,0.292316667,22.631,13.031,30.139,33.337,16.247,30.099,1789.242,0.892,388.946,21.961,14.038,0,0,1,0,0,0,5381.1,1.627,0,107.319,26.288,233.661,23.621,222.416,22.763,-0.194,23.024,210.857,22.672,-0.358,1764.021,40.867,21.753,35.349,-22.017,29.995,37.212,14.449,0,1,Inf,-2.441,3.229,5.495,3.476,0.006,0.005,34.147,35.198,35.701,36.135,36.976,37.185,33.679,34.458,34.239,36.125,37.015,36.958,33.009,34.054,33.409,35.217,33.201,0,0
3759856014,0.327983332,22.656,13.022,30.139,33.352,16.227,30.099,1779.442,0.877,388.984,21.947,14.037,0,0,1,0,0,0,5388.992,1.636,0,107.53,26.283,233.69,23.595,222.303,22.753,-0.199,23.046,210.838,22.669,-0.383,1763.117,40.859,21.707,35.325,-22.017,30.019,37.208,14.455,0,1,Inf,-2.412,3.237,5.45,3.397,0.006,0.005,34.153,35.204,35.71,36.141,36.967,37.19,33.66,34.455,34.243,36.116,37.023,36.958,33.012,34.058,33.407,35.206,33.207,0,0
3759856015,0.357933331,22.638,13.019,30.139,33.359,16.234,30.099,1746.554,0.866,388.946,21.937,14.037,0,0,1,0,0,0,5404.198,1.615,0,107.126,26.28,233.657,23.622,222.404,22.772,-0.209,23.028,210.893,22.678,-0.356,1763.589,40.884,21.798,35.354,-22.017,29.947,37.214,14.442,0,1,Inf,-2.407,3.235,5.46,3.41,0.006,0.005,34.13,35.189,35.69,36.142,36.969,37.195,33.667,34.445,34.235,36.124,37.025,36.955,33.001,34.062,33.388,35.213,33.194,0,0
3759856017,0.389716665,22.665,13.024,30.139,33.344,16.228,30.099,1798.177,0.829,388.964,21.933,14.038,0,0,1,0,0,0,5369.576,1.616,0,106.958,26.289,233.638,23.607,222.341,22.79,-0.216,23.004,210.866,22.673,-0.337,1764.015,40.889,21.688,35.352,-22.016,29.97,37.207,14.417,0,1,Inf,-2.354,3.24,5.445,3.406,0.006,0.005,34.146,35.206,35.706,36.145,36.985,37.177,33.669,34.461,34.244,36.126,37.04,36.962,33.017,34.055,33.414,35.209,33.205,0,0
3759856019,0.420999996,22.658,12.997,30.139,33.342,16.243,30.099,1767.4,0.887,388.978,21.941,14.037,0,0,1,0,0,0,5370.879,1.608,0,107.943,26.287,233.699,23.605,222.434,22.777,-0.227,23.018,210.889,22.677,-0.347,1764.398,40.889,21.762,35.338,-22.017,29.992,37.215,14.439,0,1,Inf,-2.456,3.249,5.381,3.458,0.006,0.005,34.14,35.2,35.695,36.142,36.97,37.192,33.674,34.459,34.253,36.127,37.027,36.96,32.997,34.047,33.405,35.213,33.196,0,0
3759856021,0.451566664,22.636,13.04,30.139,33.346,16.247,30.099,1769.271,0.852,388.963,21.957,14.037,0.017,0,1,0,0,0,5358.591,1.62,0,108.449,26.28,233.688,23.612,222.325,22.76,-0.223,23.008,210.847,22.67,-0.344,1763.43,40.894,21.741,35.321,-22.017,29.991,37.209,14.449,0,1,Inf,-2.386,3.26,5.515,3.469,0.006,0.005,34.138,35.197,35.685,36.152,36.976,37.195,33.683,34.469,34.254,36.12,37.032,36.955,33.001,34.051,33.401,35.207,33.197,0,0
3759856023,0.481983328,22.651,13.064,30.139,33.335,16.24,30.099,1779.116,0.854,388.945,21.981,14.037,0.004,0,1,0,0,0,5377.844,1.639,0,108.084,26.28,233.638,23.602,222.316,22.758,-0.219,23.032,210.884,22.676,-0.362,1763.749,40.864,21.691,35.331,-22.016,30.016,37.195,14.437,0,1,Inf,-2.365,3.238,5.563,3.457,0.006,0.005,34.14,35.196,35.684,36.146,36.972,37.178,33.663,34.459,34.242,36.121,37.021,36.95,32.999,34.052,33.408,35.211,33.207,0,0
3759856025,0.512383334,22.662,13.041,30.139,33.351,16.226,30.098,1771.645,0.866,388.944,21.981,14.038,0,0,1,0,0,0,5409.73,1.645,0,107.231,26.274,233.637,23.623,222.496,22.785,-0.24,23.016,210.826,22.667,-0.356,1764.149,40.847,21.703,35.347,-22.016,29.992,37.203,14.418,0,1,Inf,-2.383,3.219,5.492,3.39,0.006,0.005,34.133,35.192,35.676,36.153,36.979,37.178,33.664,34.457,34.247,36.11,37.007,36.949,33.004,34.054,33.419,35.21,33.207,0,0
3759856026,0.542849994,22.667,13.034,30.139,33.324,16.253,30.099,1794.431,0.857,388.968,21.959,14.037,0.013,0,1,0,0,0,5418.494,1.626,0,107.446,26.277,233.604,23.632,222.373,22.767,-0.202,23.027,210.906,22.68,-0.354,1765.065,40.84,21.733,35.325,-22.016,30.001,37.211,14.443,0,1,Inf,-2.402,3.229,5.468,3.513,0.006,0.005,34.13,35.199,35.687,36.141,36.965,37.178,33.668,34.456,34.243,36.105,37.021,36.953,32.998,34.054,33.408,35.212,33.207,0,0
3759856028,0.572966663,22.643,13.03,30.139,33.369,16.244,30.098,1790.475,0.883,388.946,21.958,14.037,0,0,1,0,0,0,5388.568,1.62,0,108.513,26.271,233.623,23.628,222.419,22.763,-0.215,23.043,210.893,22.678,-0.371,1765.598,40.871,21.716,35.349,-22.017,29.962,37.218,14.455,0,1,Inf,-2.427,3.234,5.484,3.432,0.006,0.005,34.122,35.188,35.666,36.134,36.975,37.182,33.672,34.469,34.241,36.114,37.023,36.944,32.984,34.04,33.399,35.215,33.204,0,0
3759856030,0.603566662,22.661,13.057,30.139,33.345,16.243,30.099,1789.608,0.878,388.961,21.968,14.038,0,0,1,0,0,0,5378.897,1.633,0,107.995,26.281,233.578,23.605,222.4,22.776,-0.205,23.047,211.004,22.696,-0.357,1764.394,40.835,21.73,35.348,-22.017,30.038,37.214,14.438,0,1,Inf,-2.402,3.212,5.532,3.453,0.006,0.005,34.143,35.2,35.685,36.143,36.977,37.195,33.676,34.465,34.244,36.103,37.018,36.948,33.006,34.057,33.4,35.21,33.201,0,0
3759856032,0.639399997,22.663,13.033,30.139,33.36,16.232,30.098,1785.108,0.877,388.98,21.947,14.037,0.009,0,1,0,0,0,5399.697,1.639,0,108.732,26.296,233.645,23.631,222.387,22.763,-0.224,23.03,210.875,22.675,-0.362,1765.229,40.86,21.743,35.339,-22.016,30.025,37.195,14.432,0,1,Inf,-2.409,3.234,5.47,3.402,0.006,0.005,34.134,35.175,35.67,36.144,36.967,37.183,33.673,34.452,34.237,36.098,37.014,36.925,32.992,34.034,33.398,35.205,33.213,0,0
3759856034,0.669599994,22.659,13.042,30.139,33.375,16.233,30.099,1788.915,0.872,388.953,21.952,14.038,0,0,1,0,0,0,5409.994,1.644,0,108.954,26.279,233.747,23.611,222.387,22.761,-0.235,23.053,210.956,22.688,-0.372,1763.848,40.84,21.768,35.341,-22.016,30.023,37.202,14.441,0,1,Inf,-2.396,3.218,5.498,3.386,0.006,0.005,34.129,35.188,35.678,36.147,36.973,37.19,33.68,34.458,34.241,36.119,37.02,36.933,32.997,34.042,33.402,35.206,33.203,0,0
3759856036,0.694766665,22.671,13.019,30.139,33.348,16.262,30.098,1788.763,0.876,388.971,21.96,14.039,0,0,1,0,0,0,5417.034,1.625,0,108.776,26.278,233.635,23.624,222.438,22.759,-0.206,23.048,210.855,22.671,-0.382,1764.004,40.846,21.782,35.343,-22.017,30.029,37.193,14.433,0,1,Inf,-2.443,3.22,5.426,3.511,0.006,0.005,34.137,35.192,35.672,36.143,36.966,37.178,33.672,34.446,34.226,36.105,37.013,36.949,32.987,34.05,33.398,35.207,33.211,0,0
3759856038,0.730899994,22.677,13.036,30.139,33.362,16.244,30.099,1807.949,0.854,389.007,21.946,14.038,0,0,1,0,0,0,5416.71,1.616,0,108.449,26.282,233.627,23.601,222.444,22.785,-0.235,23.059,210.933,22.684,-0.381,1764.054,40.851,21.81,35.325,-22.017,29.951,37.204,14.42,0,1,Inf,-2.415,3.234,5.465,3.438,0.006,0.005,34.138,35.192,35.679,36.139,36.965,37.188,33.675,34.461,34.238,36.108,37.021,36.956,32.993,34.038,33.405,35.207,33.204,0,0
3759856040,0.761733333,22.626,13.018,30.139,33.336,16.23,30.099,1739.939,0.898,388.968,21.96,14.037,0,0,1,0,0,0,5371.733,1.639,0,109.128,26.294,233.648,23.633,222.41,22.767,-0.254,23.027,210.907,22.68,-0.353,1765.02,40.864,21.743,35.348,-22.016,29.948,37.189,14.422,0,1,Inf,-2.443,3.23,5.467,3.422,0.006,0.005,34.127,35.181,35.673,36.143,36.968,37.173,33.665,34.447,34.238,36.106,37.015,36.943,32.991,34.032,33.398,35.199,33.202,0,0
3759856041,0.79351666,22.633,13.003,30.139,33.371,16.218,30.099,1755.482,0.822,388.945,21.951,14.037,0,0,1,0,0,0,5409.635,1.649,0,109.03,26.282,233.731,23.618,222.403,22.766,-0.224,23.022,210.885,22.676,-0.352,1764.649,40.9,21.738,35.332,-22.017,29.968,37.185,14.419,0,1,Inf,-2.352,3.26,5.422,3.344,0.006,0.005,34.143,35.19,35.679,36.146,36.958,37.174,33.671,34.443,34.246,36.114,37.001,36.955,32.998,34.049,33.402,35.192,33.218,0,0
3759856043,0.823766661,22.653,13.042,30.139,33.348,16.232,30.099,1817.635,0.839,388.942,21.954,14.037,0,0,1,0,0,0,5425.631,1.603,0,108.387,26.288,233.655,23.627,222.356,22.783,-0.242,23.047,210.915,22.681,-0.372,1763.758,40.899,21.656,35.334,-22.017,30.01,37.206,14.423,0,1,Inf,-2.356,3.256,5.504,3.415,0.006,0.005,34.129,35.181,35.686,36.148,36.957,37.173,33.671,34.456,34.238,36.102,37.009,36.949,32.996,34.051,33.408,35.204,33.208,0,0
3759856045,0.85443333,22.658,13.057,30.138,33.349,16.25,30.099,1784.898,0.909,388.955,21.964,14.036,0,0,1,0,0,0,5350.801,1.617,0,110.227,26.288,233.693,23.619,222.452,22.769,-0.196,23.014,210.833,22.668,-0.353,1764.276,40.88,21.78,35.323,-22.016,29.996,37.201,14.432,0,1,Inf,-2.444,3.253,5.537,3.474,0.006,0.005,34.138,35.197,35.686,36.137,36.964,37.177,33.678,34.454,34.242,36.097,37.017,36.954,33,34.043,33.391,35.204,33.197,0,0
3759856047,0.884666665,22.657,13.051,30.14,33.35,16.266,30.098,1768.845,0.872,388.937,21.96,14.038,0.021,0,1,0,0,0,5373.535,1.639,0,109.402,26.271,233.691,23.619,222.419,22.768,-0.22,23.03,210.979,22.692,-0.345,1763.177,40.829,21.759,35.339,-22.016,29.97,37.199,14.432,0,1,Inf,-2.417,3.211,5.521,3.522,0.006,0.005,34.132,35.182,35.672,36.154,36.978,37.188,33.678,34.461,34.268,36.104,37.024,36.947,32.998,34.042,33.393,35.202,33.202,0,0
3759856049,0.915299996,22.654,13.052,30.14,33.356,16.253,30.099,1787.481,0.854,388.976,21.953,14.037,0,0,1,0,0,0,5408.393,1.62,0,109.239,26.28,233.58,23.622,222.337,22.769,-0.211,23.03,210.799,22.662,-0.374,1765.063,40.848,21.749,35.346,-22.017,30.008,37.207,14.438,0,1,Inf,-2.384,3.222,5.527,3.476,0.006,0.005,34.139,35.188,35.671,36.143,36.963,37.179,33.673,34.454,34.242,36.11,37.02,36.944,32.993,34.037,33.392,35.206,33.203,0,0
3759856051,0.945466661,22.655,13.03,30.139,33.369,16.24,30.098,1799.107,0.875,388.953,21.965,14.038,0,0,1,0,0,0,5378.74,1.624,0,110.572,26.284,233.636,23.612,222.391,22.778,-0.222,23.015,210.877,22.675,-0.347,1764.457,40.851,21.698,35.322,-22.017,30.023,37.209,14.431,0,1,Inf,-2.414,3.237,5.47,3.415,0.006,0.005,34.141,35.188,35.684,36.133,36.954,37.16,33.655,34.437,34.24,36.097,37.001,36.948,32.997,34.039,33.4,35.21,33.204,0,0
3759856052,0.970516666,22.668,13.039,30.139,33.373,16.242,30.099,1799.126,0.888,388.97,21.958,14.037,0,0,1,0,0,0,5385.225,1.614,0,110.245,26.281,233.666,23.599,222.358,22.782,-0.241,23.035,210.85,22.671,-0.371,1763.06,40.886,21.702,35.331,-22.017,29.971,37.214,14.433,0,1,Inf,-2.425,3.249,5.479,3.419,0.006,0.005,34.134,35.187,35.674,36.131,36.961,37.165,33.658,34.453,34.242,36.096,37.007,36.941,33.008,34.039,33.392,35.208,33.217,0,0
3759856054,0.995483327,22.672,13.016,30.139,33.346,16.25,30.099,1759.795,0.844,388.946,21.974,14.038,0,0,1,0,0,0,5385.266,1.646,0,110.483,26.29,233.644,23.626,222.387,22.769,-0.233,23.031,210.927,22.683,-0.354,1764.369,40.861,21.749,35.357,-22.016,29.971,37.217,14.448,0,1,Inf,-2.449,3.222,5.418,3.476,0.006,0.005,34.136,35.189,35.683,36.122,36.959,37.167,33.662,34.448,34.233,36.102,36.998,36.943,33.011,34.053,33.396,35.206,33.206,0,0
3759856055,1.025599996,22.661,13.03,30.139,33.32,16.272,30.099,1769.88,0.831,388.967,21.941,14.037,0.017,0,1,0,0,0,5368.12,1.625,0,110.54,26.28,233.706,23.61,222.429,22.774,-0.227,23.013,210.939,22.685,-0.334,1764.563,40.861,21.755,35.348,-22.017,30.007,37.201,14.427,0,1,Inf,-2.404,3.227,5.464,3.578,0.006,0.005,34.125,35.188,35.689,36.144,36.954,37.171,33.671,34.461,34.235,36.095,37.01,36.934,32.996,34.043,33.395,35.203,33.205,0,0
3759856057,1.056449993,22.684,13.043,30.139,33.363,16.233,30.098,1784.986,0.855,388.962,21.952,14.038,0,0,1,0,0,0,5385.565,1.632,0,110.961,26.284,233.641,23.601,222.359,22.764,-0.204,23.019,210.972,22.691,-0.335,1765.521,40.886,21.712,35.356,-22.016,30.005,37.21,14.446,0,1,Inf,-2.376,3.239,5.473,3.401,0.006,0.005,34.129,35.188,35.683,36.117,36.946,37.163,33.659,34.445,34.227,36.089,36.995,36.926,32.993,34.035,33.394,35.204,33.204,0,0
3759856059,1.087766663,22.677,13.034,30.139,33.334,16.257,30.099,1769.794,0.872,388.968,21.965,14.037,0,0,1,0,0,0,5397.878,1.62,0,110.159,26.285,233.663,23.623,222.413,22.763,-0.195,23.055,210.964,22.689,-0.372,1763.696,40.871,21.677,35.343,-22.018,29.999,37.208,14.446,0,1,Inf,-2.423,3.234,5.458,3.514,0.006,0.005,34.117,35.165,35.651,36.103,36.958,37.167,33.656,34.438,34.216,36.088,36.991,36.923,32.991,34.028,33.383,35.204,33.204,0,0
3759856061,1.113116662,22.65,13.024,30.14,33.344,16.238,30.098,1756.395,0.855,388.945,21.958,14.037,0,0,1,0,0,0,5378.891,1.633,0,110.891,26.278,233.67,23.625,222.441,22.778,-0.222,23.049,210.87,22.674,-0.381,1764.179,40.873,21.761,35.367,-22.017,30.007,37.21,14.433,0,1,Inf,-2.394,3.222,5.459,3.439,0.006,0.005,34.119,35.181,35.653,36.133,36.977,37.185,33.675,34.46,34.233,36.11,37.012,36.925,32.982,34.031,33.39,35.206,33.218,0,0
3759856062,1.143533333,22.647,13.028,30.139,33.358,16.221,30.098,1807.992,0.84,388.947,21.96,14.038,0.001,0,1,0,0,0,5399.422,1.621,0,111.55,26.293,233.627,23.596,222.397,22.77,-0.199,23.028,210.882,22.676,-0.358,1764.131,40.897,21.744,35.355,-22.016,30.019,37.218,14.448,0,1,Inf,-2.359,3.243,5.473,3.367,0.006,0.005,34.124,35.186,35.656,36.126,36.969,37.185,33.666,34.454,34.235,36.105,37.006,36.929,32.987,34.044,33.393,35.215,33.2,0,0
3759856065,1.179566662,22.645,13.023,30.139,33.349,16.224,30.099,1751.035,0.898,388.991,21.942,14.037,0,0,1,0,0,0,5379.923,1.622,0,111.901,26.276,233.726,23.621,222.405,22.769,-0.19,23.035,210.848,22.67,-0.371,1764.27,40.873,21.695,35.341,-22.016,29.981,37.216,14.446,0,1,-0.005,-2.434,3.238,5.464,3.386,0.006,0.005,34.119,35.172,35.663,36.125,36.957,37.172,33.662,34.444,34.232,36.111,37.005,36.944,32.987,34.035,33.397,35.213,33.216,0,0
3759856067,1.216016666,22.632,13.027,30.139,33.351,16.246,30.099,1793.005,0.834,388.96,21.949,14.036,0,0,1,0,0,0,5382.145,1.634,0,112.002,26.29,233.61,23.611,222.285,22.786,-0.226,23.033,210.904,22.679,-0.359,1763.059,40.898,21.73,35.346,-22.017,29.974,37.223,14.437,0,1,Inf,-2.372,3.247,5.486,3.457,0.006,0.005,34.123,35.183,35.668,36.127,36.976,37.176,33.655,34.447,34.245,36.102,37.013,36.945,32.991,34.042,33.401,35.208,33.221,0,0
